figure_path,figure_family,primary_series,axis_dimension,axis_scale,primary_min,primary_max,primary_span,axis_min,axis_max,axis_span,utilization_ratio,panels_json,issue_detected,action_taken,full_scale_reference_available,full_scale_reference,context_points_clipped,context_note,labels_inside_canvas,generating_script,is_reference,original_axis_rule,old_primary_min,old_primary_max,old_axis_min,old_axis_max,old_utilization_ratio,remaining_issue,review_status
analysis/milestone2/figures/annual_content.png,annual_summary,annual means (both weightings) and observation median,y,linear,0.004738927819,0.4155765031,0.410837575281,0,0.45,0.45,0.912972389513,"[{""axis_max"": 1.0, ""axis_min"": 0.0, ""axis_span"": 1.0, ""primary_max"": 0.9812507033, ""primary_min"": 0.02962747589, ""primary_span"": 0.9516232274099999, ""utilization_ratio"": 0.9516232274099999}, {""axis_max"": 0.45, ""axis_min"": 0.0, ""axis_span"": 0.45, ""primary_max"": 0.4155765031, ""primary_min"": 0.004738927819, ""primary_span"": 0.410837575281, ""utilization_ratio"": 0.9129723895133334}, {""axis_max"": 1.0, ""axis_min"": 0.0, ""axis_span"": 1.0, ""primary_max"": 0.9928328991, ""primary_min"": 0.004812444095, ""primary_span"": 0.988020455005, ""utilization_ratio"": 0.988020455005}, {""axis_max"": 0.97, ""axis_min"": 0.0, ""axis_span"": 0.97, ""primary_max"": 0.8938019276, ""primary_min"": 0.002848805394, ""primary_span"": 0.890953122206, ""utilization_ratio"": 0.9185083734082474}]",,Scale all displayed annual series; exterior legend; larger panels; neutral 2020 reference,False,,0,,True,src/descriptive_figures.py,False,Matplotlib observed-data autoscale,0.02962747589,0.9812507033,-0.0179536854805,1.02883186467,0.909090909091,,reviewed by family; no unresolved presentation issue
analysis/milestone2/figures/annual_sentiment_emotion.png,annual_summary,annual means (both weightings) and observation median,y,linear,0.005017001648,0.1411293575,0.136112355852,0,0.16,0.16,0.850702224075,"[{""axis_max"": 0.353, ""axis_min"": 0.275, ""axis_span"": 0.07799999999999996, ""primary_max"": 0.3470690994, ""primary_min"": 0.2804397345, ""primary_span"": 0.06662936490000004, ""utilization_ratio"": 0.8542226269230779}, {""axis_max"": 0.296, ""axis_min"": 0.226, ""axis_span"": 0.06999999999999998, ""primary_max"": 0.2910169801, ""primary_min"": 0.2309733778, ""primary_span"": 0.0600436023, ""utilization_ratio"": 0.8577657471428574}, {""axis_max"": 0.067, ""axis_min"": 0.0, ""axis_span"": 0.067, ""primary_max"": 0.06194945702, ""primary_min"": 0.004042197019, ""primary_span"": 0.057907260001, ""utilization_ratio"": 0.8642874627014925}, {""axis_max"": 0.16, ""axis_min"": 0.0, ""axis_span"": 0.16, ""primary_max"": 0.1411293575, ""primary_min"": 0.005017001648, ""primary_span"": 0.136112355852, ""utilization_ratio"": 0.850702224075}, {""axis_max"": 0.07200000000000001, ""axis_min"": 0.0, ""axis_span"": 0.07200000000000001, ""primary_max"": 0.06625329542, ""primary_min"": 0.003571274457, ""primary_span"": 0.06268202096299999, ""utilization_ratio"": 0.8705836244861108}]",,Scale all displayed annual series; exterior legend; larger panels; neutral 2020 reference,False,,0,,True,src/descriptive_figures.py,False,Matplotlib observed-data autoscale,0.2804397345,0.3470690994,0.277108266255,0.350400567645,0.909090909091,,reviewed by family; no unresolved presentation issue
analysis/milestone2/figures/genre_ll_explicit_language.png,genre_boxplot,complete song score distributions by genre; outliers retained,x,linear,0.000205956734135,0.999854683876,0.999648727142,0,1,1,0.999648727142,"[{""axis_max"": 1.0, ""axis_min"": 0.0, ""axis_span"": 1.0, ""primary_max"": 0.9998546838760376, ""primary_min"": 0.0002059567341348, ""primary_span"": 0.9996487271419028, ""utilization_ratio"": 0.9996487271419028}]",,Retain full distributions; readable genre labels and stable major-genre colors,False,,0,,True,src/descriptive_figures.py,False,Matplotlib observed-data autoscale,0.000205956734135,0.999854683876,-0.049776479623,1.04983712023,0.909090909091,,reviewed by family; no unresolved presentation issue
analysis/milestone2/figures/genre_ll_violence.png,genre_boxplot,complete song score distributions by genre; outliers retained,x,symlog,0.000227899829042,0.999813497066,0.999585597237,0,1,1,,"[{""axis_max"": 1.0, ""axis_min"": 0.0, ""axis_span"": 1.0, ""primary_max"": 0.9998134970664978, ""primary_min"": 0.0002278998290421, ""primary_span"": 0.9995855972374557, ""utilization_ratio"": null}]",At least three well-covered genre boxes have near-zero median and IQR below 0.03,Disclosed symlog X-axis (linear through 0.001); retain all outliers and linear companion,True,analysis/milestone2/figures/genre_ll_violence_full_scale.png,0,,True,src/descriptive_figures.py,False,Matplotlib observed-data autoscale,0.000227899829042,0.999813497066,-0.0497513800328,1.04979277693,0.909090909091,,reviewed by family; no unresolved presentation issue
analysis/milestone2/figures/genre_ll_violence_full_scale.png,genre_boxplot,complete song score distributions; linear-domain reference,x,linear,0.000227899829042,0.999813497066,0.999585597237,0,1,1,0.999585597237,"[{""axis_max"": 1.0, ""axis_min"": 0.0, ""axis_span"": 1.0, ""primary_max"": 0.9998134970664978, ""primary_min"": 0.0002278998290421, ""primary_span"": 0.9995855972374557, ""utilization_ratio"": 0.9995855972374557}]",,Linear full-scale reference retains all outliers,False,,0,,True,src/descriptive_figures.py,True,New companion reference,,,,,,,intentional full-scale reference
analysis/milestone2/figures/genre_sentiment_negative.png,genre_boxplot,complete song score distributions by genre; outliers retained,x,linear,0.0447984337807,0.876413345337,0.831614911556,0,1,1,0.831614911556,"[{""axis_max"": 1.0, ""axis_min"": 0.0, ""axis_span"": 1.0, ""primary_max"": 0.8764133453369141, ""primary_min"": 0.0447984337806701, ""primary_span"": 0.831614911556244, ""utilization_ratio"": 0.831614911556244}]",,Retain full distributions; readable genre labels and stable major-genre colors,False,,0,,True,src/descriptive_figures.py,False,Matplotlib observed-data autoscale,0.0447984337807,0.876413345337,0.00321768820286,0.917994090915,0.909090909091,,reviewed by family; no unresolved presentation issue
analysis/milestone2/figures/genre_sentiment_positive.png,genre_boxplot,complete song score distributions by genre; outliers retained,x,linear,0.0263383127749,0.768431544304,0.742093231529,0,1,1,0.742093231529,"[{""axis_max"": 1.0, ""axis_min"": 0.0, ""axis_span"": 1.0, ""primary_max"": 0.768431544303894, ""primary_min"": 0.0263383127748966, ""primary_span"": 0.7420932315289974, ""utilization_ratio"": 0.7420932315289974}]",,Retain full distributions; readable genre labels and stable major-genre colors,False,,0,,True,src/descriptive_figures.py,False,Matplotlib observed-data autoscale,0.0263383127749,0.768431544304,-0.0107663488016,0.80553620588,0.909090909091,,reviewed by family; no unresolved presentation issue
analysis/milestone2/figures/hist_detox_toxicity.png,histogram,density of all original bins; both available weightings,y,linear,0,20.8569658262,20.8569658262,0,21.8998141175,21.8998141175,0.952380952381,"[{""axis_max"": 21.899814117534913, ""axis_min"": 0.0, ""axis_span"": 21.899814117534913, ""primary_max"": 20.856965826223725, ""primary_min"": 0.0, ""primary_span"": 20.856965826223725, ""utilization_ratio"": 0.9523809523809523}]",Tail densities >100 times smaller than peak,Add log-density companion panel; retain full support and original bins,False,,0,,True,src/descriptive_figures.py,False,Matplotlib observed-data autoscale,0,19.9341880607,0,21.8998141175,0.910244623709,,reviewed by family; no unresolved presentation issue
analysis/milestone2/figures/hist_emotion_anger.png,histogram,density of all original bins; both available weightings,y,linear,0,33.7219388971,33.7219388971,0,35.408035842,35.408035842,0.952380952381,"[{""axis_max"": 35.40803584195224, ""axis_min"": 0.0, ""axis_span"": 35.40803584195224, ""primary_max"": 33.721938897097374, ""primary_min"": 0.0, ""primary_span"": 33.721938897097374, ""utilization_ratio"": 0.9523809523809524}]",Tail densities >100 times smaller than peak,Add log-density companion panel; retain full support and original bins,False,,0,,True,src/descriptive_figures.py,False,Matplotlib observed-data autoscale,0,33.687020768,0,35.408035842,0.951394788414,,reviewed by family; no unresolved presentation issue
analysis/milestone2/figures/hist_emotion_joy.png,histogram,density of all original bins; both available weightings,y,linear,0,30.4988669171,30.4988669171,0,32.0238102629,32.0238102629,0.952380952381,"[{""axis_max"": 32.023810262937324, ""axis_min"": 0.0, ""axis_span"": 32.023810262937324, ""primary_max"": 30.498866917083166, ""primary_min"": 0.0, ""primary_span"": 30.498866917083166, ""utilization_ratio"": 0.9523809523809524}]",Tail densities >100 times smaller than peak,Add log-density companion panel; retain full support and original bins,False,,0,,True,src/descriptive_figures.py,False,Matplotlib observed-data autoscale,0,30.4988669171,0,32.0238102629,0.952380952381,,reviewed by family; no unresolved presentation issue
analysis/milestone2/figures/hist_emotion_sadness.png,histogram,density of all original bins; both available weightings,y,linear,0,25.5207524912,25.5207524912,0,26.7967901158,26.7967901158,0.952380952381,"[{""axis_max"": 26.796790115791758, ""axis_min"": 0.0, ""axis_span"": 26.796790115791758, ""primary_max"": 25.520752491230247, ""primary_min"": 0.0, ""primary_span"": 25.520752491230247, ""utilization_ratio"": 0.9523809523809524}]",Tail densities >100 times smaller than peak,Add log-density companion panel; retain full support and original bins,False,,0,,True,src/descriptive_figures.py,False,Matplotlib observed-data autoscale,0,25.5207524912,0,26.7967901158,0.952380952381,,reviewed by family; no unresolved presentation issue
analysis/milestone2/figures/hist_ll_explicit_language.png,histogram,density of all original bins; both available weightings,y,linear,0,22.3499690166,22.3499690166,0,23.4674674675,23.4674674675,0.952380952381,"[{""axis_max"": 23.46746746746747, ""axis_min"": 0.0, ""axis_span"": 23.46746746746747, ""primary_max"": 22.349969016635683, ""primary_min"": 0.0, ""primary_span"": 22.349969016635683, ""utilization_ratio"": 0.9523809523809523}]",Tail densities >100 times smaller than peak,Add log-density companion panel; retain full support and original bins,False,,0,,True,src/descriptive_figures.py,False,Matplotlib observed-data autoscale,0,21.3808947254,0,23.4674674675,0.911086582097,,reviewed by family; no unresolved presentation issue
analysis/milestone2/figures/hist_ll_sexual_content.png,histogram,density of all original bins; both available weightings,y,linear,0,12.4739995654,12.4739995654,0,13.0976995436,13.0976995436,0.952380952381,"[{""axis_max"": 13.097699543634208, ""axis_min"": 0.0, ""axis_span"": 13.097699543634208, ""primary_max"": 12.473999565365913, ""primary_min"": 0.0, ""primary_span"": 12.473999565365913, ""utilization_ratio"": 0.9523809523809524}]",,Retain full support; improve text and 300 dpi,False,,0,,True,src/descriptive_figures.py,False,Matplotlib observed-data autoscale,0,12.4739995654,0,13.0976995436,0.952380952381,,reviewed by family; no unresolved presentation issue
analysis/milestone2/figures/hist_ll_substance_use.png,histogram,density of all original bins; both available weightings,y,linear,0,27.3073073073,27.3073073073,0,28.6726726727,28.6726726727,0.952380952381,"[{""axis_max"": 28.672672672672675, ""axis_min"": 0.0, ""axis_span"": 28.672672672672675, ""primary_max"": 27.30730730730731, ""primary_min"": 0.0, ""primary_span"": 27.30730730730731, ""utilization_ratio"": 0.9523809523809523}]",Tail densities >100 times smaller than peak,Add log-density companion panel; retain full support and original bins,False,,0,,True,src/descriptive_figures.py,False,Matplotlib observed-data autoscale,0,26.6747384434,0,28.6726726727,0.930319218857,,reviewed by family; no unresolved presentation issue
analysis/milestone2/figures/hist_ll_violence.png,histogram,density of all original bins; both available weightings,y,linear,0,26.8458935126,26.8458935126,0,28.1881881882,28.1881881882,0.952380952381,"[{""axis_max"": 28.188188188188185, ""axis_min"": 0.0, ""axis_span"": 28.188188188188185, ""primary_max"": 26.845893512560178, ""primary_min"": 0.0, ""primary_span"": 26.845893512560178, ""utilization_ratio"": 0.9523809523809524}]",Tail densities >100 times smaller than peak,Add log-density companion panel; retain full support and original bins,False,,0,,True,src/descriptive_figures.py,False,Matplotlib observed-data autoscale,0,26.7169600447,0,28.1881881882,0.947806927722,,reviewed by family; no unresolved presentation issue
analysis/milestone2/figures/hist_mb_duration_median_seconds.png,histogram,density of all original bins; both available weightings,y,linear,0,0.00864428917444,0.00864428917444,0,0.00907650363316,0.00907650363316,0.952380952381,"[{""axis_max"": 0.009076503633158595, ""axis_min"": 0.0, ""axis_span"": 0.009076503633158595, ""primary_max"": 0.008644289174436756, ""primary_min"": 0.0, ""primary_span"": 0.008644289174436756, ""utilization_ratio"": 0.9523809523809523}]",Tail densities >100 times smaller than peak,Add log-density companion panel; retain full support and original bins,False,,0,,True,src/descriptive_figures.py,False,Matplotlib observed-data autoscale,0,0.00864428917444,0,0.00907650363316,0.952380952381,,reviewed by family; no unresolved presentation issue
analysis/milestone2/figures/hist_monthly_rank.png,histogram,density of all original bins; both available weightings,y,linear,0,0.0100003667616,0.0100003667616,0,0.0105003850997,0.0105003850997,0.952380952381,"[{""axis_max"": 0.010500385099698032, ""axis_min"": 0.0, ""axis_span"": 0.010500385099698032, ""primary_max"": 0.010000366761617174, ""primary_min"": 0.0, ""primary_span"": 0.010000366761617174, ""utilization_ratio"": 0.9523809523809524}]",,Retain full support; improve text and 300 dpi,False,,0,,True,src/descriptive_figures.py,False,Matplotlib observed-data autoscale,0,0.0100003667616,0,0.0105003850997,0.952380952381,,reviewed by family; no unresolved presentation issue
analysis/milestone2/figures/hist_sentiment_negative.png,histogram,density of all original bins; both available weightings,y,linear,0,6.33098438519,6.33098438519,0,6.64753360445,6.64753360445,0.952380952381,"[{""axis_max"": 6.647533604445405, ""axis_min"": 0.0, ""axis_span"": 6.647533604445405, ""primary_max"": 6.3309843851861, ""primary_min"": 0.0, ""primary_span"": 6.3309843851861, ""utilization_ratio"": 0.9523809523809523}]",Tail densities >100 times smaller than peak,Add log-density companion panel; retain full support and original bins,False,,0,,True,src/descriptive_figures.py,False,Matplotlib observed-data autoscale,0,6.33098438519,0,6.64753360445,0.952380952381,,reviewed by family; no unresolved presentation issue
analysis/milestone2/figures/hist_sentiment_positive.png,histogram,density of all original bins; both available weightings,y,linear,0,6.42659795735,6.42659795735,0,6.74792785521,6.74792785521,0.952380952381,"[{""axis_max"": 6.747927855213742, ""axis_min"": 0.0, ""axis_span"": 6.747927855213742, ""primary_max"": 6.426597957346421, ""primary_min"": 0.0, ""primary_span"": 6.426597957346421, ""utilization_ratio"": 0.9523809523809523}]",Tail densities >100 times smaller than peak,Add log-density companion panel; retain full support and original bins,False,,0,,True,src/descriptive_figures.py,False,Matplotlib observed-data autoscale,0,6.42659795735,0,6.74792785521,0.952380952381,,reviewed by family; no unresolved presentation issue
analysis/milestone2/figures/missingness_by_decade.png,missingness,unavailable observation percentages,y,linear,9.54166667,43.11764706,33.57598039,0,100,100,0.3357598039,"[{""axis_max"": 100.0, ""axis_min"": 0.0, ""axis_span"": 100.0, ""primary_max"": 43.11764706, ""primary_min"": 9.541666669999998, ""primary_span"": 33.575980390000005, ""utilization_ratio"": 0.33575980390000004}]",,Keep interpretable 0–100 percentage scale; move legend outside data,False,,0,,True,src/descriptive_figures.py,False,percentage domain 0 to 100,9.54166667,43.11764706,0,100,0.3357598039,,reviewed by family; no unresolved presentation issue
analysis/milestone2/figures/relationship_ll_explicit_language_vs_chart_weeks.png,scatter_hexbin,all pairwise-complete observations; log-count colour,y,linear,1,112,111,-4.55,117.55,122.1,0.909090909091,"[{""axis_max"": 117.55, ""axis_min"": -4.550000000000001, ""axis_span"": 122.1, ""primary_max"": 112.0, ""primary_min"": 1.0, ""primary_span"": 111.0, ""utilization_ratio"": 0.9090909090909092}]",,Retain all points and log-count density; larger labels and 300 dpi,False,,0,,True,src/descriptive_figures.py,False,Matplotlib observed-data autoscale,1,112,-4.55,117.55,0.909090909091,,reviewed by family; no unresolved presentation issue
