figure_path,figure_family,generating_script,primary_series,original_axis_rule,old_primary_min,old_primary_max,old_primary_span,old_axis_min,old_axis_max,old_axis_span,old_utilization_ratio
analysis/milestone2/figures/annual_content.png,annual_summary,src/descriptive_analysis.py,"annual means, median and partial-year markers",Matplotlib observed-data autoscale,0.02962747589,0.9812507033,0.95162322741,-0.0179536854805,1.02883186467,1.04678555015,0.909090909091
analysis/milestone2/figures/annual_sentiment_emotion.png,annual_summary,src/descriptive_analysis.py,"annual means, median and partial-year markers",Matplotlib observed-data autoscale,0.2804397345,0.3470690994,0.0666293649,0.277108266255,0.350400567645,0.07329230139,0.909090909091
analysis/milestone2/figures/genre_ll_explicit_language.png,genre_boxplot,src/descriptive_analysis.py,song score distributions by genre,Matplotlib observed-data autoscale,0.000205956734135,0.999854683876,0.999648727142,-0.049776479623,1.04983712023,1.09961359986,0.909090909091
analysis/milestone2/figures/genre_ll_violence.png,genre_boxplot,src/descriptive_analysis.py,song score distributions by genre,Matplotlib observed-data autoscale,0.000227899829042,0.999813497066,0.999585597237,-0.0497513800328,1.04979277693,1.09954415696,0.909090909091
analysis/milestone2/figures/genre_sentiment_negative.png,genre_boxplot,src/descriptive_analysis.py,song score distributions by genre,Matplotlib observed-data autoscale,0.0447984337807,0.876413345337,0.831614911556,0.00321768820286,0.917994090915,0.914776402712,0.909090909091
analysis/milestone2/figures/genre_sentiment_positive.png,genre_boxplot,src/descriptive_analysis.py,song score distributions by genre,Matplotlib observed-data autoscale,0.0263383127749,0.768431544304,0.742093231529,-0.0107663488016,0.80553620588,0.816302554682,0.909090909091
analysis/milestone2/figures/hist_detox_toxicity.png,histogram,src/descriptive_analysis.py,"density; both weightings, all bins",Matplotlib observed-data autoscale,0,19.9341880607,19.9341880607,0,21.8998141175,21.8998141175,0.910244623709
analysis/milestone2/figures/hist_emotion_anger.png,histogram,src/descriptive_analysis.py,"density; both weightings, all bins",Matplotlib observed-data autoscale,0,33.687020768,33.687020768,0,35.408035842,35.408035842,0.951394788414
analysis/milestone2/figures/hist_emotion_joy.png,histogram,src/descriptive_analysis.py,"density; both weightings, all bins",Matplotlib observed-data autoscale,0,30.4988669171,30.4988669171,0,32.0238102629,32.0238102629,0.952380952381
analysis/milestone2/figures/hist_emotion_sadness.png,histogram,src/descriptive_analysis.py,"density; both weightings, all bins",Matplotlib observed-data autoscale,0,25.5207524912,25.5207524912,0,26.7967901158,26.7967901158,0.952380952381
analysis/milestone2/figures/hist_ll_explicit_language.png,histogram,src/descriptive_analysis.py,"density; both weightings, all bins",Matplotlib observed-data autoscale,0,21.3808947254,21.3808947254,0,23.4674674675,23.4674674675,0.911086582097
analysis/milestone2/figures/hist_ll_sexual_content.png,histogram,src/descriptive_analysis.py,"density; both weightings, all bins",Matplotlib observed-data autoscale,0,12.4739995654,12.4739995654,0,13.0976995436,13.0976995436,0.952380952381
analysis/milestone2/figures/hist_ll_substance_use.png,histogram,src/descriptive_analysis.py,"density; both weightings, all bins",Matplotlib observed-data autoscale,0,26.6747384434,26.6747384434,0,28.6726726727,28.6726726727,0.930319218857
analysis/milestone2/figures/hist_ll_violence.png,histogram,src/descriptive_analysis.py,"density; both weightings, all bins",Matplotlib observed-data autoscale,0,26.7169600447,26.7169600447,0,28.1881881882,28.1881881882,0.947806927722
analysis/milestone2/figures/hist_mb_duration_median_seconds.png,histogram,src/descriptive_analysis.py,"density; both weightings, all bins",Matplotlib observed-data autoscale,0,0.00864428917444,0.00864428917444,0,0.00907650363316,0.00907650363316,0.952380952381
analysis/milestone2/figures/hist_monthly_rank.png,histogram,src/descriptive_analysis.py,"density; both weightings, all bins",Matplotlib observed-data autoscale,0,0.0100003667616,0.0100003667616,0,0.0105003850997,0.0105003850997,0.952380952381
analysis/milestone2/figures/hist_sentiment_negative.png,histogram,src/descriptive_analysis.py,"density; both weightings, all bins",Matplotlib observed-data autoscale,0,6.33098438519,6.33098438519,0,6.64753360445,6.64753360445,0.952380952381
analysis/milestone2/figures/hist_sentiment_positive.png,histogram,src/descriptive_analysis.py,"density; both weightings, all bins",Matplotlib observed-data autoscale,0,6.42659795735,6.42659795735,0,6.74792785521,6.74792785521,0.952380952381
analysis/milestone2/figures/missingness_by_decade.png,missingness,src/descriptive_analysis.py,unavailable observation percentages,percentage domain 0 to 100,9.54166667,43.11764706,33.57598039,0,100,100,0.3357598039
analysis/milestone2/figures/relationship_ll_explicit_language_vs_chart_weeks.png,scatter_hexbin,src/descriptive_analysis.py,all complete score/rank or score/score pairs; log count colour,Matplotlib observed-data autoscale,1,112,111,-4.55,117.55,122.1,0.909090909091
analysis/milestone2/figures/relationship_ll_explicit_language_vs_detox_obscene.png,scatter_hexbin,src/descriptive_analysis.py,all complete score/rank or score/score pairs; log count colour,Matplotlib observed-data autoscale,2.45840037678e-05,0.990052998066,0.990028414062,-0.0494768366993,1.03955441877,1.08903125547,0.909090909091
analysis/milestone2/figures/relationship_ll_explicit_language_vs_monthly_rank.png,scatter_hexbin,src/descriptive_analysis.py,all complete score/rank or score/score pairs; log count colour,Matplotlib observed-data autoscale,1,100,99,-3.95,104.95,108.9,0.909090909091
analysis/milestone2/figures/relationship_ll_sexual_content_vs_detox_sexual_explicit.png,scatter_hexbin,src/descriptive_analysis.py,all complete score/rank or score/score pairs; log count colour,Matplotlib observed-data autoscale,1.15330276458e-05,0.958364903927,0.958353370899,-0.0479061355173,1.00628257247,1.05418870799,0.909090909091
analysis/milestone2/figures/relationship_sentiment_negative_vs_chart_weeks.png,scatter_hexbin,src/descriptive_analysis.py,all complete score/rank or score/score pairs; log count colour,Matplotlib observed-data autoscale,1,112,111,-4.55,117.55,122.1,0.909090909091
analysis/milestone2/figures/relationship_sentiment_positive_vs_monthly_rank.png,scatter_hexbin,src/descriptive_analysis.py,all complete score/rank or score/score pairs; log count colour,Matplotlib observed-data autoscale,1,100,99,-3.95,104.95,108.9,0.909090909091
analysis/milestone2/figures/selected_spearman_heatmap.png,correlation,src/descriptive_analysis.py,pairwise Spearman correlations,fixed signed correlation colour domain -1 to 1,-0.874078257073,1,1.87407825707,-1,1,2,0.937039128536
analysis/milestone2/figures/song_score_boxplots.png,score_boxplot,src/descriptive_analysis.py,song score distributions,Matplotlib observed-data autoscale,0.000173760214238,0.999866008759,0.999692248544,-0.049810852213,1.04985062119,1.0996614734,0.909090909091
analysis/moving_averages/figures/all_genres/detox_identity_attack.png,moving_average_all_genres,src/moving_average_all_genres.py,equal-weight 12-month means,"per-chart observed range, 8% padding, minimum 0.02, rounded 0.01",0.0005483060072,0.2419892394,0.241440933393,0,0.29,0.29,0.832554942734
analysis/moving_averages/figures/all_genres/detox_identity_attack_full_scale.png,moving_average_all_genres,src/moving_average_all_genres.py,equal-weight 12-month means,theoretical 0–1 reference,0.0005483060072,0.2419892394,0.241440933393,0,1,1,0.241440933393
analysis/moving_averages/figures/all_genres/detox_identity_attack_major_coverage.png,moving_average_major_coverage,src/moving_average_all_genres.py,equal-weight 12-month means,"per-chart observed range, 8% padding, minimum 0.02, rounded 0.01",0.0005483060072,0.2419892394,0.241440933393,0,0.29,0.29,0.832554942734
analysis/moving_averages/figures/all_genres/detox_identity_attack_major_coverage_full_scale.png,moving_average_major_coverage,src/moving_average_all_genres.py,equal-weight 12-month means,theoretical 0–1 reference,0.0005483060072,0.2419892394,0.241440933393,0,1,1,0.241440933393
analysis/moving_averages/figures/all_genres/detox_insult.png,moving_average_all_genres,src/moving_average_all_genres.py,equal-weight 12-month means,"per-chart observed range, 8% padding, minimum 0.02, rounded 0.01",0.003081865435,0.4539098908,0.450828025365,0,0.53,0.53,0.850618915783
analysis/moving_averages/figures/all_genres/detox_insult_full_scale.png,moving_average_all_genres,src/moving_average_all_genres.py,equal-weight 12-month means,theoretical 0–1 reference,0.003081865435,0.4539098908,0.450828025365,0,1,1,0.450828025365
analysis/moving_averages/figures/all_genres/detox_insult_major_coverage.png,moving_average_major_coverage,src/moving_average_all_genres.py,equal-weight 12-month means,"per-chart observed range, 8% padding, minimum 0.02, rounded 0.01",0.003396593597,0.4539098908,0.450513297203,0,0.53,0.53,0.850025089062
analysis/moving_averages/figures/all_genres/detox_insult_major_coverage_full_scale.png,moving_average_major_coverage,src/moving_average_all_genres.py,equal-weight 12-month means,theoretical 0–1 reference,0.003396593597,0.4539098908,0.450513297203,0,1,1,0.450513297203
analysis/moving_averages/figures/all_genres/detox_obscene.png,moving_average_all_genres,src/moving_average_all_genres.py,equal-weight 12-month means,"per-chart observed range, 8% padding, minimum 0.02, rounded 0.01",0.001087106139,0.7422990849,0.741211978761,0,0.86,0.86,0.861874393908
analysis/moving_averages/figures/all_genres/detox_obscene_full_scale.png,moving_average_all_genres,src/moving_average_all_genres.py,equal-weight 12-month means,theoretical 0–1 reference,0.001087106139,0.7422990849,0.741211978761,0,1,1,0.741211978761
analysis/moving_averages/figures/all_genres/detox_obscene_major_coverage.png,moving_average_major_coverage,src/moving_average_all_genres.py,equal-weight 12-month means,"per-chart observed range, 8% padding, minimum 0.02, rounded 0.01",0.001087106139,0.7422990849,0.741211978761,0,0.86,0.86,0.861874393908
analysis/moving_averages/figures/all_genres/detox_obscene_major_coverage_full_scale.png,moving_average_major_coverage,src/moving_average_all_genres.py,equal-weight 12-month means,theoretical 0–1 reference,0.001087106139,0.7422990849,0.741211978761,0,1,1,0.741211978761
analysis/moving_averages/figures/all_genres/detox_severe_toxicity.png,moving_average_all_genres,src/moving_average_all_genres.py,equal-weight 12-month means,"per-chart observed range, 8% padding, minimum 0.02, rounded 0.01",2.379149851e-05,0.08798417989,0.0879603883915,0,0.11,0.11,0.799639894468
analysis/moving_averages/figures/all_genres/detox_severe_toxicity_full_scale.png,moving_average_all_genres,src/moving_average_all_genres.py,equal-weight 12-month means,theoretical 0–1 reference,2.379149851e-05,0.08798417989,0.0879603883915,0,1,1,0.0879603883915
analysis/moving_averages/figures/all_genres/detox_severe_toxicity_major_coverage.png,moving_average_major_coverage,src/moving_average_all_genres.py,equal-weight 12-month means,"per-chart observed range, 8% padding, minimum 0.02, rounded 0.01",2.379149851e-05,0.08798417989,0.0879603883915,0,0.11,0.11,0.799639894468
analysis/moving_averages/figures/all_genres/detox_severe_toxicity_major_coverage_full_scale.png,moving_average_major_coverage,src/moving_average_all_genres.py,equal-weight 12-month means,theoretical 0–1 reference,2.379149851e-05,0.08798417989,0.0879603883915,0,1,1,0.0879603883915
analysis/moving_averages/figures/all_genres/detox_sexual_explicit.png,moving_average_all_genres,src/moving_average_all_genres.py,equal-weight 12-month means,"per-chart observed range, 8% padding, minimum 0.02, rounded 0.01",0.0005778443528,0.1785680855,0.177990241147,0,0.21,0.21,0.847572576891
analysis/moving_averages/figures/all_genres/detox_sexual_explicit_full_scale.png,moving_average_all_genres,src/moving_average_all_genres.py,equal-weight 12-month means,theoretical 0–1 reference,0.0005778443528,0.1785680855,0.177990241147,0,1,1,0.177990241147
analysis/moving_averages/figures/all_genres/detox_sexual_explicit_major_coverage.png,moving_average_major_coverage,src/moving_average_all_genres.py,equal-weight 12-month means,"per-chart observed range, 8% padding, minimum 0.02, rounded 0.01",0.0005778443528,0.1785680855,0.177990241147,0,0.21,0.21,0.847572576891
analysis/moving_averages/figures/all_genres/detox_sexual_explicit_major_coverage_full_scale.png,moving_average_major_coverage,src/moving_average_all_genres.py,equal-weight 12-month means,theoretical 0–1 reference,0.0005778443528,0.1785680855,0.177990241147,0,1,1,0.177990241147
analysis/moving_averages/figures/all_genres/detox_threat.png,moving_average_all_genres,src/moving_average_all_genres.py,equal-weight 12-month means,"per-chart observed range, 8% padding, minimum 0.02, rounded 0.01",0.0002435508351,0.03662712098,0.0363835701449,0,0.05,0.05,0.727671402898
analysis/moving_averages/figures/all_genres/detox_threat_full_scale.png,moving_average_all_genres,src/moving_average_all_genres.py,equal-weight 12-month means,theoretical 0–1 reference,0.0002435508351,0.03662712098,0.0363835701449,0,1,1,0.0363835701449
analysis/moving_averages/figures/all_genres/detox_threat_major_coverage.png,moving_average_major_coverage,src/moving_average_all_genres.py,equal-weight 12-month means,"per-chart observed range, 8% padding, minimum 0.02, rounded 0.01",0.0002435508351,0.02876200845,0.0285184576149,0,0.04,0.04,0.712961440372
analysis/moving_averages/figures/all_genres/detox_threat_major_coverage_full_scale.png,moving_average_major_coverage,src/moving_average_all_genres.py,equal-weight 12-month means,theoretical 0–1 reference,0.0002435508351,0.02876200845,0.0285184576149,0,1,1,0.0285184576149
analysis/moving_averages/figures/all_genres/detox_toxicity.png,moving_average_all_genres,src/moving_average_all_genres.py,equal-weight 12-month means,"per-chart observed range, 8% padding, minimum 0.02, rounded 0.01",0.01872488337,0.8258099984,0.80708511503,0,0.94,0.94,0.858601186202
analysis/moving_averages/figures/all_genres/detox_toxicity_full_scale.png,moving_average_all_genres,src/moving_average_all_genres.py,equal-weight 12-month means,theoretical 0–1 reference,0.01872488337,0.8258099984,0.80708511503,0,1,1,0.80708511503
analysis/moving_averages/figures/all_genres/detox_toxicity_major_coverage.png,moving_average_major_coverage,src/moving_average_all_genres.py,equal-weight 12-month means,"per-chart observed range, 8% padding, minimum 0.02, rounded 0.01",0.01872488337,0.8258099984,0.80708511503,0,0.94,0.94,0.858601186202
analysis/moving_averages/figures/all_genres/detox_toxicity_major_coverage_full_scale.png,moving_average_major_coverage,src/moving_average_all_genres.py,equal-weight 12-month means,theoretical 0–1 reference,0.01872488337,0.8258099984,0.80708511503,0,1,1,0.80708511503
analysis/moving_averages/figures/all_genres/emotion_admiration.png,moving_average_all_genres,src/moving_average_all_genres.py,equal-weight 12-month means,"per-chart observed range, 8% padding, minimum 0.02, rounded 0.01",0.002975416837,0.1234559309,0.120480514063,0,0.14,0.14,0.86057510045
analysis/moving_averages/figures/all_genres/emotion_admiration_full_scale.png,moving_average_all_genres,src/moving_average_all_genres.py,equal-weight 12-month means,theoretical 0–1 reference,0.002975416837,0.1234559309,0.120480514063,0,1,1,0.120480514063
analysis/moving_averages/figures/all_genres/emotion_admiration_major_coverage.png,moving_average_major_coverage,src/moving_average_all_genres.py,equal-weight 12-month means,"per-chart observed range, 8% padding, minimum 0.02, rounded 0.01",0.002975416837,0.1234559309,0.120480514063,0,0.14,0.14,0.86057510045
analysis/moving_averages/figures/all_genres/emotion_admiration_major_coverage_full_scale.png,moving_average_major_coverage,src/moving_average_all_genres.py,equal-weight 12-month means,theoretical 0–1 reference,0.002975416837,0.1234559309,0.120480514063,0,1,1,0.120480514063
analysis/moving_averages/figures/all_genres/emotion_amusement.png,moving_average_all_genres,src/moving_average_all_genres.py,equal-weight 12-month means,"per-chart observed range, 8% padding, minimum 0.02, rounded 0.01",0.001840647281,0.07933025674,0.077489609459,0,0.09,0.09,0.860995660656
analysis/moving_averages/figures/all_genres/emotion_amusement_full_scale.png,moving_average_all_genres,src/moving_average_all_genres.py,equal-weight 12-month means,theoretical 0–1 reference,0.001840647281,0.07933025674,0.077489609459,0,1,1,0.077489609459
analysis/moving_averages/figures/all_genres/emotion_amusement_major_coverage.png,moving_average_major_coverage,src/moving_average_all_genres.py,equal-weight 12-month means,"per-chart observed range, 8% padding, minimum 0.02, rounded 0.01",0.001840647281,0.07933025674,0.077489609459,0,0.09,0.09,0.860995660656
analysis/moving_averages/figures/all_genres/emotion_amusement_major_coverage_full_scale.png,moving_average_major_coverage,src/moving_average_all_genres.py,equal-weight 12-month means,theoretical 0–1 reference,0.001840647281,0.07933025674,0.077489609459,0,1,1,0.077489609459
analysis/moving_averages/figures/all_genres/emotion_anger.png,moving_average_all_genres,src/moving_average_all_genres.py,equal-weight 12-month means,"per-chart observed range, 8% padding, minimum 0.02, rounded 0.01",0.002636010388,0.1310931342,0.128457123812,0,0.15,0.15,0.856380825413
analysis/moving_averages/figures/all_genres/emotion_anger_full_scale.png,moving_average_all_genres,src/moving_average_all_genres.py,equal-weight 12-month means,theoretical 0–1 reference,0.002636010388,0.1310931342,0.128457123812,0,1,1,0.128457123812
analysis/moving_averages/figures/all_genres/emotion_anger_major_coverage.png,moving_average_major_coverage,src/moving_average_all_genres.py,equal-weight 12-month means,"per-chart observed range, 8% padding, minimum 0.02, rounded 0.01",0.004057814927,0.1310931342,0.127035319273,0,0.15,0.15,0.846902128487
analysis/moving_averages/figures/all_genres/emotion_anger_major_coverage_full_scale.png,moving_average_major_coverage,src/moving_average_all_genres.py,equal-weight 12-month means,theoretical 0–1 reference,0.004057814927,0.1310931342,0.127035319273,0,1,1,0.127035319273
analysis/moving_averages/figures/all_genres/emotion_annoyance.png,moving_average_all_genres,src/moving_average_all_genres.py,equal-weight 12-month means,"per-chart observed range, 8% padding, minimum 0.02, rounded 0.01",0.01045421172,0.1884792784,0.17802506668,0,0.21,0.21,0.847738412762
analysis/moving_averages/figures/all_genres/emotion_annoyance_full_scale.png,moving_average_all_genres,src/moving_average_all_genres.py,equal-weight 12-month means,theoretical 0–1 reference,0.01045421172,0.1884792784,0.17802506668,0,1,1,0.17802506668
analysis/moving_averages/figures/all_genres/emotion_annoyance_major_coverage.png,moving_average_major_coverage,src/moving_average_all_genres.py,equal-weight 12-month means,"per-chart observed range, 8% padding, minimum 0.02, rounded 0.01",0.01292899733,0.1884792784,0.17555028107,0,0.21,0.21,0.835953719381
analysis/moving_averages/figures/all_genres/emotion_annoyance_major_coverage_full_scale.png,moving_average_major_coverage,src/moving_average_all_genres.py,equal-weight 12-month means,theoretical 0–1 reference,0.01292899733,0.1884792784,0.17555028107,0,1,1,0.17555028107
analysis/moving_averages/figures/all_genres/emotion_approval.png,moving_average_all_genres,src/moving_average_all_genres.py,equal-weight 12-month means,"per-chart observed range, 8% padding, minimum 0.02, rounded 0.01",0.02082245393,0.1060428703,0.08522041637,0.01,0.12,0.11,0.774731057909
analysis/moving_averages/figures/all_genres/emotion_approval_full_scale.png,moving_average_all_genres,src/moving_average_all_genres.py,equal-weight 12-month means,theoretical 0–1 reference,0.02082245393,0.1060428703,0.08522041637,0,1,1,0.08522041637
analysis/moving_averages/figures/all_genres/emotion_approval_major_coverage.png,moving_average_major_coverage,src/moving_average_all_genres.py,equal-weight 12-month means,"per-chart observed range, 8% padding, minimum 0.02, rounded 0.01",0.02082245393,0.09977297496,0.07895052103,0.01,0.11,0.1,0.7895052103
analysis/moving_averages/figures/all_genres/emotion_approval_major_coverage_full_scale.png,moving_average_major_coverage,src/moving_average_all_genres.py,equal-weight 12-month means,theoretical 0–1 reference,0.02082245393,0.09977297496,0.07895052103,0,1,1,0.07895052103
analysis/moving_averages/figures/all_genres/emotion_caring.png,moving_average_all_genres,src/moving_average_all_genres.py,equal-weight 12-month means,"per-chart observed range, 8% padding, minimum 0.02, rounded 0.01",0.002381586522,0.1235643337,0.121182747178,0,0.15,0.15,0.807884981187
analysis/moving_averages/figures/all_genres/emotion_caring_full_scale.png,moving_average_all_genres,src/moving_average_all_genres.py,equal-weight 12-month means,theoretical 0–1 reference,0.002381586522,0.1235643337,0.121182747178,0,1,1,0.121182747178
analysis/moving_averages/figures/all_genres/emotion_caring_major_coverage.png,moving_average_major_coverage,src/moving_average_all_genres.py,equal-weight 12-month means,"per-chart observed range, 8% padding, minimum 0.02, rounded 0.01",0.003268384221,0.1235643337,0.120295949479,0,0.14,0.14,0.859256781993
analysis/moving_averages/figures/all_genres/emotion_caring_major_coverage_full_scale.png,moving_average_major_coverage,src/moving_average_all_genres.py,equal-weight 12-month means,theoretical 0–1 reference,0.003268384221,0.1235643337,0.120295949479,0,1,1,0.120295949479
analysis/moving_averages/figures/all_genres/emotion_confusion.png,moving_average_all_genres,src/moving_average_all_genres.py,equal-weight 12-month means,"per-chart observed range, 8% padding, minimum 0.02, rounded 0.01",0.005448516388,0.1466313411,0.141182824712,0,0.17,0.17,0.830487204188
