primary_genre,observation_count,unique_songs,observation_pct,unique_song_pct,small_group_lt_30_songs
Pop,19519,6492,23.86273335,23.15181342,False
R&B / Soul,16480,5935,20.14743817,21.16543633,False
Rock,13631,5028,16.66442535,17.93088692,False
Hip-Hop / Rap,10195,3401,12.46378229,12.12866874,False
Country,9884,3032,12.08357275,10.81273849,False
Electronic / Dance,3341,963,4.084501877,3.434256981,False
Alternative / Indie,2841,762,3.473232515,2.717449449,False
Jazz / Blues,1415,698,1.729892294,2.489212225,False
Folk / Singer-Songwriter,1203,477,1.470714085,1.701080561,False
Latin,1108,381,1.354572906,1.358724725,False
Other,865,456,1.057495996,1.626190221,False
Reggae / Dancehall,505,144,0.6173820556,0.5135337541,False
Metal,454,144,0.5550325807,0.5135337541,False
Gospel / Christian,180,64,0.2200569703,0.2282372241,False
K-Pop,124,51,0.1515948018,0.1818765379,False
Afrobeats / African Pop,52,13,0.06357201364,0.04636068614,True
