variable,weighting,non_missing_n,missing_n,missing_pct,mean,median,std,variance,minimum,q25,q75,maximum,iqr,lower_outlier_fence,upper_outlier_fence,potential_outlier_n,potential_outlier_pct
best_chart_rank,song,28041,0,0,42.1411148,40,28.81680331,830.408153,1,16,66,100,50,-59,141,0,0
weekly_observation_count,song,28041,0,0,12.41022075,11,8.512925958,72.46990837,1,6,18,112,12,-12,36,477,1.701080561
chart_weeks,song,28041,0,0,12.40975714,11,8.510851281,72.43458953,1,6,18,112,12,-12,36,477,1.701080561
total_chart_points,song,28041,0,0,634.9335972,426,678.3679845,460183.1224,1,139,935,9321,796,-1055,2129,987,3.51984594
snapshot_months_selected,song,28041,0,0,2.916943048,2,1.931176387,3.729442238,1,1,4,26,3,-3.5,8.5,468,1.668984701
mb_duration_median_seconds,song,22194,5847,20.85161014,218.5263203,215.8165,56.95703629,3244.103983,33,178,250,839.0865,72,70,358,411,1.851851852
ll_sexual_content,song,20979,7062,25.18455119,0.4866692167,0.4055538177,0.4435327352,0.1967212872,0.0006408368354,0.01535058301,0.9870240092,0.9997051358,0.9716734262,-1.442159556,2.444534149,0,0
ll_violence,song,20979,7062,25.18455119,0.20716776,0.00858463347,0.3730760516,0.1391857403,0.000227899829,0.003812821931,0.09530835971,0.9998134971,0.09149553778,-0.1334304847,0.2325516664,4637,22.10305544
ll_explicit_language,song,20979,7062,25.18455119,0.2675345263,0.01550148521,0.4065211045,0.1652594084,0.0002059567341,0.004277698696,0.5233817399,0.9998546839,0.5191040412,-0.774378363,1.302037802,0,0
ll_substance_use,song,20979,7062,25.18455119,0.2252614944,0.006702599581,0.391570032,0.1533270899,0.0001737602142,0.002699405421,0.1382060498,0.9998660088,0.1355066444,-0.2005605611,0.3414660164,4815,22.95152295
detox_toxicity,song,20981,7060,25.17741878,0.164116874,0.02156079561,0.277979628,0.07727267358,0.0003048989165,0.004439592827,0.1708301362,0.9974060655,0.1663905433,-0.2451462222,0.4204159512,3228,15.38534865
detox_severe_toxicity,song,20981,7060,25.17741878,0.005977276145,3.221975931e-05,0.03097037009,0.0009591638238,1.186186523e-06,1.053360029e-05,0.0001474591845,0.581571579,0.0001369255842,-0.0001948547761,0.0003528475609,3744,17.84471665
detox_obscene,song,20981,7060,25.17741878,0.09527288672,0.002063363092,0.2348600678,0.05515925144,2.458400377e-05,0.0004226976307,0.01722204685,0.9900529981,0.01679934922,-0.0247763262,0.04242107068,4049,19.29841285
detox_threat,song,20981,7060,25.17741878,0.00526389638,0.0002358553465,0.03210339907,0.001030628232,1.328171766e-05,8.717327e-05,0.0009063715697,0.9167235494,0.0008191982997,-0.00114162418,0.002135169019,3417,16.28616367
detox_insult,song,20981,7060,25.17741878,0.06926850309,0.002629309427,0.1664291518,0.02769866258,7.87953395e-05,0.0007598635275,0.02323613316,0.9896553755,0.02247626963,-0.03295454092,0.0569505376,4099,19.5367237
detox_identity_attack,song,20981,7060,25.17741878,0.01956816413,0.001007948769,0.07597956379,0.005772894113,5.022187543e-05,0.0003644342069,0.003202039551,0.8325190696,0.002837605344,-0.00389197381,0.007458447568,3112,14.83246747
