variable,weighting,non_missing_n,missing_n,missing_pct,mean,median,std,variance,minimum,q25,q75,maximum,iqr,lower_outlier_fence,upper_outlier_fence,potential_outlier_n,potential_outlier_pct
monthly_rank,observation,81797,0,0,50.49818453,50,28.86521917,833.2008776,1,25,75,100,50,-50,150,0,0
reported_last_week_rank,observation,73424,8373,10.23631674,47.43021355,47,28.02525182,785.4147394,1,23,71,100,48,-49,143,0,0
reported_peak_position,observation,81797,0,0,40.4231451,37,29.33671996,860.6431378,1,13,65,100,52,-65,143,0,0
reported_weeks_on_chart,observation,81797,0,0,9.455762436,7,8.237497455,67.85636433,1,4,13,109,9,-9.5,26.5,3216,3.931684536
best_chart_rank,observation,81797,0,0,30.33124687,23,25.9533426,673.5759923,1,7,49,100,42,-56,112,0,0
weekly_observation_count,observation,81797,0,0,17.89760016,17,11.08156992,122.801192,1,11,21,112,10,-4,36,5118,6.256953189
chart_weeks,observation,81797,0,0,17.89553407,17,11.07548947,122.666467,1,11,21,112,10,-4,36,5118,6.256953189
total_chart_points,observation,81797,0,0,1043.657506,831,956.4906798,914874.4206,1,376,1379,9321,1003,-1128.5,2883.5,4308,5.266696823
snapshot_months_selected,observation,81797,0,0,4.195655097,4,2.546056602,6.482404223,1,2,5,26,3,-2.5,9.5,3596,4.396249251
mb_duration_median_seconds,observation,67313,14484,17.70725088,223.3819104,221.425,53.38908761,2850.394675,33,187.973,252.6,839.0865,64.627,91.0325,349.5405,1340,1.990700162
ll_sexual_content,observation,64422,17375,21.24161033,0.5015751279,0.4977605939,0.4440593743,0.1971887279,0.0006408368354,0.0170302121,0.9890650511,0.9997051358,0.972034839,-1.441022046,2.44711731,0,0
ll_violence,observation,64422,17375,21.24161033,0.2051406357,0.008910658769,0.371060153,0.1376856371,0.000227899829,0.003926180769,0.09262081236,0.9998134971,0.08869463159,-0.1291157666,0.2256627597,14130,21.93350098
ll_explicit_language,observation,64422,17375,21.24161033,0.2874227827,0.0187056642,0.4163809273,0.1733730766,0.0002059567341,0.004598931526,0.7468815446,0.9998546839,0.7422826131,-1.108824988,1.860305464,0,0
ll_substance_use,observation,64422,17375,21.24161033,0.2394707628,0.007306425367,0.4005054873,0.1604046453,0.0001737602142,0.002818156267,0.2598213032,0.9998660088,0.2570031469,-0.3826865641,0.6453260236,14569,22.61494521
detox_toxicity,observation,64426,17371,21.23672017,0.1675615765,0.025374135,0.2756054698,0.075958375,0.0003048989165,0.00506867189,0.1857749215,0.9974060655,0.1807062497,-0.2659907026,0.456834296,9303,14.43982243
detox_severe_toxicity,observation,64426,17371,21.23672017,0.005888400295,3.594833834e-05,0.03065101943,0.0009394849924,1.186186523e-06,1.168648123e-05,0.0001724838949,0.581571579,0.0001607974136,-0.0002295096392,0.0004136800153,11563,17.94772297
detox_obscene,observation,64426,17371,21.23672017,0.09787477351,0.002511845669,0.2341516324,0.05482698696,2.458400377e-05,0.0004949484719,0.0213565696,0.9900529981,0.02086162113,-0.03079748322,0.0526490013,12560,19.49523484
detox_threat,observation,64426,17371,21.23672017,0.005367364208,0.0002611133968,0.03110389181,0.0009674520858,1.328171766e-05,9.476090198e-05,0.0009874554817,0.9167235494,0.0008926945797,-0.001244280968,0.002326497351,10456,16.22947257
detox_insult,observation,64426,17371,21.23672017,0.06732825286,0.002948701847,0.1618433949,0.02619328446,7.87953395e-05,0.0008283288334,0.02492211387,0.9896553755,0.02409378503,-0.03531234871,0.06106279141,12336,19.14754913
detox_identity_attack,observation,64426,17371,21.23672017,0.01859233009,0.001070425264,0.07249323866,0.005255269651,5.022187543e-05,0.0003949354849,0.003326181148,0.8325190696,0.002931245663,-0.004001933009,0.007723049642,9363,14.53295253
detox_sexual_explicit,observation,64426,17371,21.23672017,0.02532552294,0.001012518667,0.08655074713,0.007491031829,1.153302765e-05,0.0002704660001,0.005277913064,0.9583649039,0.005007447064,-0.007240704595,0.01278908366,11227,17.42619439
emotion_admiration,observation,64426,17371,21.23672017,0.028399761,0.004000994316,0.08951054536,0.008012137731,0.0002907152229,0.001630085113,0.01355479402,0.9533017278,0.01192470891,-0.01625697825,0.03144185739,9218,14.30788812
emotion_amusement,observation,64426,17371,21.23672017,0.01859260514,0.002282125306,0.07415074085,0.005498332369,0.0001527999411,0.001324971905,0.00471836258,0.9434251189,0.003393390675,-0.003765114108,0.009808448593,9046,14.04091516
emotion_anger,observation,64426,17371,21.23672017,0.02173136495,0.005398255074,0.05696692734,0.003245230811,0.0003743813722,0.002766147023,0.01371237309,0.7921174765,0.01094622606,-0.01365319207,0.03013171218,8839,13.7196163
emotion_annoyance,observation,64426,17371,21.23672017,0.04895608721,0.01776059717,0.07745704581,0.005999593946,0.001639084774,0.00803757878,0.05067148517,0.6404060125,0.04263390638,-0.0559132808,0.1146223447,7809,12.12088287
emotion_approval,observation,64426,17371,21.23672017,0.0530498998,0.02984634088,0.06624215417,0.00438802299,0.002387397923,0.01590332994,0.06232710555,0.7389329076,0.04642377561,-0.05373233347,0.131962769,5570,8.645577872
emotion_caring,observation,64426,17371,21.23672017,0.0292814302,0.007330279797,0.07394464573,0.005467810633,0.000321076368,0.002984265564,0.02082635835,0.8801676035,0.01784209278,-0.02377887361,0.04758949752,8348,12.95750163
emotion_confusion,observation,64426,17371,21.23672017,0.02370704539,0.003929224915,0.06802475316,0.004627367042,0.0002453891211,0.001723215144,0.01540099084,0.9314314127,0.0136777757,-0.01879344841,0.03591765439,9002,13.97261975
emotion_curiosity,observation,64426,17371,21.23672017,0.03545411252,0.004811530933,0.08146561948,0.006636647158,0.0001453280711,0.001717508771,0.02642676454,0.8259930015,0.02470925577,-0.03534637489,0.0634906482,9249,14.35600534
emotion_desire,observation,64426,17371,21.23672017,0.05680037327,0.009371127933,0.1253296401,0.01570751869,0.0004401029728,0.003224627813,0.03764525801,0.8624810576,0.0344206302,-0.04840631748,0.0892762033,9725,15.09483749
emotion_disappointment,observation,64426,17371,21.23672017,0.05555557572,0.01390016358,0.08996306869,0.008093353728,0.0006423931336,0.004337478429,0.06469940208,0.7365439534,0.06036192365,-0.08620540705,0.1552422876,7520,11.67230621
emotion_disapproval,observation,64426,17371,21.23672017,0.02355591876,0.007950177416,0.05440143293,0.002959515904,0.0006503192708,0.003741265557,0.01936531812,0.7953996062,0.01562405256,-0.01969481329,0.04280139696,7594,11.78716667
emotion_disgust,observation,64426,17371,21.23672017,0.004731755546,0.002687216969,0.008962397782,8.0324574e-05,0.0002972542134,0.001496864948,0.005328918807,0.4887969494,0.003832053859,-0.00425121584,0.0110769996,5103,7.920715239
emotion_embarrassment,observation,64426,17371,21.23672017,0.003486164405,0.001491707575,0.01175610888,0.0001382060959,0.0001314920228,0.000730055559,0.003356871894,0.6649993062,0.002626816335,-0.003210168943,0.007297096396,5723,8.883059634
emotion_excitement,observation,64426,17371,21.23672017,0.02162431457,0.006140977144,0.05229745927,0.002735024246,0.0002828220686,0.002477575273,0.01716645621,0.8102719784,0.01468888093,-0.01955574613,0.03919977761,7936,12.31800826
emotion_fear,observation,64426,17371,21.23672017,0.01516413102,0.002579874592,0.06706146026,0.004497239452,0.0002406582498,0.001338665257,0.006091846153,0.8988978267,0.004753180896,-0.005791106087,0.0132216175,7368,11.43637662
emotion_gratitude,observation,64426,17371,21.23672017,0.005122660966,0.0004659524129,0.05005829009,0.002505832406,3.278729855e-05,0.0002636721183,0.0009974409361,0.9923664927,0.0007337688178,-0.0008369811083,0.002098094163,7551,11.72042343
emotion_grief,observation,64426,17371,21.23672017,0.00291679346,0.001172721619,0.004423093906,1.95637597e-05,0.0001357945002,0.0005658381851,0.003244620573,0.05066890642,0.002678782388,-0.003452335397,0.007262794155,6928,10.75342253
emotion_joy,observation,64426,17371,21.23672017,0.03483636116,0.007860736921,0.08713136955,0.00759187556,0.0003340323456,0.00308436458,0.02339766949,0.926305294,0.02031330491,-0.02738559279,0.05386762686,8537,13.25086145
emotion_love,observation,64426,17371,21.23672017,0.1906232211,0.01526002144,0.2953559196,0.08723511925,0.0001883621444,0.002181896136,0.2797768638,0.9774686694,0.2775949676,-0.4142105553,0.6961693152,7836,12.16279142
emotion_nervousness,observation,64426,17371,21.23672017,0.009009840022,0.002305761998,0.02488791782,0.0006194084536,0.0001164180503,0.0009663173724,0.007287168875,0.5666748285,0.006320851503,-0.008514959882,0.01676844613,7487,11.62108466
emotion_optimism,observation,64426,17371,21.23672017,0.02185918712,0.008263770491,0.05314816977,0.00282472795,0.00068691466,0.004297555424,0.01782493107,0.879062593,0.01352737565,-0.01599350804,0.03811599454,7123,11.05609537
emotion_pride,observation,64426,17371,21.23672017,0.001625039426,0.0008539303652,0.005659368662,3.202845365e-05,4.554069892e-05,0.0004941053137,0.001567245054,0.398118794,0.00107313974,-0.001115604296,0.003176954663,6202,9.626548288
emotion_realization,observation,64426,17371,21.23672017,0.02363287553,0.01266800007,0.04340776603,0.001884234151,0.001597662922,0.007314263843,0.02364311926,0.7818439007,0.01632885542,-0.01717901928,0.04813640239,5939,9.218328004
emotion_relief,observation,64426,17371,21.23672017,0.002817025732,0.001534237468,0.005095472214,2.596383708e-05,0.0001386238291,0.0008567068144,0.002816539722,0.1009284183,0.001959832907,-0.002083042546,0.005756289082,5970,9.266445224
