year,weighting,variable,months_observed,partial_year,observation_count,unique_songs,non_missing_n,missing_n,mean,median
1958,observation,ll_sexual_content,5,True,500,265,337,163,0.4054855155,0.1767151952
1958,observation,ll_violence,5,True,500,265,337,163,0.07783262085,0.00520973606
1958,observation,ll_explicit_language,5,True,500,265,337,163,0.09519682351,0.004822189454
1958,observation,ll_substance_use,5,True,500,265,337,163,0.05623506784,0.003751769196
1958,observation,sentiment_positive,5,True,500,265,337,163,0.3421395696,0.3398867548
1958,observation,sentiment_negative,5,True,500,265,337,163,0.2440990985,0.2311411351
1958,observation,emotion_joy,5,True,500,265,337,163,0.06194945702,0.01411632635
1958,observation,emotion_sadness,5,True,500,265,337,163,0.1185667534,0.006365195848
1958,observation,emotion_anger,5,True,500,265,337,163,0.009625116283,0.004139316734
1958,song_within_year,ll_sexual_content,5,True,500,265,167,98,0.4098714812,0.2017226666
1958,song_within_year,ll_violence,5,True,500,265,167,98,0.09627632913,0.005317683332
1958,song_within_year,ll_explicit_language,5,True,500,265,167,98,0.09120661099,0.004741444718
1958,song_within_year,ll_substance_use,5,True,500,265,167,98,0.07181123383,0.003751769196
1958,song_within_year,sentiment_positive,5,True,500,265,167,98,0.3470690994,0.3408216238
1958,song_within_year,sentiment_negative,5,True,500,265,167,98,0.24017312,0.2256892622
1958,song_within_year,emotion_joy,5,True,500,265,167,98,0.0528165204,0.01388778258
1958,song_within_year,emotion_sadness,5,True,500,265,167,98,0.1172248775,0.006529718172
1958,song_within_year,emotion_anger,5,True,500,265,167,98,0.008108668264,0.004186114296
1959,observation,ll_sexual_content,12,False,1200,564,774,426,0.4258136118,0.1767151952
1959,observation,ll_violence,12,False,1200,564,774,426,0.1182024597,0.005481725559
1959,observation,ll_explicit_language,12,False,1200,564,774,426,0.07332856141,0.004812444095
1959,observation,ll_substance_use,12,False,1200,564,774,426,0.08835722698,0.004079840612
1959,observation,sentiment_positive,12,False,1200,564,774,426,0.3437920233,0.3317307383
1959,observation,sentiment_negative,12,False,1200,564,774,426,0.2464315513,0.2309733778
1959,observation,emotion_joy,12,False,1200,564,774,426,0.0457300433,0.0127740656
1959,observation,emotion_sadness,12,False,1200,564,774,426,0.1049303934,0.00773877278
1959,observation,emotion_anger,12,False,1200,564,774,426,0.007848769223,0.003837239696
1959,song_within_year,ll_sexual_content,12,False,1200,564,341,223,0.4286646061,0.1777561754
1959,song_within_year,ll_violence,12,False,1200,564,341,223,0.1142328906,0.005499959923
1959,song_within_year,ll_explicit_language,12,False,1200,564,341,223,0.06907695874,0.004594164435
1959,song_within_year,ll_substance_use,12,False,1200,564,341,223,0.08787534765,0.003976160195
1959,song_within_year,sentiment_positive,12,False,1200,564,341,223,0.3448015561,0.3325121403
1959,song_within_year,sentiment_negative,12,False,1200,564,341,223,0.246255537,0.2309733778
1959,song_within_year,emotion_joy,12,False,1200,564,341,223,0.04548906153,0.01325774658
1959,song_within_year,emotion_sadness,12,False,1200,564,341,223,0.102443826,0.007946740836
1959,song_within_year,emotion_anger,12,False,1200,564,341,223,0.007838661962,0.003904088633
1960,observation,ll_sexual_content,12,False,1200,586,829,371,0.4042130576,0.1602010131
1960,observation,ll_violence,12,False,1200,586,829,371,0.1155713748,0.006079538725
1960,observation,ll_explicit_language,12,False,1200,586,829,371,0.05867106869,0.005206899717
1960,observation,ll_substance_use,12,False,1200,586,829,371,0.07214533924,0.003791720606
1960,observation,sentiment_positive,12,False,1200,586,829,371,0.3255509014,0.3239427507
1960,observation,sentiment_negative,12,False,1200,586,829,371,0.2618461869,0.2415775955
1960,observation,emotion_joy,12,False,1200,586,829,371,0.0419512621,0.01178905368
1960,observation,emotion_sadness,12,False,1200,586,829,371,0.1266778608,0.008847338147
1960,observation,emotion_anger,12,False,1200,586,829,371,0.00945225103,0.004311505705
1960,song_within_year,ll_sexual_content,12,False,1200,586,383,203,0.3962584569,0.1573415846
1960,song_within_year,ll_violence,12,False,1200,586,383,203,0.1118355103,0.006110690534
1960,song_within_year,ll_explicit_language,12,False,1200,586,383,203,0.06137094926,0.005423063878
1960,song_within_year,ll_substance_use,12,False,1200,586,383,203,0.07110510548,0.00374604878
1960,song_within_year,sentiment_positive,12,False,1200,586,383,203,0.3283090469,0.3248855174
1960,song_within_year,sentiment_negative,12,False,1200,586,383,203,0.2605624619,0.2414908111
1960,song_within_year,emotion_joy,12,False,1200,586,383,203,0.04594157088,0.01265563909
1960,song_within_year,emotion_sadness,12,False,1200,586,383,203,0.1262174284,0.008847338147
1960,song_within_year,emotion_anger,12,False,1200,586,383,203,0.009290235448,0.004352412652
1961,observation,ll_sexual_content,12,False,1200,642,813,387,0.3730543264,0.1144961864
1961,observation,ll_violence,12,False,1200,642,813,387,0.0818249425,0.005740182009
1961,observation,ll_explicit_language,12,False,1200,642,813,387,0.06871378712,0.004816488363
1961,observation,ll_substance_use,12,False,1200,642,813,387,0.04677704198,0.002907209098
1961,observation,sentiment_positive,12,False,1200,642,813,387,0.3261410526,0.3228592575
1961,observation,sentiment_negative,12,False,1200,642,813,387,0.258277878,0.2407252043
1961,observation,emotion_joy,12,False,1200,642,813,387,0.04549966312,0.01237324532
1961,observation,emotion_sadness,12,False,1200,642,813,387,0.1411293575,0.01647779346
1961,observation,emotion_anger,12,False,1200,642,813,387,0.01223315647,0.004852268379
1961,song_within_year,ll_sexual_content,12,False,1200,642,415,227,0.3839160398,0.1187150776
1961,song_within_year,ll_violence,12,False,1200,642,415,227,0.09101342749,0.0059239408
1961,song_within_year,ll_explicit_language,12,False,1200,642,415,227,0.07582297294,0.005179009866
1961,song_within_year,ll_substance_use,12,False,1200,642,415,227,0.0491420857,0.002974376315
1961,song_within_year,sentiment_positive,12,False,1200,642,415,227,0.3304524754,0.3293800056
1961,song_within_year,sentiment_negative,12,False,1200,642,415,227,0.2531671238,0.2362157702
1961,song_within_year,emotion_joy,12,False,1200,642,415,227,0.05100430068,0.01291315258
1961,song_within_year,emotion_sadness,12,False,1200,642,415,227,0.1303434601,0.01270141546
1961,song_within_year,emotion_anger,12,False,1200,642,415,227,0.01147335774,0.004655383993
1962,observation,ll_sexual_content,12,False,1200,627,832,368,0.4066952978,0.1944964901
1962,observation,ll_violence,12,False,1200,627,832,368,0.1080770535,0.006298775785
1962,observation,ll_explicit_language,12,False,1200,627,832,368,0.08476567467,0.005765251815
1962,observation,ll_substance_use,12,False,1200,627,832,368,0.05732523217,0.003368246602
1962,observation,sentiment_positive,12,False,1200,627,832,368,0.320506553,0.3197448105
1962,observation,sentiment_negative,12,False,1200,627,832,368,0.2610758072,0.2460056096
1962,observation,emotion_joy,12,False,1200,627,832,368,0.05441045224,0.0108552305
1962,observation,emotion_sadness,12,False,1200,627,832,368,0.1229760495,0.01041880669
1962,observation,emotion_anger,12,False,1200,627,832,368,0.01417131978,0.004778445
1962,song_within_year,ll_sexual_content,12,False,1200,627,416,211,0.4035620908,0.1848506182
1962,song_within_year,ll_violence,12,False,1200,627,416,211,0.1067881464,0.006455348805
1962,song_within_year,ll_explicit_language,12,False,1200,627,416,211,0.08400325213,0.005653230241
1962,song_within_year,ll_substance_use,12,False,1200,627,416,211,0.0576877475,0.003255177638
1962,song_within_year,sentiment_positive,12,False,1200,627,416,211,0.3199992848,0.3189644516
1962,song_within_year,sentiment_negative,12,False,1200,627,416,211,0.2632961233,0.2475705147
1962,song_within_year,emotion_joy,12,False,1200,627,416,211,0.05519618308,0.0116601917
1962,song_within_year,emotion_sadness,12,False,1200,627,416,211,0.1210135507,0.01071219565
1962,song_within_year,emotion_anger,12,False,1200,627,416,211,0.01555064461,0.004794282373
1963,observation,ll_sexual_content,12,False,1200,646,844,356,0.4168961786,0.1666168422
1963,observation,ll_violence,12,False,1200,646,844,356,0.07643713294,0.005489485571
1963,observation,ll_explicit_language,12,False,1200,646,844,356,0.09098745301,0.005714733154
1963,observation,ll_substance_use,12,False,1200,646,844,356,0.06617823748,0.003323783632
1963,observation,sentiment_positive,12,False,1200,646,846,354,0.3190315485,0.3170861155
1963,observation,sentiment_negative,12,False,1200,646,846,354,0.2584336213,0.2482272834
1963,observation,emotion_joy,12,False,1200,646,846,354,0.03839216589,0.01027286565
1963,observation,emotion_sadness,12,False,1200,646,846,354,0.1310445028,0.01397504518
1963,observation,emotion_anger,12,False,1200,646,846,354,0.01362780118,0.004682293627
1963,song_within_year,ll_sexual_content,12,False,1200,646,436,210,0.414042645,0.1666168422
