primary_genre,classifier,possible_months,months_genre_absent,months_present_without_scores,months_below_minimum,months_below_minimum_pct,months_present_below_minimum,present_months_failure_pct,sufficient_months,valid_rolling_endpoints,individual_plot_generated
All genres,detox_identity_attack,818,0,0,0,0,0,0,818,807,False
All genres,detox_insult,818,0,0,0,0,0,0,818,807,False
All genres,detox_obscene,818,0,0,0,0,0,0,818,807,False
All genres,detox_severe_toxicity,818,0,0,0,0,0,0,818,807,False
All genres,detox_sexual_explicit,818,0,0,0,0,0,0,818,807,False
All genres,detox_threat,818,0,0,0,0,0,0,818,807,False
All genres,detox_toxicity,818,0,0,0,0,0,0,818,807,False
All genres,emotion_admiration,818,0,0,0,0,0,0,818,807,False
All genres,emotion_amusement,818,0,0,0,0,0,0,818,807,False
All genres,emotion_anger,818,0,0,0,0,0,0,818,807,False
All genres,emotion_annoyance,818,0,0,0,0,0,0,818,807,False
All genres,emotion_approval,818,0,0,0,0,0,0,818,807,False
All genres,emotion_caring,818,0,0,0,0,0,0,818,807,False
All genres,emotion_confusion,818,0,0,0,0,0,0,818,807,False
All genres,emotion_curiosity,818,0,0,0,0,0,0,818,807,False
All genres,emotion_desire,818,0,0,0,0,0,0,818,807,False
All genres,emotion_disappointment,818,0,0,0,0,0,0,818,807,False
All genres,emotion_disapproval,818,0,0,0,0,0,0,818,807,False
All genres,emotion_disgust,818,0,0,0,0,0,0,818,807,False
All genres,emotion_embarrassment,818,0,0,0,0,0,0,818,807,False
All genres,emotion_excitement,818,0,0,0,0,0,0,818,807,False
All genres,emotion_fear,818,0,0,0,0,0,0,818,807,False
All genres,emotion_gratitude,818,0,0,0,0,0,0,818,807,False
All genres,emotion_grief,818,0,0,0,0,0,0,818,807,False
All genres,emotion_joy,818,0,0,0,0,0,0,818,807,False
All genres,emotion_love,818,0,0,0,0,0,0,818,807,False
All genres,emotion_nervousness,818,0,0,0,0,0,0,818,807,False
All genres,emotion_neutral,818,0,0,0,0,0,0,818,807,False
All genres,emotion_optimism,818,0,0,0,0,0,0,818,807,False
All genres,emotion_pride,818,0,0,0,0,0,0,818,807,False
All genres,emotion_realization,818,0,0,0,0,0,0,818,807,False
All genres,emotion_relief,818,0,0,0,0,0,0,818,807,False
All genres,emotion_remorse,818,0,0,0,0,0,0,818,807,False
All genres,emotion_sadness,818,0,0,0,0,0,0,818,807,False
All genres,emotion_surprise,818,0,0,0,0,0,0,818,807,False
All genres,ll_explicit_language,818,0,0,0,0,0,0,818,807,False
All genres,ll_sexual_content,818,0,0,0,0,0,0,818,807,False
All genres,ll_substance_use,818,0,0,0,0,0,0,818,807,False
All genres,ll_violence,818,0,0,0,0,0,0,818,807,False
All genres,sentiment_negative,818,0,0,0,0,0,0,818,807,False
All genres,sentiment_neutral,818,0,0,0,0,0,0,818,807,False
All genres,sentiment_positive,818,0,0,0,0,0,0,818,807,False
Afrobeats / African Pop,detox_identity_attack,818,780,8,818,100,38,100,0,0,False
Afrobeats / African Pop,detox_insult,818,780,8,818,100,38,100,0,0,False
Afrobeats / African Pop,detox_obscene,818,780,8,818,100,38,100,0,0,False
Afrobeats / African Pop,detox_severe_toxicity,818,780,8,818,100,38,100,0,0,False
Afrobeats / African Pop,detox_sexual_explicit,818,780,8,818,100,38,100,0,0,False
Afrobeats / African Pop,detox_threat,818,780,8,818,100,38,100,0,0,False
Afrobeats / African Pop,detox_toxicity,818,780,8,818,100,38,100,0,0,False
Afrobeats / African Pop,emotion_admiration,818,780,8,818,100,38,100,0,0,False
Afrobeats / African Pop,emotion_amusement,818,780,8,818,100,38,100,0,0,False
Afrobeats / African Pop,emotion_anger,818,780,8,818,100,38,100,0,0,False
Afrobeats / African Pop,emotion_annoyance,818,780,8,818,100,38,100,0,0,False
Afrobeats / African Pop,emotion_approval,818,780,8,818,100,38,100,0,0,False
Afrobeats / African Pop,emotion_caring,818,780,8,818,100,38,100,0,0,False
Afrobeats / African Pop,emotion_confusion,818,780,8,818,100,38,100,0,0,False
Afrobeats / African Pop,emotion_curiosity,818,780,8,818,100,38,100,0,0,False
Afrobeats / African Pop,emotion_desire,818,780,8,818,100,38,100,0,0,False
Afrobeats / African Pop,emotion_disappointment,818,780,8,818,100,38,100,0,0,False
Afrobeats / African Pop,emotion_disapproval,818,780,8,818,100,38,100,0,0,False
Afrobeats / African Pop,emotion_disgust,818,780,8,818,100,38,100,0,0,False
Afrobeats / African Pop,emotion_embarrassment,818,780,8,818,100,38,100,0,0,False
Afrobeats / African Pop,emotion_excitement,818,780,8,818,100,38,100,0,0,False
Afrobeats / African Pop,emotion_fear,818,780,8,818,100,38,100,0,0,False
Afrobeats / African Pop,emotion_gratitude,818,780,8,818,100,38,100,0,0,False
Afrobeats / African Pop,emotion_grief,818,780,8,818,100,38,100,0,0,False
Afrobeats / African Pop,emotion_joy,818,780,8,818,100,38,100,0,0,False
Afrobeats / African Pop,emotion_love,818,780,8,818,100,38,100,0,0,False
Afrobeats / African Pop,emotion_nervousness,818,780,8,818,100,38,100,0,0,False
Afrobeats / African Pop,emotion_neutral,818,780,8,818,100,38,100,0,0,False
Afrobeats / African Pop,emotion_optimism,818,780,8,818,100,38,100,0,0,False
Afrobeats / African Pop,emotion_pride,818,780,8,818,100,38,100,0,0,False
Afrobeats / African Pop,emotion_realization,818,780,8,818,100,38,100,0,0,False
Afrobeats / African Pop,emotion_relief,818,780,8,818,100,38,100,0,0,False
Afrobeats / African Pop,emotion_remorse,818,780,8,818,100,38,100,0,0,False
Afrobeats / African Pop,emotion_sadness,818,780,8,818,100,38,100,0,0,False
Afrobeats / African Pop,emotion_surprise,818,780,8,818,100,38,100,0,0,False
Afrobeats / African Pop,ll_explicit_language,818,780,8,818,100,38,100,0,0,False
Afrobeats / African Pop,ll_sexual_content,818,780,8,818,100,38,100,0,0,False
Afrobeats / African Pop,ll_substance_use,818,780,8,818,100,38,100,0,0,False
Afrobeats / African Pop,ll_violence,818,780,8,818,100,38,100,0,0,False
Afrobeats / African Pop,sentiment_negative,818,780,8,818,100,38,100,0,0,False
Afrobeats / African Pop,sentiment_neutral,818,780,8,818,100,38,100,0,0,False
Afrobeats / African Pop,sentiment_positive,818,780,8,818,100,38,100,0,0,False
Alternative / Indie,detox_identity_attack,818,267,14,563,68.82640587,296,53.72050817,255,87,True
Alternative / Indie,detox_insult,818,267,14,563,68.82640587,296,53.72050817,255,87,True
Alternative / Indie,detox_obscene,818,267,14,563,68.82640587,296,53.72050817,255,87,True
Alternative / Indie,detox_severe_toxicity,818,267,14,563,68.82640587,296,53.72050817,255,87,True
Alternative / Indie,detox_sexual_explicit,818,267,14,563,68.82640587,296,53.72050817,255,87,True
Alternative / Indie,detox_threat,818,267,14,563,68.82640587,296,53.72050817,255,87,True
Alternative / Indie,detox_toxicity,818,267,14,563,68.82640587,296,53.72050817,255,87,True
Alternative / Indie,emotion_admiration,818,267,14,563,68.82640587,296,53.72050817,255,87,True
Alternative / Indie,emotion_amusement,818,267,14,563,68.82640587,296,53.72050817,255,87,True
Alternative / Indie,emotion_anger,818,267,14,563,68.82640587,296,53.72050817,255,87,True
Alternative / Indie,emotion_annoyance,818,267,14,563,68.82640587,296,53.72050817,255,87,True
Alternative / Indie,emotion_approval,818,267,14,563,68.82640587,296,53.72050817,255,87,True
Alternative / Indie,emotion_caring,818,267,14,563,68.82640587,296,53.72050817,255,87,True
Alternative / Indie,emotion_confusion,818,267,14,563,68.82640587,296,53.72050817,255,87,True
Alternative / Indie,emotion_curiosity,818,267,14,563,68.82640587,296,53.72050817,255,87,True
Alternative / Indie,emotion_desire,818,267,14,563,68.82640587,296,53.72050817,255,87,True
Alternative / Indie,emotion_disappointment,818,267,14,563,68.82640587,296,53.72050817,255,87,True
Alternative / Indie,emotion_disapproval,818,267,14,563,68.82640587,296,53.72050817,255,87,True
Alternative / Indie,emotion_disgust,818,267,14,563,68.82640587,296,53.72050817,255,87,True
Alternative / Indie,emotion_embarrassment,818,267,14,563,68.82640587,296,53.72050817,255,87,True
Alternative / Indie,emotion_excitement,818,267,14,563,68.82640587,296,53.72050817,255,87,True
Alternative / Indie,emotion_fear,818,267,14,563,68.82640587,296,53.72050817,255,87,True
Alternative / Indie,emotion_gratitude,818,267,14,563,68.82640587,296,53.72050817,255,87,True
Alternative / Indie,emotion_grief,818,267,14,563,68.82640587,296,53.72050817,255,87,True
Alternative / Indie,emotion_joy,818,267,14,563,68.82640587,296,53.72050817,255,87,True
Alternative / Indie,emotion_love,818,267,14,563,68.82640587,296,53.72050817,255,87,True
Alternative / Indie,emotion_nervousness,818,267,14,563,68.82640587,296,53.72050817,255,87,True
Alternative / Indie,emotion_neutral,818,267,14,563,68.82640587,296,53.72050817,255,87,True
Alternative / Indie,emotion_optimism,818,267,14,563,68.82640587,296,53.72050817,255,87,True
Alternative / Indie,emotion_pride,818,267,14,563,68.82640587,296,53.72050817,255,87,True
Alternative / Indie,emotion_realization,818,267,14,563,68.82640587,296,53.72050817,255,87,True
Alternative / Indie,emotion_relief,818,267,14,563,68.82640587,296,53.72050817,255,87,True
Alternative / Indie,emotion_remorse,818,267,14,563,68.82640587,296,53.72050817,255,87,True
Alternative / Indie,emotion_sadness,818,267,14,563,68.82640587,296,53.72050817,255,87,True
Alternative / Indie,emotion_surprise,818,267,14,563,68.82640587,296,53.72050817,255,87,True
Alternative / Indie,ll_explicit_language,818,267,14,563,68.82640587,296,53.72050817,255,87,True
Alternative / Indie,ll_sexual_content,818,267,14,563,68.82640587,296,53.72050817,255,87,True
Alternative / Indie,ll_substance_use,818,267,14,563,68.82640587,296,53.72050817,255,87,True
Alternative / Indie,ll_violence,818,267,14,563,68.82640587,296,53.72050817,255,87,True
Alternative / Indie,sentiment_negative,818,267,14,563,68.82640587,296,53.72050817,255,87,True
Alternative / Indie,sentiment_neutral,818,267,14,563,68.82640587,296,53.72050817,255,87,True
Alternative / Indie,sentiment_positive,818,267,14,563,68.82640587,296,53.72050817,255,87,True
Country,detox_identity_attack,818,72,9,297,36.30806846,225,30.16085791,521,355,True
Country,detox_insult,818,72,9,297,36.30806846,225,30.16085791,521,355,True
Country,detox_obscene,818,72,9,297,36.30806846,225,30.16085791,521,355,True
Country,detox_severe_toxicity,818,72,9,297,36.30806846,225,30.16085791,521,355,True
Country,detox_sexual_explicit,818,72,9,297,36.30806846,225,30.16085791,521,355,True
Country,detox_threat,818,72,9,297,36.30806846,225,30.16085791,521,355,True
Country,detox_toxicity,818,72,9,297,36.30806846,225,30.16085791,521,355,True
Country,emotion_admiration,818,72,9,297,36.30806846,225,30.16085791,521,355,True
