family,model_a,label_a,model_b,label_b,aggregation,sample,n,pearson,spearman,mean_absolute_percentile_gap,within_10_percentile_points,opposite_quintiles,high_a_count,high_b_count,high_intersection,high_union,high_jaccard,low_a_count,low_b_count,low_intersection,low_union,low_jaccard
sexual,lyriclens,sexual,detoxify,sexual_explicit,mean,all_200,200,0.3300396492750688,0.6839030975774394,0.18261306532663316,65,1,40,40,24,56,0.42857142857142855,40,40,22,58,0.3793103448275862
sexual,lyriclens,sexual,detoxify,sexual_explicit,mean,core_180,180,0.363073223304225,0.6476640225521364,0.19186840471756672,62,1,36,36,23,49,0.46938775510204084,36,36,22,50,0.44
sexual,lyriclens,sexual,detoxify,sexual_explicit,token_weighted_mean,all_200,200,0.3300340407366059,0.6839030975774394,0.18261306532663316,65,1,40,40,24,56,0.42857142857142855,40,40,22,58,0.3793103448275862
sexual,lyriclens,sexual,detoxify,sexual_explicit,token_weighted_mean,core_180,180,0.3630906514920873,0.6476640225521364,0.19186840471756672,62,1,36,36,23,49,0.46938775510204084,36,36,22,50,0.44
sexual,lyriclens,sexual,detoxify,sexual_explicit,max,all_200,200,0.3543075596770893,0.6905482637065926,0.18110552763819096,68,1,40,40,23,57,0.40350877192982454,40,40,22,58,0.3793103448275862
sexual,lyriclens,sexual,detoxify,sexual_explicit,max,core_180,180,0.3372347241825579,0.6558535757276459,0.19006828057107386,62,1,36,36,22,50,0.44,36,36,22,50,0.44
sexual,lyriclens,sexual,detoxify,sexual_explicit,q90,all_200,200,0.3514634795061027,0.6887092177304432,0.18090452261306533,69,1,40,40,24,56,0.42857142857142855,40,40,22,58,0.3793103448275862
sexual,lyriclens,sexual,detoxify,sexual_explicit,q90,core_180,180,0.34128296195432767,0.6533308641213206,0.1898820608317815,65,1,36,36,23,49,0.46938775510204084,36,36,22,50,0.44
sexual,lyriclens,sexual,bart,sexual,mean,all_200,200,0.5076989485200394,0.6447116177904447,0.18768844221105527,75,1,40,40,20,60,0.3333333333333333,40,40,21,59,0.3559322033898305
sexual,lyriclens,sexual,bart,sexual,mean,core_180,180,0.4660769069237809,0.6116155848431536,0.19540657976412165,67,1,36,36,17,55,0.3090909090909091,36,36,19,53,0.3584905660377358
sexual,lyriclens,sexual,bart,sexual,token_weighted_mean,all_200,200,0.5077006736470894,0.6447116177904447,0.18768844221105527,75,1,40,40,20,60,0.3333333333333333,40,40,21,59,0.3559322033898305
sexual,lyriclens,sexual,bart,sexual,token_weighted_mean,core_180,180,0.4660789278608635,0.6116155848431536,0.19540657976412165,67,1,36,36,17,55,0.3090909090909091,36,36,19,53,0.3584905660377358
sexual,lyriclens,sexual,bart,sexual,max,all_200,200,0.5079169182141738,0.6413500337508438,0.1884422110552764,73,1,40,40,20,60,0.3333333333333333,40,40,20,60,0.3333333333333333
sexual,lyriclens,sexual,bart,sexual,max,core_180,180,0.4667285288255458,0.6088768171857156,0.19584109248913717,64,1,36,36,17,55,0.3090909090909091,36,36,18,54,0.3333333333333333
sexual,lyriclens,sexual,bart,sexual,q90,all_200,200,0.5086652160172869,0.6463346583664592,0.18673366834170854,74,1,40,40,20,60,0.3333333333333333,40,40,20,60,0.3333333333333333
sexual,lyriclens,sexual,bart,sexual,q90,core_180,180,0.46745304614118927,0.6137370494974125,0.19422718808193667,65,1,36,36,17,55,0.3090909090909091,36,36,18,54,0.3333333333333333
sexual,detoxify,sexual_explicit,bart,sexual,mean,all_200,200,0.2850584709215135,0.5624990624765619,0.20894472361809044,73,1,40,40,23,57,0.40350877192982454,40,40,17,63,0.2698412698412698
sexual,detoxify,sexual_explicit,bart,sexual,mean,core_180,180,0.28659672857054597,0.5070382830745805,0.2217256362507759,65,1,36,36,22,50,0.44,36,36,15,57,0.2631578947368421
sexual,detoxify,sexual_explicit,bart,sexual,token_weighted_mean,all_200,200,0.28505466544342034,0.5624990624765619,0.20894472361809044,73,1,40,40,23,57,0.40350877192982454,40,40,17,63,0.2698412698412698
sexual,detoxify,sexual_explicit,bart,sexual,token_weighted_mean,core_180,180,0.28660743535786465,0.5070382830745805,0.2217256362507759,65,1,36,36,22,50,0.44,36,36,15,57,0.2631578947368421
sexual,detoxify,sexual_explicit,bart,sexual,max,all_200,200,0.2979085121612371,0.5908857721443036,0.19894472361809046,76,1,40,40,25,55,0.45454545454545453,40,40,17,63,0.2698412698412698
sexual,detoxify,sexual_explicit,bart,sexual,max,core_180,180,0.27216004244573827,0.5409529100692408,0.21042830540037244,68,1,36,36,23,49,0.46938775510204084,36,36,15,57,0.2631578947368421
sexual,detoxify,sexual_explicit,bart,sexual,q90,all_200,200,0.2973050069919333,0.5861606540163504,0.20095477386934674,77,1,40,40,25,55,0.45454545454545453,40,40,17,63,0.2698412698412698
sexual,detoxify,sexual_explicit,bart,sexual,q90,core_180,180,0.2749638287750588,0.5356050083850324,0.21266294227188082,67,1,36,36,22,50,0.44,36,36,15,57,0.2631578947368421
violence,lyriclens,violence,detoxify,threat,mean,all_200,200,0.10431630701890916,0.476062401560039,0.23442211055276382,51,2,40,40,23,57,0.40350877192982454,40,40,8,72,0.1111111111111111
violence,lyriclens,violence,detoxify,threat,mean,core_180,180,0.10200473215590576,0.43661224111855307,0.24276846679081315,48,3,36,36,20,52,0.38461538461538464,36,36,8,64,0.125
violence,lyriclens,violence,detoxify,threat,token_weighted_mean,all_200,200,0.10430478417276233,0.476062401560039,0.23442211055276382,51,2,40,40,23,57,0.40350877192982454,40,40,8,72,0.1111111111111111
violence,lyriclens,violence,detoxify,threat,token_weighted_mean,core_180,180,0.1019939797710294,0.43661224111855307,0.24276846679081315,48,3,36,36,20,52,0.38461538461538464,36,36,8,64,0.125
violence,lyriclens,violence,detoxify,threat,max,all_200,200,0.12941618386990048,0.47290332258306456,0.2356281407035176,53,3,40,40,23,57,0.40350877192982454,40,40,9,71,0.1267605633802817
violence,lyriclens,violence,detoxify,threat,max,core_180,180,0.12367591990476073,0.43227054332952664,0.2440720049658597,50,2,36,36,22,50,0.44,36,36,8,64,0.125
violence,lyriclens,violence,detoxify,threat,q90,all_200,200,0.12370299413321514,0.47265431635790894,0.23517587939698492,56,3,40,40,23,57,0.40350877192982454,40,40,9,71,0.1267605633802817
violence,lyriclens,violence,detoxify,threat,q90,core_180,180,0.11854166876603657,0.4323405043365536,0.2435133457479826,50,2,36,36,21,51,0.4117647058823529,36,36,8,64,0.125
violence,lyriclens,violence,bart,violence,mean,all_200,200,0.5249219260901375,0.3568859221480537,0.2641708542713568,42,7,40,40,23,57,0.40350877192982454,40,40,4,76,0.05263157894736842
violence,lyriclens,violence,bart,violence,mean,core_180,180,0.5348771181959472,0.30757945204070086,0.27411545623836125,33,7,36,36,21,51,0.4117647058823529,36,36,3,69,0.043478260869565216
violence,lyriclens,violence,bart,violence,token_weighted_mean,all_200,200,0.5249251556348965,0.3568859221480537,0.2641708542713568,42,7,40,40,23,57,0.40350877192982454,40,40,4,76,0.05263157894736842
violence,lyriclens,violence,bart,violence,token_weighted_mean,core_180,180,0.5348807032647817,0.30757945204070086,0.27411545623836125,33,7,36,36,21,51,0.4117647058823529,36,36,3,69,0.043478260869565216
violence,lyriclens,violence,bart,violence,max,all_200,200,0.5228479029142752,0.35559138978474464,0.26522613065326633,42,6,40,40,23,57,0.40350877192982454,40,40,4,76,0.05263157894736842
violence,lyriclens,violence,bart,violence,max,core_180,180,0.5325943372424305,0.3047316275193679,0.275356921166977,34,7,36,36,21,51,0.4117647058823529,36,36,3,69,0.043478260869565216
violence,lyriclens,violence,bart,violence,q90,all_200,200,0.5237326642849115,0.35501387534688367,0.26532663316582916,41,6,40,40,23,57,0.40350877192982454,40,40,4,76,0.05263157894736842
violence,lyriclens,violence,bart,violence,q90,core_180,180,0.5336189695745428,0.3045402635883824,0.2756052141527002,33,7,36,36,21,51,0.4117647058823529,36,36,3,69,0.043478260869565216
violence,detoxify,threat,bart,violence,mean,all_200,200,0.0009052368120183122,0.5476456911422786,0.2063316582914573,70,4,40,40,23,57,0.40350877192982454,40,40,20,60,0.3333333333333333
violence,detoxify,threat,bart,violence,mean,core_180,180,-0.011397277891907793,0.5179089889605646,0.21495965238981998,60,3,36,36,19,53,0.3584905660377358,36,36,17,55,0.3090909090909091
violence,detoxify,threat,bart,violence,token_weighted_mean,all_200,200,0.0008993485103238919,0.5476456911422786,0.2063316582914573,70,4,40,40,23,57,0.40350877192982454,40,40,20,60,0.3333333333333333
violence,detoxify,threat,bart,violence,token_weighted_mean,core_180,180,-0.01140214072622839,0.5179089889605646,0.21495965238981998,60,3,36,36,19,53,0.3584905660377358,36,36,17,55,0.3090909090909091
violence,detoxify,threat,bart,violence,max,all_200,200,0.021615308456242537,0.5760009000225006,0.20025125628140703,70,4,40,40,22,58,0.3793103448275862,40,40,20,60,0.3333333333333333
violence,detoxify,threat,bart,violence,max,core_180,180,0.006094911107163315,0.546346080640349,0.20844196151458722,60,3,36,36,21,51,0.4117647058823529,36,36,18,54,0.3333333333333333
violence,detoxify,threat,bart,violence,q90,all_200,200,0.016664835671768425,0.570324758118953,0.20145728643216082,71,4,40,40,22,58,0.3793103448275862,40,40,20,60,0.3333333333333333
violence,detoxify,threat,bart,violence,q90,core_180,180,0.0016501789867529656,0.5413953105548526,0.2095592799503414,61,3,36,36,20,52,0.38461538461538464,36,36,18,54,0.3333333333333333
explicit_language,lyriclens,explicit_language,detoxify,obscene,mean,all_200,200,0.7201076269585196,0.6546328658216456,0.18110552763819096,84,1,40,40,35,45,0.7777777777777778,40,40,15,65,0.23076923076923078
explicit_language,lyriclens,explicit_language,detoxify,obscene,mean,core_180,180,0.7075764936253462,0.6168256221899853,0.19180633147113593,67,1,36,36,30,42,0.7142857142857143,36,36,11,61,0.18032786885245902
explicit_language,lyriclens,explicit_language,detoxify,obscene,token_weighted_mean,all_200,200,0.7201339282329526,0.6546883672091802,0.18110552763819096,84,1,40,40,35,45,0.7777777777777778,40,40,15,65,0.23076923076923078
explicit_language,lyriclens,explicit_language,detoxify,obscene,token_weighted_mean,core_180,180,0.7076204750101724,0.6168935255203349,0.19180633147113593,67,1,36,36,30,42,0.7142857142857143,36,36,11,61,0.18032786885245902
explicit_language,lyriclens,explicit_language,detoxify,obscene,max,all_200,200,0.7454319928511984,0.6588209705242631,0.18060301507537688,83,1,40,40,35,45,0.7777777777777778,40,40,15,65,0.23076923076923078
explicit_language,lyriclens,explicit_language,detoxify,obscene,max,core_180,180,0.7323261558138121,0.6218792761093449,0.19099937926753568,72,1,36,36,30,42,0.7142857142857143,36,36,11,61,0.18032786885245902
explicit_language,lyriclens,explicit_language,detoxify,obscene,q90,all_200,200,0.7424171748362809,0.6583394584864621,0.18050251256281408,83,1,40,40,35,45,0.7777777777777778,40,40,15,65,0.23076923076923078
explicit_language,lyriclens,explicit_language,detoxify,obscene,q90,core_180,180,0.7293456388404074,0.6212660884595204,0.19106145251396647,71,1,36,36,30,42,0.7142857142857143,36,36,11,61,0.18032786885245902
explicit_language,lyriclens,explicit_language,bart,profanity,mean,all_200,200,0.5210701406975347,0.5460811520288007,0.2135175879396985,69,0,40,40,29,51,0.5686274509803921,40,40,13,67,0.19402985074626866
explicit_language,lyriclens,explicit_language,bart,profanity,mean,core_180,180,0.4926675906486106,0.5066144016790641,0.22600869025450032,56,0,36,36,24,48,0.5,36,36,10,62,0.16129032258064516
explicit_language,lyriclens,explicit_language,bart,profanity,token_weighted_mean,all_200,200,0.5210668391315738,0.5460811520288007,0.2135175879396985,69,0,40,40,29,51,0.5686274509803921,40,40,13,67,0.19402985074626866
explicit_language,lyriclens,explicit_language,bart,profanity,token_weighted_mean,core_180,180,0.49266337415108663,0.5066144016790641,0.22600869025450032,56,0,36,36,24,48,0.5,36,36,10,62,0.16129032258064516
explicit_language,lyriclens,explicit_language,bart,profanity,max,all_200,200,0.5240224694226774,0.557214430360759,0.21050251256281408,73,0,40,40,28,52,0.5384615384615384,40,40,13,67,0.19402985074626866
explicit_language,lyriclens,explicit_language,bart,profanity,max,core_180,180,0.4972642582947207,0.5204913731905306,0.22209807572936063,56,0,36,36,23,49,0.46938775510204084,36,36,10,62,0.16129032258064516
explicit_language,lyriclens,explicit_language,bart,profanity,q90,all_200,200,0.5237337453632995,0.5544723618090452,0.21155778894472363,72,0,40,40,28,52,0.5384615384615384,40,40,13,67,0.19402985074626866
explicit_language,lyriclens,explicit_language,bart,profanity,q90,core_180,180,0.4966770003994599,0.5167237671944608,0.22352576039726876,56,0,36,36,23,49,0.46938775510204084,36,36,10,62,0.16129032258064516
explicit_language,detoxify,obscene,bart,profanity,mean,all_200,200,0.4680222084154629,0.5509562739068476,0.21296482412060302,67,0,40,40,30,50,0.6,40,40,16,64,0.25
explicit_language,detoxify,obscene,bart,profanity,mean,core_180,180,0.4398360807556836,0.511021945121763,0.22315332091868403,58,2,36,36,23,49,0.46938775510204084,36,36,13,59,0.22033898305084745
explicit_language,detoxify,obscene,bart,profanity,token_weighted_mean,all_200,200,0.46802494717782556,0.5511662791569789,0.2129145728643216,67,0,40,40,30,50,0.6,40,40,16,64,0.25
explicit_language,detoxify,obscene,bart,profanity,token_weighted_mean,core_180,180,0.4398441240897382,0.5112915007664846,0.22309124767225325,58,1,36,36,24,48,0.5,36,36,13,59,0.22033898305084745
explicit_language,detoxify,obscene,bart,profanity,max,all_200,200,0.4845635181540613,0.5627975699392485,0.21045226130653266,68,1,40,40,29,51,0.5686274509803921,40,40,16,64,0.25
explicit_language,detoxify,obscene,bart,profanity,max,core_180,180,0.45642929937495463,0.5243844974639135,0.22004965859714465,60,2,36,36,24,48,0.5,36,36,13,59,0.22033898305084745
explicit_language,detoxify,obscene,bart,profanity,q90,all_200,200,0.482741134917936,0.5610020250506262,0.21060301507537688,69,1,40,40,29,51,0.5686274509803921,40,40,16,64,0.25
explicit_language,detoxify,obscene,bart,profanity,q90,core_180,180,0.45449530015421,0.5217856518205295,0.22042209807572935,61,2,36,36,24,48,0.5,36,36,13,59,0.22033898305084745
substance,lyriclens,substance,bart,drugs,mean,all_200,200,0.4721052047084424,0.40981624540613515,0.24743718592964825,58,5,40,40,23,57,0.40350877192982454,40,40,10,70,0.14285714285714285
substance,lyriclens,substance,bart,drugs,mean,core_180,180,0.4029254856257856,0.3649680545695855,0.25561762880198635,52,4,36,36,18,54,0.3333333333333333,36,36,9,63,0.14285714285714285
substance,lyriclens,substance,bart,drugs,token_weighted_mean,all_200,200,0.4721090023456551,0.40981624540613515,0.24743718592964825,58,5,40,40,23,57,0.40350877192982454,40,40,10,70,0.14285714285714285
substance,lyriclens,substance,bart,drugs,token_weighted_mean,core_180,180,0.4029293996317786,0.3649680545695855,0.25561762880198635,52,4,36,36,18,54,0.3333333333333333,36,36,9,63,0.14285714285714285
substance,lyriclens,substance,bart,drugs,max,all_200,200,0.481455006111853,0.4197479936998425,0.2464321608040201,59,5,40,40,24,56,0.42857142857142855,40,40,10,70,0.14285714285714285
substance,lyriclens,substance,bart,drugs,max,core_180,180,0.4146241612900609,0.3773408644299721,0.2537554314090627,54,5,36,36,20,52,0.38461538461538464,36,36,9,63,0.14285714285714285
substance,lyriclens,substance,bart,drugs,q90,all_200,200,0.479715876609589,0.41823145578639465,0.2465326633165829,59,5,40,40,24,56,0.42857142857142855,40,40,10,70,0.14285714285714285
substance,lyriclens,substance,bart,drugs,q90,core_180,180,0.41240590262248605,0.3751370927086227,0.25412787088764743,54,5,36,36,20,52,0.38461538461538464,36,36,9,63,0.14285714285714285
substance,lyriclens,substance,bart,alcohol,mean,all_200,200,0.4531824079426672,0.4239540988524713,0.24748743718592964,52,4,40,40,21,59,0.3559322033898305,40,40,6,74,0.08108108108108109
substance,lyriclens,substance,bart,alcohol,mean,core_180,180,0.40071959110688093,0.4000617303003179,0.2517690875232775,45,4,36,36,17,55,0.3090909090909091,36,36,5,67,0.07462686567164178
substance,lyriclens,substance,bart,alcohol,token_weighted_mean,all_200,200,0.45318172702328596,0.4239540988524713,0.24748743718592964,52,4,40,40,21,59,0.3559322033898305,40,40,6,74,0.08108108108108109
substance,lyriclens,substance,bart,alcohol,token_weighted_mean,core_180,180,0.4007182970811848,0.4000617303003179,0.2517690875232775,45,4,36,36,17,55,0.3090909090909091,36,36,5,67,0.07462686567164178
substance,lyriclens,substance,bart,alcohol,max,all_200,200,0.46836719436471536,0.4383409585239631,0.24266331658291457,54,4,40,40,25,55,0.45454545454545453,40,40,6,74,0.08108108108108109
substance,lyriclens,substance,bart,alcohol,max,core_180,180,0.4209400156647259,0.4178565182052944,0.24525139664804468,51,3,36,36,22,50,0.44,36,36,5,67,0.07462686567164178
substance,lyriclens,substance,bart,alcohol,q90,all_200,200,0.465703689466421,0.43702392559813996,0.2428643216080402,55,4,40,40,25,55,0.45454545454545453,40,40,6,74,0.08108108108108109
substance,lyriclens,substance,bart,alcohol,q90,core_180,180,0.41730855979909004,0.41640791382450076,0.2456859093730602,49,3,36,36,22,50,0.44,36,36,5,67,0.07462686567164178
hostility,detoxify,toxicity,emotion,anger,mean,all_200,200,0.5615520073026792,0.6188959723993099,0.1977386934673367,72,0,40,40,27,53,0.5094339622641509,40,40,17,63,0.2698412698412698
hostility,detoxify,toxicity,emotion,anger,mean,core_180,180,0.552561071657411,0.588763027665463,0.20459342023587834,65,0,36,36,21,51,0.4117647058823529,36,36,15,57,0.2631578947368421
hostility,detoxify,toxicity,emotion,anger,token_weighted_mean,all_200,200,0.5615538958511866,0.6188869721743043,0.1977889447236181,72,0,40,40,27,53,0.5094339622641509,40,40,17,63,0.2698412698412698
hostility,detoxify,toxicity,emotion,anger,token_weighted_mean,core_180,180,0.5525712999682063,0.5887506816053993,0.20465549348230913,65,0,36,36,21,51,0.4117647058823529,36,36,15,57,0.2631578947368421
hostility,detoxify,toxicity,emotion,anger,max,all_200,200,0.5745844982065003,0.642641566039151,0.192964824120603,71,0,40,40,27,53,0.5094339622641509,40,40,17,63,0.2698412698412698
hostility,detoxify,toxicity,emotion,anger,max,core_180,180,0.5666482831522774,0.6161836270666791,0.19937926753569213,65,0,36,36,22,50,0.44,36,36,15,57,0.2631578947368421
