family,model_a,label_a,model_b,label_b,selection,song_id,title,artist,score_a,score_b,percentile_a,percentile_b,absolute_percentile_gap
sexual,lyriclens,sexual,detoxify,sexual_explicit,a_ranks_lower,song_a7464a3d004fed14e1824802fca94ffd5af3ac71e2e2e34435fccd0ff534a2ed,Happy,Pharrell Williams,0.009669705294072628,0.003959087189286947,0.19095477386934673,0.678391959798995,0.4874371859296483
sexual,lyriclens,sexual,detoxify,sexual_explicit,a_ranks_lower,song_be7eac0fa653c7531ff79984dc290b805f805913ea19ea18c4e8bb0a26a7930b,Lipstick Traces (On A Cigarette),The O'Jays,0.0146424425765872,0.006944738794118166,0.24120603015075376,0.7286432160804021,0.4874371859296483
sexual,lyriclens,sexual,detoxify,sexual_explicit,a_ranks_higher,song_1130d71736864e2f32c66a5784e269842b861afc685af864962777b4ea459b76,Soul Man,Blues Brothers,0.9967592358589172,0.00026098519447259605,0.8944723618090452,0.21608040201005024,0.6783919597989949
sexual,lyriclens,sexual,detoxify,sexual_explicit,a_ranks_higher,song_68dc4986474def8d475f2c997d665706774730408ee1330071322a31354abc97,Rings,Cymarron,0.9974713325500488,0.00012518116272985935,0.9396984924623115,0.12060301507537688,0.8190954773869347
sexual,lyriclens,sexual,detoxify,sexual_explicit,both_high,song_a9824e4acd085fbd53e561a95b0a44b852833928c774ab7affba998ddfec95a6,Closer,Nine Inch Nails,0.9992576241493225,0.8855344653129578,1.0,1.0,0.0
sexual,lyriclens,sexual,detoxify,sexual_explicit,both_high,song_97dde8742e0cc2461773a6d71873bf7831160cc7b3b82fcb096f1022b4c12759,WAP,Cardi B Featuring Megan Thee Stallion,0.9981549382209778,0.85885222752889,0.964824120603015,0.9949748743718593,0.03015075376884424
sexual,lyriclens,sexual,detoxify,sexual_explicit,both_low,song_05be1f29e67911d8e269dbbba495ee25b92120a0aba32db094923f7adf2183b7,Are We Ourselves?,The Fixx,0.0026399297639727592,1.410689492331585e-05,0.04020100502512563,0.005025125628140704,0.035175879396984924
sexual,lyriclens,sexual,detoxify,sexual_explicit,both_low,song_120331d2247754424d30484b3670c2d5c1ce827e7072814177b00993de5c5d32,Sunshine In The Shade,The Fixx,0.002279534237459302,3.9671791455475613e-05,0.035175879396984924,0.04522613065326633,0.010050251256281409
sexual,lyriclens,sexual,bart,sexual,a_ranks_lower,song_02774fe4f56b6d0a37952e7ecde8456be181bcb74ccb21de416a2aaf61e6f01c,Almost Like Praying,Lin-Manuel Miranda Featuring Artists For Puerto Rico,0.0824601873755455,0.9763598747915151,0.37185929648241206,0.9547738693467337,0.5829145728643217
sexual,lyriclens,sexual,bart,sexual,a_ranks_lower,song_beae324dbfbd3d29294643d2f1938b0205c4b9c455a55bd53f5c494c91253adb,Boondocks,Little Big Town,0.004312332719564438,0.883669261745561,0.08542713567839195,0.6381909547738693,0.5527638190954773
