song_id,title,artist,old_candidates,primary_reason,flags,strong_categories,new_disposition,new_primary
song_002cebf313bfd5ccfd563b8ec75fc04cee875e3417d9f4c8bca42ea377016acf,Let's Stay Together,Al Green,"[""Gospel / Christian"", ""Pop"", ""R&B / Soul"", ""Rock""]",weak_or_conflicting_evidence,"[""compatible_tags_within_category"", ""isolated_low_support_category"", ""pop_with_specific_genre""]","[""R&B / Soul""]",primary,R&B / Soul
song_0050e9d05142c2d786c174ac2995d68359d3baf91ecc3e0721b537c1a862f2b5,Shop Around,Captain & Tennille,"[""Pop"", ""Rock""]",weak_or_conflicting_evidence,"[""compatible_tags_within_category"", ""isolated_low_support_category"", ""pop_with_specific_genre""]","[""Pop""]",primary,Pop
song_01d1576b821aee8af9b6d59d5e42eb62d44ec49f657c68cc617c350efb6c69c2,One For The Money,Horace Brown,"[""Jazz / Blues"", ""R&B / Soul""]",weak_or_conflicting_evidence,"[""isolated_low_support_category""]",[],insufficient,
song_028b67eff4d0dacafc43578a5cb5f20a3d81d5c10e714d60b22e9c384905e577,It's Getting Better,Mama Cass,"[""Folk / Singer-Songwriter"", ""Pop"", ""Rock""]",weak_or_conflicting_evidence,"[""compatible_tags_within_category"", ""isolated_low_support_category"", ""pop_with_specific_genre""]",[],insufficient,
song_03b04ccc08b0db06679c78f70460db22fefb0af4972aba29275de1a156677aa9,Conga,Miami Sound Machine,"[""Electronic / Dance"", ""Latin"", ""Pop"", ""Rock""]",cross_genre_strong_evidence,"[""compatible_tags_within_category"", ""isolated_low_support_category"", ""pop_with_specific_genre"", ""latin_crossover"", ""electronic_crossover"", ""multiple_strong_candidates"", ""competing_strong_categories""]","[""Pop"", ""Latin"", ""Electronic / Dance""]",ambiguous,
song_04804816c9145c2fc431928b1be17072cff6e54ba8ebb244f2979004992b8cc7,Lollipop,Lil Wayne Featuring Static Major,"[""Electronic / Dance"", ""Hip-Hop / Rap"", ""Pop"", ""R&B / Soul""]",weak_or_conflicting_evidence,"[""compatible_tags_within_category"", ""isolated_low_support_category"", ""pop_with_specific_genre"", ""rap_soul"", ""electronic_crossover""]","[""Hip-Hop / Rap""]",primary,Hip-Hop / Rap
song_05a86ff01ac556415d3cb8874722e76415ecbc09cc09fd0b3c5b8cbf8c621e63,Turn Off The Light,Nelly Furtado,"[""Electronic / Dance"", ""Hip-Hop / Rap"", ""Pop"", ""Rock""]",weak_or_conflicting_evidence,"[""compatible_tags_within_category"", ""pop_with_specific_genre"", ""electronic_crossover""]","[""Pop""]",primary,Pop
song_09720b8afffd38569a6352df46e232b20a2ac3eb262649dcd3deb14a06fef4b0,Got To Get It,Sisqo Featuring Make It Hot,"[""Hip-Hop / Rap"", ""Pop"", ""R&B / Soul"", ""Rock""]",weak_or_conflicting_evidence,"[""compatible_tags_within_category"", ""isolated_low_support_category"", ""pop_with_specific_genre"", ""rap_soul""]","[""Pop"", ""R&B / Soul""]",primary,R&B / Soul
song_099b78c1dfaccc337d5e00aec464e33a74ed7276ddb7ebca69a957e32e274369,How You Remind Me,Nickelback,"[""Alternative / Indie"", ""Country"", ""Metal"", ""Pop"", ""Rock""]",cross_genre_strong_evidence,"[""compatible_tags_within_category"", ""isolated_low_support_category"", ""pop_with_specific_genre"", ""rock_alternative"", ""rock_metal"", ""multiple_strong_candidates"", ""competing_strong_categories""]","[""Pop"", ""Rock"", ""Alternative / Indie""]",ambiguous,
song_0a4467e4f6348ed58844edeb408b801f03fefaed28f0594d30a62706c6b0fca4,New World Man,Rush,"[""Pop"", ""Rock""]",weak_or_conflicting_evidence,"[""compatible_tags_within_category"", ""isolated_low_support_category"", ""pop_with_specific_genre""]","[""Rock""]",primary,Rock
song_120331d2247754424d30484b3670c2d5c1ce827e7072814177b00993de5c5d32,Sunshine In The Shade,The Fixx,"[""Pop"", ""Rock""]",weak_or_conflicting_evidence,"[""compatible_tags_within_category"", ""isolated_low_support_category"", ""pop_with_specific_genre""]",[],insufficient,
song_1536f56260fa47cc50543a8b42effe5f14f56b430b7680f4ca015d96bb96abf4,Not Afraid,Eminem,"[""Hip-Hop / Rap"", ""Pop""]",weak_or_conflicting_evidence,"[""compatible_tags_within_category"", ""isolated_low_support_category"", ""pop_with_specific_genre""]","[""Hip-Hop / Rap""]",primary,Hip-Hop / Rap
song_165fbe490650fe68c4c5b6cc66dc9e00a3a97cd521e55eab30cc2792e4517dab,Give Me All Night,Carly Simon,"[""Folk / Singer-Songwriter"", ""Pop"", ""Rock""]",cross_genre_strong_evidence,"[""compatible_tags_within_category"", ""isolated_low_support_category"", ""pop_with_specific_genre"", ""multiple_strong_candidates"", ""competing_strong_categories""]","[""Pop"", ""Rock""]",ambiguous,
song_16e696fd68d9cd43c6c58ce1e39caf3ce131ea4d63565414650b5823739961a6,My Cup Runneth Over,Ed Ames,"[""Jazz / Blues"", ""Pop""]",weak_or_conflicting_evidence,"[""isolated_low_support_category"", ""pop_with_specific_genre""]",[],insufficient,
song_16ea26d0109d1cb3a4f394549948be0c8c9f840e8428c98663b71fbcdb1f6bc4,Coincidence,Sabrina Carpenter,"[""Folk / Singer-Songwriter"", ""Pop""]",weak_or_conflicting_evidence,"[""isolated_low_support_category"", ""pop_with_specific_genre""]",[],insufficient,
song_19fb7f40ca7c53a8e83a2254a766349bf3204b9342b4a08f0205263e5f593983,Jenny From The Block,Jennifer Lopez Featuring Styles & Jadakiss,"[""Electronic / Dance"", ""Hip-Hop / Rap"", ""Jazz / Blues"", ""Latin"", ""Pop"", ""R&B / Soul"", ""Rock""]",cross_genre_strong_evidence,"[""compatible_tags_within_category"", ""isolated_low_support_category"", ""pop_with_specific_genre"", ""rap_soul"", ""latin_crossover"", ""electronic_crossover"", ""multiple_strong_candidates""]","[""Pop"", ""R&B / Soul""]",primary,Pop
song_1f3dbe6945ae1849e0479aa13b2ac79769d21af4419b277f92c42de038a0a958,Jolene,Dolly Parton,"[""Alternative / Indie"", ""Country"", ""Electronic / Dance"", ""Pop"", ""R&B / Soul"", ""Reggae / Dancehall"", ""Rock""]",cross_genre_strong_evidence,"[""compatible_tags_within_category"", ""isolated_low_support_category"", ""pop_with_specific_genre"", ""rock_alternative"", ""electronic_crossover"", ""multiple_strong_candidates""]","[""Pop"", ""Country""]",primary,Country
song_1f6349d2aae418419d9d25e0bcd3c679692b5c2dc283d7956d6bc5b1705d3ca7,If You're Not The One,Daniel Bedingfield,"[""Pop"", ""Rock""]",weak_or_conflicting_evidence,"[""compatible_tags_within_category"", ""isolated_low_support_category"", ""pop_with_specific_genre""]","[""Pop""]",primary,Pop
