song_id,title,artist,period,primary_genre,old_disposition,judgment,note,review_reference,reviewer
song_2d1c4e54ff3b4fea69b44bc5076c5c2e707dc6f2834e4bef86e57b071425eda2,Can't Help Falling In Love,Elvis Presley With The Jordanaires,1958–1969,Rock,ambiguous,questionable,"Generic Rock support wins after Pop suppression, but this ballad is not convincingly assigned a specific rock style. Parent suppression can be too aggressive.",,assistant_qualitative_metadata_review
song_73bb6d17dc79b2d3de5b3da5aa9c9bac42813c975b368517a5f7e28fdd76e1c6,"Hold Me, Thrill Me, Kiss Me",Mel Carter,1958–1969,R&B / Soul,ambiguous,plausible,Soul interpretation is plausible for this performance; the Pop crossover remains relevant.,,assistant_qualitative_metadata_review
song_8158e07affce61a84c99ebed07534c0f6019552dbe832198ce67ea9249e440a1,Magic Bus,The Who,1958–1969,Rock,ambiguous,plausible,Rock fits the recorded performance; compatible rock substyles collectively support it.,,assistant_qualitative_metadata_review
song_8c13d8e4ead4fff60549ddec575dad40428747a694cb844f51a73e2e59e443e1,Respect,Aretha Franklin,1958–1969,R&B / Soul,ambiguous,plausible,Strong soul evidence now outweighs isolated ambient/rock tags.,,assistant_qualitative_metadata_review
song_940fad53a151dbed140e4f3434e01f801e7bf9f6c2bc8ab11087d241736bfade,Folsom Prison Blues,Johnny Cash,1958–1969,Country,ambiguous,plausible,Country is a defensible broad primary; older rockabilly/country boundaries do not require a new category.,,assistant_qualitative_metadata_review
song_ad441ca7d322688fff5b1fcb0977b786e5d613405e7dd3e05f181c5f4a2ebe6c,I Fall To Pieces,Patsy Cline,1958–1969,Country,confident_primary,plausible,Traditional country/Nashville-sound evidence agrees with a Country primary.,,assistant_qualitative_metadata_review
song_c175234ba4926133ea1ec08dc7971e3446004ae13bd450e4937342dcfc6bf077,I Heard It Through The Grapevine,Marvin Gaye,1958–1969,R&B / Soul,ambiguous,plausible,R&B/Soul primary fits; retained Jazz secondary evidence is less convincing and should not be treated as validated.,,assistant_qualitative_metadata_review
song_c621cfa245241f1ede4d5a3c0552e33fcf76bcfd4ccb6daa72e3ad013b3d4fa0,I Can't Stop Loving You,Ray Charles,1958–1969,R&B / Soul,ambiguous,questionable,Soul is defensible but this country/soul crossover loses Country under the support gate; primary-only analysis could obscure it.,,assistant_qualitative_metadata_review
song_f3127d6f2653bb27e9426e1083bd85ecb0d3b2608413c997eac86dc7d49c2c33,Nothing But A Heartache,The Flirtations,1958–1969,R&B / Soul,ambiguous,plausible,Northern-soul and R&B support is consistent with this recording.,,assistant_qualitative_metadata_review
song_002cebf313bfd5ccfd563b8ec75fc04cee875e3417d9f4c8bca42ea377016acf,Let's Stay Together,Al Green,1970s,R&B / Soul,ambiguous,plausible,Soul primary is well supported and appropriate.,,assistant_qualitative_metadata_review
song_1f3dbe6945ae1849e0479aa13b2ac79769d21af4419b277f92c42de038a0a958,Jolene,Dolly Parton,1970s,Country,ambiguous,plausible,Country now dominates while Pop remains secondary; weak reggae/punk tags no longer block the primary.,,assistant_qualitative_metadata_review
song_2bda53214f9966fed82b2cfd364d0f25aea14669dd309b4769d644cf34984590,Wasted Days And Wasted Nights,Freddy Fender,1970s,Country,ambiguous,plausible,Country is a defensible broad category for this crossover; performer ethnicity is not the basis.,,assistant_qualitative_metadata_review
song_38d0d5e2405fe078b549574ae439493921f67afb2d9feecd05fb20b169cf6d21,Fooling Yourself (The Angry Young Man),Styx,1970s,Rock,ambiguous,plausible,Progressive/classic rock support converges on Rock.,,assistant_qualitative_metadata_review
song_3d3d6dbe6afb23cfdf8bdb56ae16f1238644091c6091cfea602a92f3ec0a978e,Stayin' Alive,Bee Gees,1970s,Electronic / Dance,ambiguous,plausible,Disco supports Electronic/Dance under the frozen mapping; Pop remains visible.,,assistant_qualitative_metadata_review
