model,label,mean_vs_max_spearman,mean_increase,largest_increase,songs_increase_over_01
lyriclens,sexual,0.9962634065851647,0.0006086450815200806,0.06918182969093323,0
lyriclens,violence,0.9990264756618915,0.001567635300452821,0.31275367736816406,1
lyriclens,substance,0.9999489987249681,0.0005301063507795334,0.08097758889198303,0
lyriclens,explicit_language,1.0,1.2694299221038818e-06,0.00019863247871398926,0
detoxify,toxicity,0.9962994074851871,0.022789207250025357,0.42561763525009155,17
detoxify,severe_toxicity,0.9977259431485788,0.0036427176984881273,0.164454635232687,1
detoxify,obscene,0.9978804470111753,0.019057339010438833,0.42018358688801527,12
detoxify,identity_attack,0.995892897322433,0.007784827866859511,0.21685709990561008,6
detoxify,insult,0.9974724368109202,0.016249694560513794,0.26557164390881854,14
detoxify,threat,0.997284932123303,0.0010781255078412262,0.03773581935092807,0
detoxify,sexual_explicit,0.9971574289357233,0.014435403614644807,0.40178174898028374,12
emotion,admiration,0.990036750918773,0.004555920699737423,0.23371334094554186,4
emotion,amusement,0.9914602865071627,0.0059250735096672245,0.38753772558023536,4
emotion,anger,0.9934913372834321,0.007474994965693137,0.17820435389876366,3
emotion,annoyance,0.9924518112952824,0.008777509832871146,0.13270507659763098,3
emotion,approval,0.9876876921923048,0.006643479417543858,0.12190739251673222,3
emotion,caring,0.9912487812195305,0.003925186659374352,0.3212624490261078,2
emotion,confusion,0.9904267606690167,0.0018512788381970797,0.1320905163884163,1
emotion,curiosity,0.9890827270681767,0.002975869607471395,0.06869562323360393,0
emotion,desire,0.9944753618840471,0.003989577359170653,0.17031446052715182,3
emotion,disappointment,0.9909082727068177,0.0048695472167552606,0.14438748452812433,1
emotion,disapproval,0.9892837320933023,0.0033941085042897613,0.11690194299444556,1
emotion,disgust,0.9862101552538813,0.0010976365767904402,0.03700166443983714,0
emotion,embarrassment,0.9855291382284557,0.0006701497336204436,0.06258904188871384,0
emotion,excitement,0.9893137328433211,0.0034253423599875533,0.11014671623706818,1
emotion,fear,0.9845301132528314,0.0009589019856017937,0.08598894230090082,0
emotion,gratitude,0.9918412960324008,0.0009497139605142971,0.15972853545099497,1
emotion,grief,0.9879531988299708,0.00012382094385732974,0.003718876590331395,0
emotion,joy,0.9874596864921623,0.004591778274480021,0.15379776060581207,2
emotion,love,0.995028875721893,0.01197698817338581,0.3100868142209947,8
emotion,nervousness,0.9883882097052427,0.0006052839391850284,0.022906492464244366,0
emotion,optimism,0.9911212780319508,0.0023356816734303723,0.1461796375612418,1
emotion,pride,0.9870816770419261,0.0010333186216424414,0.17180248492513783,1
emotion,realization,0.9855291382284557,0.002923517771414481,0.12337925564497709,1
emotion,relief,0.9847881197029926,0.000384798499593065,0.029452733404468745,0
emotion,remorse,0.9907987699692492,0.0015868912712176098,0.2771584540605545,1
emotion,sadness,0.9911062776569414,0.0035093927599761324,0.12443414330482483,1
emotion,surprise,0.9841221030525763,0.0020423326288437236,0.2221120186150074,1
emotion,neutral,0.9846771169279231,0.0329465689502346,0.41052362074454624,26
sentiment,negative,0.9863601590039751,0.006621078625321387,0.1440405398607254,1
sentiment,neutral,0.9794434860871521,0.003913862307866414,0.06787417829036713,0
sentiment,positive,0.9843291082277057,0.006025464534759521,0.08733931183815002,0
bart,romance,0.9857841446036151,0.0036913821028807473,0.17514362567532937,1
bart,heartbreak,0.9850941273531838,0.004177852869563363,0.17812651942291413,2
bart,sexual,0.987443186079652,0.004192329107230098,0.23843464609795306,3
bart,violence,0.9964584114602865,0.006974867877446593,0.24346657461162435,6
bart,profanity,0.9945923648091203,0.0027966783294758823,0.1526692585054379,2
bart,drugs,0.9974514362859072,0.004125047910078392,0.13088428130831026,3
bart,alcohol,0.9934463361584039,0.005130374586989106,0.17066365840466835,5
bart,crime,0.9962484062101552,0.005134156100120516,0.2799179236336018,5
bart,wealth,0.9962229055726393,0.005399386700958642,0.2277460954495839,4
bart,partying,0.9944813620340508,0.004927048372161228,0.1946468799124701,5
bart,family,0.984465611640291,0.003183363065008684,0.15830534104553085,2
bart,friendship,0.9803495087377184,0.006835162109865238,0.2482771934207917,6
bart,spirituality,0.9897052426310657,0.007979789433999112,0.2366198826627427,7
bart,politics,0.9942998574964375,0.00620608010049594,0.1653206488762755,4
bart,distress,0.9792919822995575,0.003928596088361405,0.2774237248126801,2
bart,empowerment,0.9737568439210981,0.00203318302094194,0.1926294185995172,1
bart,grief,0.9842046051151279,0.007404867657243903,0.2611988272666152,7
