model,label,aggregation,side,rank,song_id,title,artist,score
lyriclens,sexual,token_weighted_mean,low,1,song_61a93b5d45b99392acf44f79106a72ee8e87dee118e990895eafdece3a01ebe9,Have A Nice Day,Bon Jovi,0.0008586191106587648
lyriclens,sexual,token_weighted_mean,low,2,song_cc1c2453fb7685b97a44a7e916f797bdff9a23a8b50beb09f843aa71a8ee5564,Gallant Men,Senator Everett McKinley Dirksen,0.0009784656576812267
lyriclens,sexual,token_weighted_mean,low,3,song_316a0b9ba7277c09179f346f5f806cf819a8fc0641ac5d42b6558a4c972dc6aa,Little Bird,Annie Lennox,0.0014629121869802475
lyriclens,sexual,token_weighted_mean,high,1,song_a9824e4acd085fbd53e561a95b0a44b852833928c774ab7affba998ddfec95a6,Closer,Nine Inch Nails,0.9992576241493225
lyriclens,sexual,token_weighted_mean,high,2,song_a2a8832b12a9464aa23538c26dd64ffc912252f6a19c73d3b5c0ec754be945a7,Plastic Off The Sofa,Beyonce,0.9988585710525513
lyriclens,sexual,token_weighted_mean,high,3,song_a6cc3d1c997f8e07adade9fd28c157e4d03f4f8f4987adaac8a306b72b6f13a6,Let's Get The Mood Right,Johnny Gill,0.9988493919372559
lyriclens,violence,token_weighted_mean,low,1,song_341d5e61c3771b2583160580b52ebf1a8e95798d167c3120383be6d5c367dcd6,Deja Vu,Olivia Rodrigo,0.0004991397727280855
lyriclens,violence,token_weighted_mean,low,2,song_52d717b9eb2516949c777c9c8731a532ce779c0eb5872d6023ce3b1b2fae8d86,Rockabye,Clean Bandit Featuring Sean Paul & Anne-Marie,0.0005958527326583862
lyriclens,violence,token_weighted_mean,low,3,song_f1d664029f6e73d8332f2a5ef74f4733ea56bbd946340d01b4c5169b617c7d8f,Rosones,Tito Double P,0.0006119293393567204
lyriclens,violence,token_weighted_mean,high,1,song_9a299229172ef4247b522973a28a572e71a62970370c1d7d60113d13f53c10fe,Highwire,The Rolling Stones,0.999237060546875
lyriclens,violence,token_weighted_mean,high,2,song_cba5c90b4d96ba8398dbcda9b64df8f65f27556d422548e4fd0f85d665ffee84,Vigilante Shit,Taylor Swift,0.9991186261177063
lyriclens,violence,token_weighted_mean,high,3,song_d92c9c969ef6faa0d0b2115b652c61268381ee491bc4f03c32990feb5a3c9e45,Paint The Town Red,Doja Cat,0.9988524913787842
lyriclens,substance,token_weighted_mean,low,1,song_10f21a7ac2fc5e27711d31d4a39dd3e60c793cda1e918d41a79a3b7b83519df3,Not Nice,PARTYNEXTDOOR,0.0003945846692658961
lyriclens,substance,token_weighted_mean,low,2,song_0c97bdf048572221cf295545083a45a1572bcc8f0c307a006c0956c93c908099,Over It,Katharine McPhee,0.0004770357918459922
lyriclens,substance,token_weighted_mean,low,3,song_4193018621671b33686f0f4a8f71a8dce155ed2550680eadcf1af84134cfd4ad,I'll Take Good Care Of You,Garnet Mimms,0.00048072481877170503
lyriclens,substance,token_weighted_mean,high,1,song_f1bddb6c30e8373851eaf182907b098d1766fc67c2fc89c0c55665db81104c46,If I Were A Boy,Beyonce,0.999404788017273
lyriclens,substance,token_weighted_mean,high,2,song_b5dba8821898b6e121e493b47cf4d536d7a7c5d16bcc38aaedc2b4899288889d,New Rules,Dua Lipa,0.9991021156311035
lyriclens,substance,token_weighted_mean,high,3,song_751d25e9b99372f7eda29a930ec0da919ff16f4b64b750d2e0374512195983b1,Touch The Sky,Kanye West Featuring Lupe Fiasco,0.9985647797584534
lyriclens,explicit_language,token_weighted_mean,low,1,song_e860962415e52ac4be856ff3fa67796897ffd7bed74fc6959aa53ced2839c9e0,Flashdance...What A Feeling,Irene Cara,0.0007651577470824122
lyriclens,explicit_language,token_weighted_mean,low,2,song_38ab85ef42919e3470a0bba519d88e130e73773df3fe01aec967b66c83a71a6d,Mary Ann Regrets,Burl Ives,0.0009586123051121831
