column,mean_absolute_change,maximum_absolute_change,changed_above_01,changed_above_10,largest_song_id,largest_title,largest_artist,prefix_score,whole_song_score
ll_sexual_content,0.0009068759285869745,0.1271709446209233,2,1,song_fcee43b920ec51e027d82e5ebc7bf690e03815c44a91d5aaaa74f62fb232fd79,Macarena,Los Del Rio,0.31479206681251526,0.18762112219159197
ll_violence,0.001555989612773974,0.3106913296723611,1,1,song_e5a9b37663cfbdb5ae172e52dd414002d0cd701bc5969a41cb382007b35a9092,Money Ain't A Thang,JD Featuring Jay-Z,0.9970006346702576,0.6863093049978964
ll_explicit_language,1.1175090555820764e-05,0.0017773061263852002,0,0,song_fcee43b920ec51e027d82e5ebc7bf690e03815c44a91d5aaaa74f62fb232fd79,Macarena,Los Del Rio,0.10630765557289124,0.10808496169927644
ll_substance_use,0.0007172235130835521,0.1078359849883419,2,1,song_e5a9b37663cfbdb5ae172e52dd414002d0cd701bc5969a41cb382007b35a9092,Money Ain't A Thang,JD Featuring Jay-Z,0.9706376791000366,0.8628016941116947
detox_toxicity,0.017130522138336924,0.3350919531658292,43,10,song_be18506dff183b6a8ee7e34e0063fde1d8f047a431bce1ad15210cd247070d71,No Scrubs,TLC,0.7091788053512573,0.37408685218542814
detox_severe_toxicity,0.0032835029165142614,0.14772071316838264,12,1,song_8e7a07712e424d6dc71b31f594afafc6604cf5d4f09fcf81c91908a2c45b979d,Anaconda,Nicki Minaj,0.08862017095088959,0.23634088411927223
detox_obscene,0.01431366334457476,0.31241633463328683,39,9,song_0952b517e2fef799bf238e7dc58b1371cc57ea3450759f0c13ba18c1ca658fc1,America Has A Problem,Beyonce Featuring Kendrick Lamar,0.6367460489273071,0.3243297142940203
detox_threat,0.0014655045527205005,0.12940818988130848,5,1,song_cffa8f01b4504b05fce295326727af806635a4c532bd69e16f74e64a773bfaf9,"Skoal, Chevy, And Browning",Morgan Wallen,0.030555499717593193,0.15996368959890167
detox_insult,0.01401820822792074,0.24064957102139795,32,12,song_e974a41fe0c5464980062ef5bfe8c01e1fb90ce11c92a2aa9e4e4dc84512c6aa,iPHONE,DaBaby & Nicki Minaj,0.422730952501297,0.6633805235226949
detox_identity_attack,0.007061199542576052,0.19592962787338736,19,5,song_179feb8a79929d69156bfaf7c8ed48a7d01d17db6762f40e1d540507cc4f76e6,Gin And Juice,Snoop Doggy Dogg,0.45667776465415955,0.2607481367807722
detox_sexual_explicit,0.010744074934032911,0.3978600427508354,31,4,song_12e5afc3faa7419560ec277fc93b2f9c2313f0d785af09170a1f2f2f60c5fa8e,MEGATRON,Nicki Minaj,0.04643576964735985,0.44429581239819527
