score,side,rank,song_id,title,artist,value
toxicity,lowest,1,song_9277254377f0ed6ea2c94d6f5d17ee81782d30bd4f80f6185a6d4d87c99850f7,Hold On,Ian Gomm,0.00035254747490398586
toxicity,lowest,2,song_e12f73c01a9b74f42d83be6090427aacf2b73668f80c0ff93c72f9ce5a7a0f79,It's So Hard To Say Goodbye To Yesterday,Boyz II Men,0.00039527344051748514
toxicity,lowest,3,song_4cc7506f1e8d8210be05ab31ae91bd610554d866b02bf85d1040cd114b42b273,Never A Time,Genesis,0.0004979209043085575
toxicity,highest,1,song_5194b6c0df56b87df950120af2c8399eb039c29f29878b87ff284b768eb9ab5a,I Don't Like,Chief Keef Featuring Lil Reese,0.9951336979866028
toxicity,highest,2,song_97dde8742e0cc2461773a6d71873bf7831160cc7b3b82fcb096f1022b4c12759,WAP,Cardi B Featuring Megan Thee Stallion,0.9939181804656982
toxicity,highest,3,song_a9824e4acd085fbd53e561a95b0a44b852833928c774ab7affba998ddfec95a6,Closer,Nine Inch Nails,0.9934130311012268
severe_toxicity,lowest,1,song_05be1f29e67911d8e269dbbba495ee25b92120a0aba32db094923f7adf2183b7,Are We Ourselves?,The Fixx,1.283591359424463e-06
severe_toxicity,lowest,2,song_4cc7506f1e8d8210be05ab31ae91bd610554d866b02bf85d1040cd114b42b273,Never A Time,Genesis,1.3206553148847888e-06
severe_toxicity,lowest,3,song_9277254377f0ed6ea2c94d6f5d17ee81782d30bd4f80f6185a6d4d87c99850f7,Hold On,Ian Gomm,1.3293654319568304e-06
severe_toxicity,highest,1,song_5194b6c0df56b87df950120af2c8399eb039c29f29878b87ff284b768eb9ab5a,I Don't Like,Chief Keef Featuring Lil Reese,0.4818353056907654
severe_toxicity,highest,2,song_97dde8742e0cc2461773a6d71873bf7831160cc7b3b82fcb096f1022b4c12759,WAP,Cardi B Featuring Megan Thee Stallion,0.2790602743625641
severe_toxicity,highest,3,song_179feb8a79929d69156bfaf7c8ed48a7d01d17db6762f40e1d540507cc4f76e6,Gin And Juice,Snoop Doggy Dogg,0.18554958701133728
obscene,lowest,1,song_e12f73c01a9b74f42d83be6090427aacf2b73668f80c0ff93c72f9ce5a7a0f79,It's So Hard To Say Goodbye To Yesterday,Boyz II Men,3.238518183934502e-05
obscene,lowest,2,song_9277254377f0ed6ea2c94d6f5d17ee81782d30bd4f80f6185a6d4d87c99850f7,Hold On,Ian Gomm,3.381581700523384e-05
obscene,lowest,3,song_05be1f29e67911d8e269dbbba495ee25b92120a0aba32db094923f7adf2183b7,Are We Ourselves?,The Fixx,3.442978413659148e-05
obscene,highest,1,song_5194b6c0df56b87df950120af2c8399eb039c29f29878b87ff284b768eb9ab5a,I Don't Like,Chief Keef Featuring Lil Reese,0.9837020635604858
obscene,highest,2,song_97dde8742e0cc2461773a6d71873bf7831160cc7b3b82fcb096f1022b4c12759,WAP,Cardi B Featuring Megan Thee Stallion,0.98148512840271
obscene,highest,3,song_179feb8a79929d69156bfaf7c8ed48a7d01d17db6762f40e1d540507cc4f76e6,Gin And Juice,Snoop Doggy Dogg,0.9612946510314941
identity_attack,lowest,1,song_9277254377f0ed6ea2c94d6f5d17ee81782d30bd4f80f6185a6d4d87c99850f7,Hold On,Ian Gomm,5.337901529856026e-05
identity_attack,lowest,2,song_e12f73c01a9b74f42d83be6090427aacf2b73668f80c0ff93c72f9ce5a7a0f79,It's So Hard To Say Goodbye To Yesterday,Boyz II Men,6.185105303302407e-05
identity_attack,lowest,3,song_4cc7506f1e8d8210be05ab31ae91bd610554d866b02bf85d1040cd114b42b273,Never A Time,Genesis,6.210502033354715e-05
identity_attack,highest,1,song_5194b6c0df56b87df950120af2c8399eb039c29f29878b87ff284b768eb9ab5a,I Don't Like,Chief Keef Featuring Lil Reese,0.6620990037918091
identity_attack,highest,2,song_179feb8a79929d69156bfaf7c8ed48a7d01d17db6762f40e1d540507cc4f76e6,Gin And Juice,Snoop Doggy Dogg,0.45667776465415955
identity_attack,highest,3,song_5b6151e450109eb89d22335df7f3d97858a0b0d0e06a7b9670968701042ab43e,What Happened To Virgil,Lil Durk Featuring Gunna,0.32430049777030945
insult,lowest,1,song_9277254377f0ed6ea2c94d6f5d17ee81782d30bd4f80f6185a6d4d87c99850f7,Hold On,Ian Gomm,0.00010439434845466167
