song_id,title,artist,period,first_chart_date,best_chart_rank,months_selected,word_count,lyrics_sha256,sample_component,sampling_cell,sexual_content_score,violence_score,explicit_language_score,substance_use_score,CSI,app_CSI,MCR,token_count,truncated,inference_seconds,inference_version,model_commit,model_sha256,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,detoxify_token_count,detoxify_input_tokens,detoxify_truncated,review_selection,lyriclens_judgment,detoxify_judgment,review_focus,note,evidence_scope
song_0aed0baea9ae5d346cf2c42de2f92d7bd81418aa8269b3f685d489fdbf4cc08d,My Girl,The Temptations,1958–1969,1965-01-16,1,4,166,a758d51e8542965b29d94239cf11464d8708545f2591e4c62af4e54e75af85a2,expected_mild,sentinel,0.6315861940383911,0.0007344101322814822,0.018540220335125923,0.0024292112793773413,16.332250894629396,6.579309701919556,M-P,183,0,0.6329108751378953,lyriclens-evaluation-v1,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,0.004013258032500744,2.326497997273691e-05,0.00043298915261402726,0.0023440432269126177,0.0007211262709461153,7.142221147660166e-05,0.0006332724005915225,261,261,False,expected_mild,clearly_wrong,plausible,sexual content,Ordinary affectionate imagery was overcalled as sexual by LyricLens; Detoxify stays low.,prior full-lyric read-through notes plus current scores/context diagnostics
song_4eedaac548f0db66c979575510092e16f414750629bddb6217182d6a43faa1ca,Love Makes A Woman,Barbara Acklin,1958–1969,1968-07-13,15,3,204,8b3bd11dbf5586187b37ac05c14b7319ad82d1bb57ec7271a74f74d1c7cde9fa,stratified_core,rank0_length1,0.5973220467567444,0.0009404759621247649,0.002484153490513563,0.009359948337078094,15.25266561366152,4.866102337837219,M-P,233,0,0.5911134998314083,lyriclens-evaluation-v1,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,0.004843883216381073,4.528346107690595e-05,0.0002797513152472675,0.0022127230186015368,0.0008358446066267788,0.00022761840955354273,0.001362294307909906,338,338,False,period toxicity midpoint,questionable,plausible,sexual content,Romantic framing and the inspected context do not establish explicit sexual material; low Detoxify is consistent with its narrower label.,"targeted lyric context and full-text lexical audit; provisional, not exhaustive semantic annotation"
song_109e58fdb577eb713ec9844630010a1ea9f502a212041ef4edd19d8d91f292d2,Lay A Little Lovin' On Me,Robin McNamara,1970s,1970-05-30,11,4,324,134ad0c187c25be5f5b1333e1426b1961fe623b3f80e8a28215e11f0325bbbf8,stratified_core,rank0_length2,0.997002899646759,0.005749649368226528,0.31612080335617065,0.0031197683420032263,33.049828017828986,24.85014498233795,M-AO,373,0,0.6177944170776755,lyriclens-evaluation-v1,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,0.2084776610136032,0.0006041390588507056,0.07814013957977295,0.0024350062012672424,0.014278517104685307,0.0007062908262014389,0.06679651141166687,478,478,False,deterministic supplementary review,questionable,plausible,sexual content,"Kissing and romantic invitation support suggestiveness, but LyricLens near-one is not evidence of explicit severity. Detoxify is lower.","targeted lyric context and full-text lexical audit; provisional, not exhaustive semantic annotation"
song_21c7c8f7417b94a8c111b2a1c7570396b0e49f3c9f7cbbdd593d6d1c03d738d9,You Are The Sunshine Of My Life,Stevie Wonder,1970s,1973-03-17,1,5,180,46156e8df294a41177a857509efd632b6c5f7f02e9c19ecdd0e030ff57a4f55b,expected_mild,sentinel,0.019491935148835182,0.0063695828430354595,0.0020082530099898577,0.004418590106070042,0.8072090276982635,0.0,M-E,191,0,0.5879221670329571,lyriclens-evaluation-v1,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,0.0013235959922894835,3.962524260714417e-06,0.0001389652898069471,9.602583304513246e-05,0.0003729292657226324,2.807491364364978e-05,7.708521297900006e-05,246,246,False,expected_mild,plausible,plausible,low-content agreement,Affectionate material; both models stay low in the overlapping categories.,prior full-lyric read-through notes plus current scores/context diagnostics
song_23d90431f2ad7d4f8d31fc70fb9bc9aad106a4f8849752e76e878e6e017eb477,Imagine,John Lennon/Plastic Ono Band,1970s,1971-10-23,3,3,137,ef47eec02090cfc129a4b05ce093981cf8f39ced5dabf10c8174f43e0123085b,expected_mild,sentinel,0.00755851436406374,0.9949536919593811,0.9927974343299866,0.03590836003422737,50.78045001719147,49.387556314468384,M-AO,156,0,0.6089508750010282,lyriclens-evaluation-v1,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,0.035999055951833725,3.194328382960521e-05,0.0011862851679325104,0.0018836017698049545,0.002282430650666356,0.00564507395029068,0.0002831459860317409,210,210,False,expected_mild; explicit_language_score exceeds obscene; explicit_language_score exceeds toxicity,questionable,plausible,violence and language,Negated killing and a religious reference inflated LyricLens violence/language. Low Detoxify threat fits the peace-oriented context; mention is not endorsement.,prior full-lyric read-through notes plus current scores/context diagnostics
song_2a783aa21125846631c321e170948f1689071a051714cf6e57c7cfb4ba6c8b89,Let's Get It On,Marvin Gaye,1970s,1973-07-14,1,5,252,4617af1916d56fb2180a8f53de20c100c72d5d51b2acaff355aef37bb94cb74c,expected_content,sentinel,0.9951528310775757,0.003524253610521555,0.619537353515625,0.0033059804700315,40.53801046684384,30.734509229660034,M-AO,273,0,0.5961287908721715,lyriclens-evaluation-v1,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,0.03438269719481468,0.0001133454279624857,0.01320420578122139,0.001383091090247035,0.0033348205033689737,0.00041376156150363386,0.010849886573851109,418,418,False,expected_content,questionable,questionable,sexual content and language,"Sexual invitation supports LyricLens sexual presence, but not its language score. Detoxify sexual_explicit is very low despite the sexual theme; narrower explicitness could explain part of this.",prior full-lyric read-through notes plus current scores/context diagnostics
song_5f0eaf882be171e9e96fec731f59733be3990d8ac7eaf8a258c5eb15da894eb3,You've Got A Friend,James Taylor,1970s,1971-06-05,1,4,284,ca449669634be69391e989ac31a7cc96e28784f1bb1f510d6873ec1469708dde,expected_mild,sentinel,0.004763667471706867,0.6004038453102112,0.0047912136651575565,0.001519678276963532,15.286960118100978,5.020192265510559,M-P,311,0,0.615714207990095,lyriclens-evaluation-v1,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,0.012319321744143963,1.1240059393458068e-05,0.0010520567884668708,0.00041213049553334713,0.0018986903596669436,0.00041185846203006804,0.0002260571054648608,406,406,False,expected_mild,questionable,plausible,violence,Figurative hurt and emotional support explain the LyricLens violence concern; low Detoxify threat is appropriate.,prior full-lyric read-through notes plus current scores/context diagnostics
song_68dc4986474def8d475f2c997d665706774730408ee1330071322a31354abc97,Rings,Cymarron,1970s,1971-06-12,17,3,190,012b3e82ddbe9894c4ed9a201d4dda6cc8d2c92b832fa70cd1ffd5689e167bde,stratified_core,rank0_length0,0.9974713325500488,0.014896214939653873,0.009161537513136864,0.007744854781776667,25.731848494615406,24.87356662750244,M-AO,213,0,0.5939179169945419,lyriclens-evaluation-v1,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,0.0019960456993430853,1.2076214261469431e-05,0.0002623798791319132,0.00032940602977760136,0.0005681837210431695,5.2273702749516815e-05,0.00012518116272985935,289,289,False,sexual_content_score exceeds sexual_explicit,questionable,plausible,sexual content,The inspected relationship context and lack of direct sexual cues in the lexical audit do not justify interpreting near-one LyricLens as explicit severity. Low Detoxify is plausible; targeted review only.,"targeted lyric context and full-text lexical audit; provisional, not exhaustive semantic annotation"
song_9277254377f0ed6ea2c94d6f5d17ee81782d30bd4f80f6185a6d4d87c99850f7,Hold On,Ian Gomm,1970s,1979-09-01,18,3,162,e1e034cab6b7bffe3b2337283d429cfb178fed63cf7061204ec4510828ce9f6b,stratified_core,rank0_length0,0.0038846239913254976,0.0026979795657098293,0.007274902891367674,0.02969694323837757,1.0888612421695143,0.0,M-E,181,0,0.5917725001927465,lyriclens-evaluation-v1,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,0.00035254747490398586,1.3293654319568304e-06,3.381581700523384e-05,5.337901529856026e-05,0.00010439434845466167,1.653539584367536e-05,1.3729860256717075e-05,226,226,False,toxicity minimum; identity_attack minimum; insult minimum; sexual_explicit minimum,plausible,plausible,low-content agreement,Heartbreak framing with low scores in both models; inspected context supports the low-content interpretation.,"targeted lyric context and full-text lexical audit; provisional, not exhaustive semantic annotation"
song_a0d2022d699c35704ab0f0e43a6856fcd3fa30930d806529eb228106de34770e,Let It Be,The Beatles,1970s,1970-03-21,1,4,268,bfa8b3b036bba5010406e0ecd48bf0447c52d71f0fcc924d81f328083f2f3476,expected_mild,sentinel,0.0035002122167497873,0.006324958987534046,0.0048196688294410706,0.012801241129636765,0.6861520290840417,0.0,M-E,271,0,0.5978933330625296,lyriclens-evaluation-v1,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,0.0026394298765808344,1.202239036501851e-05,0.0006050129304639995,0.00030475971288979053,0.0005127471522428095,4.185933357803151e-05,0.0002123652957379818,367,367,False,expected_mild,plausible,plausible,low-content agreement,Comfort and acceptance; no obvious conflict with low scores.,prior full-lyric read-through notes plus current scores/context diagnostics
