song_id,title,artist,period,primary_genre,confidence,judgment,review_note,external_source
song_00b691d31d665c4ac6ba9f35c010873067d04fb7c87afbd4665fc74ae133c761,You're So Vain,Carly Simon,1970s,Rock,high,plausible,Soft-rock primary is defensible at the pop boundary.,
song_010b7e0f1b1df91a17b98fd560ab7cd0b3994c28766a42d4e188bdb07a61f1a8,Save Room,John Legend,2000s,R&B / Soul,high,plausible,Neo-soul/R&B identity agrees with recording evidence.,
song_025b41f13aedc5f86a57d0723891567b437b6a3f7e5a8be3eaa9217db5fa0456,I Can Take It From There,Chris Young,2010–2019,Country,medium,plausible,Country assignment is plausible; indirect artist evidence limits certainty.,
song_03562f34a8e191c27ccb5f1760beabc5d35fb9e08a34ef1a1ac55eacd3d0f4f1,Shape Of You,Ed Sheeran,2010–2019,Pop,high,plausible,Recognizable mainstream pop recording with crossover production.,
song_05777051d2c67b7ff65bac100a3997e293d7a0aa17baf55968998126bc65c3a8,I've Got To Use My Imagination,Gladys Knight And The Pips,1970s,R&B / Soul,high,plausible,Soul performance and recording evidence agree.,
song_065cf4940d7d35e711ee188350572a9d81bda36088927077d0f0fb7b57fc9005,Rhythm Is A Dancer,Snap!,1990s,Electronic / Dance,high,plausible,Eurodance recording fits Dance directly.,
song_0673e898dc1b02e7e4cc967162816b13634d3ff6bd7832f243e4be0244f1ba84,Every Other Time,LFO,2000s,Pop,high,plausible,Teen-pop primary accommodates the rap elements.,
song_07717c9f00e1b4944523934e158ac8c0e7ee3b7a6fc8cbd46054d4d1a0d4172c,U Make Me Wanna,Jadakiss Featuring Mariah Carey,2000s,Hip-Hop / Rap,medium,plausible,Rap-led collaboration with an R&B hook fits the primary.,
song_0c8a3f06ac2a8793ced82000015ca00d7e45c4a8ea05c548dc5d6fc31d579f9b,Indifferent,Megan Moroney,2020–2026,Country,medium,plausible,Country context supports the broad choice; no independent song-level verification.,
song_0e50d38ca3f38e2876e7e8e56d891062ce8869b7b319650205bcaa5af116c51f,A Letter To Myself,The Chi-lites,1970s,R&B / Soul,high,plausible,Soul vocal-group recording fits the supplied evidence.,
song_0e825e3109da8d3c31e8862a4c89e3e272f17f979c3f75dd896ea29caa1f5263,You Can't Sit Down Part 2,Philip Upchurch Combo,1958–1969,R&B / Soul,medium,plausible,Instrumental R&B is defensible despite jazz-combo context.,
song_0f5b4de5f65db52efb583b1e5fec43fcd512e31a11b6c678aa1e8c520d116280,I'll Be With You In Apple Blossom Time,Wayne Newton,1958–1969,Pop,medium,plausible,Traditional vocal pop fits this version.,
song_102b48d06fbc652f75437e969f262936083a26b537c295d9402b26aea08164c6,Fooled Around And Fell In Love,Elvin Bishop,1970s,Rock,high,plausible,Blues-rock/soft-rock crossover supports Rock.,
song_13747426f62c24af8c4bedfd79e54cf2cae3a53d860a9b579d908d0e8bf2187c,I Saw The Light,Todd Rundgren,1970s,Rock,high,plausible,Power-pop/pop-rock boundary supports either broad label.,
song_16227be19cfac2f32137e5e3dfe9132f286d30a794d878b4ca1a0b60200566a7,Homegrown Honey,Darius Rucker,2010–2019,Country,high,plausible,Country recording evidence is consistent.,
song_183192bb280392886b80ccbd0f56578e260f8a182b5139da49e17c1a90fe36e6,Your Idol,"Saja Boys: Andrew Choi, Neckwav, Danny Chung, Kevin Woo & samUIL Lee",2020–2026,K-Pop,medium,plausible,"Fictional idol-group soundtrack context makes K-Pop plausible, not nationality alone.",
song_1fac5b45dd9a2bd9626ed2912117725916e02cfae58cd8e2f3121f7d8e7a79d2,Love Is Blue (L'amour Est Bleu),Paul Mauriat And His Orchestra,1958–1969,Other,high,plausible,Orchestral easy listening can reasonably occupy Other in this taxonomy.,
song_20b61d3374c6d01f3af510742141caf886bd9f33478a2e3fd2655980b042dacd,Divine Thing,The Soup Dragons,1990s,Alternative / Indie,high,plausible,Alternative-rock recording evidence supports the primary.,
song_232142e8e6e171d1976ba11cb77409c7a1aa2848c033772bf55b65eee6be3232,Only Women Bleed,Favorite Angel,1990s,Other,low,questionable,"Other expresses nonrecognition, not established style; external discography instead suggests pop/rock.",https://rareandobscuremusic.wordpress.com/2014/08/29/favorite-angel/
song_23bd1fb32f2b6f247da028c36c1200bbd7844afd64ec9ad46119320297d5831c,I'm Your Boogie Man,KC And The Sunshine Band,1970s,Electronic / Dance,high,plausible,Disco fits Dance despite funk/soul crossover.,
