song_id,title,artist,period,primary_genre,confidence,reason,identity_primary,review,identity_review,review_note,review_source
song_26dc8b6a55362935b770a92681be528031e1eae60d47b21f5bbe20b9a2398b27,White Bucks And Saddle Shoes,"Bobby Pedrick, Jr.",1958–1969,Pop,low,"No tags are supplied; the identifiable late-1950s teen-pop novelty/rock-and-roll context suggests pop, but the basis is indirect and uncertain.",,,,,
song_2d1c4e54ff3b4fea69b44bc5076c5c2e707dc6f2834e4bef86e57b071425eda2,Can't Help Falling In Love,Elvis Presley With The Jordanaires,1958–1969,Pop,high,"Recording tags include strong pop and rock evidence, but the identifiable Elvis recording is a pop ballad rather than primarily rock-and-roll.",,,,,
song_30d830a95ffb8c7322352dd1f2121a5deea8394105665f02987fe06fa0a7b146,In And Out Of Love,Diana Ross & The Supremes,1958–1969,R&B / Soul,medium,"No tags are supplied, but the identifiable Diana Ross & The Supremes Motown single is soul-pop; absent direct evidence keeps confidence moderate.",R&B / Soul,,,,
song_3bdcd0c52b13009a6dc8b41cff8ae72333763ec0677acbdc762853aba365b808,The Christmas Song (Merry Christmas To You),Nat King Cole,1958–1969,Jazz / Blues,high,"Recording tags include jazz and swing alongside holiday labels; the identifiable Nat King Cole recording is a jazz/traditional pop vocal standard, with jazz the best taxonomy fit.",,,,,
song_445ce019f72fefe5e322a604f3bf07c182e78c35bce0cb59086d3947a50d1916,Let Me In,The Sensations,1958–1969,R&B / Soul,high,Recording tags strongly indicate doo-wop with R&B and soul support; learned context also fits an early-1960s vocal-group R&B/pop crossover.,R&B / Soul,,,,
song_50ea809b682afcab684a2f64fcfd5e86c3286489df4267129108b5b8893a4bf8,Like A Rolling Stone,Bob Dylan,1958–1969,Rock,high,"No tags were supplied, but the identifiable Bob Dylan recording is widely known as a landmark folk-rock/rock single rather than purely acoustic folk.",,,,,
song_5a5cd16abaf07246bb5337c8d24388917029f3347ac3b755d00e4df427018642,Unwind,Ray Stevens,1958–1969,Other,low,"Supplied recording tags only indicate comedy and novelty, which do not map cleanly to the taxonomy, and there is too little style evidence for a defensible musical genre.",,,,,
song_629b0d4543a0482a9145a0a75efd8b0f3e2bef536b05e6cb73fc5f7bfd4678c7,Hey Jude,The Beatles,1958–1969,Rock,high,"No tags were supplied, but the identifiable Beatles recording is a rock/pop ballad with strong mainstream pop crossover.",,,,,
song_6ff9b0c852e2518543efdeb12a8d461bb12cb1f08d87f7f3872960d2d742929e,For Your Love,Peaches & Herb,1958–1969,R&B / Soul,medium,"No tags were supplied, but this identifiable Peaches & Herb version is best understood as late-1960s soul/R&B vocal pop; exact arrangement evidence is indirect.",R&B / Soul,,,,
song_73bb6d17dc79b2d3de5b3da5aa9c9bac42813c975b368517a5f7e28fdd76e1c6,"Hold Me, Thrill Me, Kiss Me",Mel Carter,1958–1969,Pop,high,"Recording tags most strongly support pop and classic pop vocals, with doo-wop, R&B, and soul showing genuine vocal-pop crossover.",Pop,,,,
song_7e30c1693734863a0fecc8328bf158f36c0fedb96ad6b1a253efba966bc482af,The Guns Of Navarone,Joe Reisman Orch. & Chorus,1958–1969,Other,medium,"No tags were supplied; the identifiable orchestral theme recording is primarily instrumental film/TV orchestral music, outside the taxonomy despite some popular-chart context.",Other,,,,
song_8c13d8e4ead4fff60549ddec575dad40428747a694cb844f51a73e2e59e443e1,Respect,Aretha Franklin,1958–1969,R&B / Soul,high,"Identifiable Aretha Franklin recording; supplied recording tags heavily support soul, R&B, rhythm and blues, and deep soul, with pop/rock only secondary noise.",R&B / Soul,,,,
song_940fad53a151dbed140e4f3434e01f801e7bf9f6c2bc8ab11087d241736bfade,Folsom Prison Blues,Johnny Cash,1958–1969,Country,high,"Identifiable Johnny Cash recording; recording tags strongly support country, classic country, Americana, and country rock, with rock as a genuine crossover element.",,,,,
song_9a06fb279bf9a89ed1a79eccc04ee6dd680a707912152979014ba32ccadf8d7c,True Love Goes On And On,Burl Ives,1958–1969,Folk / Singer-Songwriter,low,"Only an oldies tag is supplied; learned artist context points toward Burl Ives's folk/pop vocal lane, but this specific recording has sparse evidence.",,,,,
song_ad441ca7d322688fff5b1fcb0977b786e5d613405e7dd3e05f181c5f4a2ebe6c,I Fall To Pieces,Patsy Cline,1958–1969,Country,high,"Identifiable Patsy Cline recording; supplied tags strongly support country, classic country, Nashville sound, and traditional country.",,,,,
song_aec5a72fd688d3465643aa325e35349fa4c0a9a062230772a3e5b5fab3bd2dac,"Hello, Dolly!",Louis Armstrong And The All Stars,1958–1969,Jazz / Blues,high,"No tags are supplied, but this identifiable Louis Armstrong hit is a jazz/pop show-tune performance, with Armstrong's style supporting jazz as primary.",,,,,
song_c175234ba4926133ea1ec08dc7971e3446004ae13bd450e4937342dcfc6bf077,I Heard It Through The Grapevine,Marvin Gaye,1958–1969,R&B / Soul,high,"Identifiable Marvin Gaye Motown hit; recording tags strongly support soul, R&B, funk and Motown, with pop/rock tags secondary to its soul style.",,,,,
song_c621cfa245241f1ede4d5a3c0552e33fcf76bcfd4ccb6daa72e3ad013b3d4fa0,I Can't Stop Loving You,Ray Charles,1958–1969,R&B / Soul,high,"Identifiable Ray Charles crossover recording; tags most strongly support soul and R&B, while jazz, blues and country evidence reflect genuine stylistic crossover.",Country,,,,
song_d1144e651a7db9b1bfac074c20e133c378ff0d99c0fb41156bb1677cb1b254a3,Over And Over,Bobby Day,1958–1969,Rock,medium,"Recording tags split between doo-wop/R&B and rock and roll for Bobby Day, making early rock and roll the best broad fit with R&B crossover.",R&B / Soul,,,,
song_de9170e8e62446f52437643bfd1b1dd47bc4b8293c7035f8888c5d679cef5cd8,Malayisha,Miriam Makeba,1958–1969,Other,low,"No supplied tags and the specific recording is not clear enough here; Miriam Makeba context suggests African popular/folk influence, but that is insufficient song-specific evidence.",Afrobeats / African Pop,,,,
