song_id,title,artist,period,primary_genre,human_judgment,human_notes
song_2d1c4e54ff3b4fea69b44bc5076c5c2e707dc6f2834e4bef86e57b071425eda2,Can't Help Falling In Love,Elvis Presley With The Jordanaires,1958–1969,Rock,,
song_73bb6d17dc79b2d3de5b3da5aa9c9bac42813c975b368517a5f7e28fdd76e1c6,"Hold Me, Thrill Me, Kiss Me",Mel Carter,1958–1969,R&B / Soul,,
song_8158e07affce61a84c99ebed07534c0f6019552dbe832198ce67ea9249e440a1,Magic Bus,The Who,1958–1969,Rock,,
song_8c13d8e4ead4fff60549ddec575dad40428747a694cb844f51a73e2e59e443e1,Respect,Aretha Franklin,1958–1969,R&B / Soul,,
song_940fad53a151dbed140e4f3434e01f801e7bf9f6c2bc8ab11087d241736bfade,Folsom Prison Blues,Johnny Cash,1958–1969,Country,,
song_ad441ca7d322688fff5b1fcb0977b786e5d613405e7dd3e05f181c5f4a2ebe6c,I Fall To Pieces,Patsy Cline,1958–1969,Country,,
song_c175234ba4926133ea1ec08dc7971e3446004ae13bd450e4937342dcfc6bf077,I Heard It Through The Grapevine,Marvin Gaye,1958–1969,R&B / Soul,,
song_c621cfa245241f1ede4d5a3c0552e33fcf76bcfd4ccb6daa72e3ad013b3d4fa0,I Can't Stop Loving You,Ray Charles,1958–1969,R&B / Soul,,
song_f3127d6f2653bb27e9426e1083bd85ecb0d3b2608413c997eac86dc7d49c2c33,Nothing But A Heartache,The Flirtations,1958–1969,R&B / Soul,,
song_002cebf313bfd5ccfd563b8ec75fc04cee875e3417d9f4c8bca42ea377016acf,Let's Stay Together,Al Green,1970s,R&B / Soul,,
song_1f3dbe6945ae1849e0479aa13b2ac79769d21af4419b277f92c42de038a0a958,Jolene,Dolly Parton,1970s,Country,,
song_2bda53214f9966fed82b2cfd364d0f25aea14669dd309b4769d644cf34984590,Wasted Days And Wasted Nights,Freddy Fender,1970s,Country,,
song_38d0d5e2405fe078b549574ae439493921f67afb2d9feecd05fb20b169cf6d21,Fooling Yourself (The Angry Young Man),Styx,1970s,Rock,,
song_3d3d6dbe6afb23cfdf8bdb56ae16f1238644091c6091cfea602a92f3ec0a978e,Stayin' Alive,Bee Gees,1970s,Electronic / Dance,,
song_3eb736395cef262f74b3ad8d05022ba5e4433e4f2bec3cf292bbd0b625834420,Right On The Tip Of My Tongue,Brenda & The Tabulations,1970s,R&B / Soul,,
song_3f03586f6e4f59f31fb4a4e5f6fb42e49d0ef36328eefef2164e31fd1299a1d0,We Are Family,Sister Sledge,1970s,Electronic / Dance,,
song_5ad09d487797f0b25f25cdc057d4daa9cb0603c8b37b8df55625112d6156b849,(Where Do I Begin) Love Story,Andy Williams,1970s,Pop,,
song_743651acd80309a38ef51ee4e42f7dc5e9cd9a4d8a66440fa563b76e7a855478,Feels So Good,Chuck Mangione,1970s,Jazz / Blues,,
song_8c901f5b3e5e4c25f7cf44180cd1bedcb3567ea88b9e7b4153fe86d1ba6fa8c8,Take Me In Your Arms (Rock Me),The Doobie Brothers,1970s,Rock,,
song_b03e2ccfd2ef38b55a5a4b9d561ca174161c714d8d380d32b50b28679ab09813,What Can I Do With This Broken Heart,England Dan & John Ford Coley,1970s,Rock,,
song_b7ae45ffd7fb35b6bd81abbfb4fc36b04071dbe8847757321e5c8dc779360e24,I Feel Love,Donna Summer,1970s,Electronic / Dance,,
song_0a4467e4f6348ed58844edeb408b801f03fefaed28f0594d30a62706c6b0fca4,New World Man,Rush,1980s,Rock,,
song_37a4d0085f53ce98da3e9da4fd8efabcd01ec5858244c84d6a9a6e65d9571e36,Shame On The Moon,Bob Seger & The Silver Bullet Band,1980s,Rock,,
song_6063e3caaf6f18469a7a32f76f64fd10bc58b26e3b16a50159463c8e00ed62dc,I Wanna Dance With Somebody (Who Loves Me),Whitney Houston,1980s,Pop,,
song_63e9f093b529ca7dc0ea22959a6c2ea68205186ed2e11a507c43fd4b6f41f7cd,I Feel For You,Chaka Khan,1980s,Pop,,
song_7bd2bf2045e94364196d1d0692a69c3eca9cdc58cf9e955096695cdebd374316,I'll Wait,Van Halen,1980s,Rock,,
song_9b69efe97ee2317d76c9725dc34d48ada43766dde1cb10deb8f2413a8514a068,Crazy For You,Madonna,1980s,Pop,,
song_a7197574545e330517462fa119faa8564536ede13d65ed7f397ab96866e5d2de,Lost In Your Eyes,Debbie Gibson,1980s,Pop,,
song_bd6376a34f2de0be504db8d256d94eff21b823a697c698e02dab73d9476f0062,Still Loving You,Scorpions,1980s,Rock,,
