song_id,title,artist,period,first_chart_date,best_chart_rank,months_selected,word_count,lyrics_sha256,sample_component,sampling_cell,sexual_content_score,violence_score,explicit_language_score,substance_use_score,CSI,app_CSI,MCR,token_count,truncated,inference_seconds,inference_version,model_commit,model_sha256,review_selection,verdict,note,text_quality_note
song_0aed0baea9ae5d346cf2c42de2f92d7bd81418aa8269b3f685d489fdbf4cc08d,My Girl,The Temptations,1958–1969,1965-01-16,1,4,166,a758d51e8542965b29d94239cf11464d8708545f2591e4c62af4e54e75af85a2,expected_mild,sentinel,0.6315861940383911,0.0007344101322814822,0.018540220335125923,0.0024292112793773413,16.332250894629396,6.579309701919556,M-P,183,0,0.6329108751378953,lyriclens-evaluation-v1,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,expected_mild,clearly_wrong,"Affection and happiness, without sexual acts or erotic description; sexual probability 0.632 is not face-valid for explicit-content measurement.",
song_2a783aa21125846631c321e170948f1689071a051714cf6e57c7cfb4ba6c8b89,Let's Get It On,Marvin Gaye,1970s,1973-07-14,1,5,252,4617af1916d56fb2180a8f53de20c100c72d5d51b2acaff355aef37bb94cb74c,expected_content,sentinel,0.9951528310775757,0.003524253610521555,0.619537353515625,0.0033059804700315,40.53801046684384,30.734509229660034,M-AO,273,0,0.5961287908721715,lyriclens-evaluation-v1,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,expected_content,questionable,Sexual invitation is correctly detected; language probability 0.620 has no clear strong-profanity support in this text.,One unusual threatening phrase may be a transcription issue; not verified against audio.
song_bfce50e15f1789f7ca376150665063761fdbef5af253e2d162514a8ae0316025,Lean On Me,Bill Withers,1970s,1972-04-22,1,4,270,517488f68fecd31ea303b48e5dc09e54b6dec6afe0945445289b1132f96ca1b5,expected_mild,sentinel,0.0060424599796533585,0.003588337218388915,0.04756518453359604,0.004199580755084753,1.5348890621680766,0.0,M-E,286,0,0.5975093329325318,lyriclens-evaluation-v1,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,expected_mild,correct,Support and friendship; low scores fit the supplied text.,
song_21c7c8f7417b94a8c111b2a1c7570396b0e49f3c9f7cbbdd593d6d1c03d738d9,You Are The Sunshine Of My Life,Stevie Wonder,1970s,1973-03-17,1,5,180,46156e8df294a41177a857509efd632b6c5f7f02e9c19ecdd0e030ff57a4f55b,expected_mild,sentinel,0.019491935148835182,0.0063695828430354595,0.0020082530099898577,0.004418590106070042,0.8072090276982635,0.0,M-E,191,0,0.5879221670329571,lyriclens-evaluation-v1,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,expected_mild,correct,Affection with figurative tears; low category scores fit.,
song_f41a534741f51cde1d600b6ee480a6cec27c432d48b34b9d946bd8331f5d2a74,Rainbow Connection,Kermit (Jim Henson),1970s,1979-09-15,25,4,195,c1d5fa184a8663f1edfa9d361b355a812c70ac740c15689f5910f25caa8150f3,expected_mild,sentinel,0.01926778443157673,0.003369405400007963,0.001957823522388935,0.010502759367227554,0.8774443180300295,0.0,M-E,211,0,0.5983429159969091,lyriclens-evaluation-v1,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,expected_mild,correct,Dreaming and wonder; low scores fit.,
song_cd492e6096df3dd73a9047f8aef5c25a526b7b1384aaafac4f4c0ce7c690f5d1,ABC,Jackson 5,1970s,1970-03-14,1,4,427,0df6752d4e03b0d94b71fd47709c87ae1f62d41686edd34b56e1d587078ef1c9,expected_mild,sentinel,0.7284404635429382,0.0011152597144246101,0.3137635886669159,0.0010205728467553854,26.108497119275853,11.422023177146912,M-T,458,0,0.6288229159545153,lyriclens-evaluation-v1,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,expected_mild,questionable,Playful courtship and dancing; sexual 0.728 and language 0.314 overstate the apparent explicitness. A broad romance label might explain part of this.,
song_23d90431f2ad7d4f8d31fc70fb9bc9aad106a4f8849752e76e878e6e017eb477,Imagine,John Lennon/Plastic Ono Band,1970s,1971-10-23,3,3,137,ef47eec02090cfc129a4b05ce093981cf8f39ced5dabf10c8174f43e0123085b,expected_mild,sentinel,0.00755851436406374,0.9949536919593811,0.9927974343299866,0.03590836003422737,50.78045001719147,49.387556314468384,M-AO,156,0,0.6089508750010282,lyriclens-evaluation-v1,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,expected_mild,questionable,"Negated killing and a literal religious reference support keyword presence, but violence 0.995 and language 0.993 do not establish severe or endorsing content in this peace song.",
song_a0d2022d699c35704ab0f0e43a6856fcd3fa30930d806529eb228106de34770e,Let It Be,The Beatles,1970s,1970-03-21,1,4,268,bfa8b3b036bba5010406e0ecd48bf0447c52d71f0fcc924d81f328083f2f3476,expected_mild,sentinel,0.0035002122167497873,0.006324958987534046,0.0048196688294410706,0.012801241129636765,0.6861520290840417,0.0,M-E,271,0,0.5978933330625296,lyriclens-evaluation-v1,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,expected_mild,correct,Consolation and spiritual support; low scores fit.,
song_5f0eaf882be171e9e96fec731f59733be3990d8ac7eaf8a258c5eb15da894eb3,You've Got A Friend,James Taylor,1970s,1971-06-05,1,4,284,ca449669634be69391e989ac31a7cc96e28784f1bb1f510d6873ec1469708dde,expected_mild,sentinel,0.004763667471706867,0.6004038453102112,0.0047912136651575565,0.001519678276963532,15.286960118100978,5.020192265510559,M-P,311,0,0.615714207990095,lyriclens-evaluation-v1,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,expected_mild,questionable,Figurative emotional hurt and abandonment; violence 0.600 is questionable as a content-severity signal.,
song_0ae5f6cefc72dd648e4af242ede9fc3a429075b6a2fa40106e6966410ea88dc5,Super Freak (Part I),Rick James,1980s,1981-08-08,16,5,320,3310e1410814685aa1b4a016b1f959501a635777698f4cc64047642382e20561,expected_content,sentinel,0.9973880648612976,0.030352158471941948,0.13568449020385742,0.9966260194778442,54.00126832537353,49.70070421695709,M-AO,350,0,0.5973740830086172,lyriclens-evaluation-v1,71a40996c1021c62d12dc004cbafa3f1c5560162,d272696293bc75d5a82cca2e624800456f734f57382cd9472b5974993ef860cc,expected_content,correct,Sexual themes and an alcohol mention are present. Near-one substance probability should not be read as extreme drug severity.,
