song_id,billboard_title,billboard_artist,first_chart_date,candidate_id,matched_title,matched_artist,album,duration,identity_confidence,text_quality,outcome,reason,warnings,cleaning_steps,source_text_sha256,cleaned_sha256
song_08e530bffccdae459ff09e420708f12dcbfe198b2a1080258f765fecb237209e,Big Blue Note,Toby Keith,2005-10-15,1844330,Big Blue Note,Toby Keith,Honkytonk University,177.0,identity_high_confidence,text_usable_with_minor_noise,recoverable,"Full narrative and structure agree; dialect, word boundaries and short phrase variants remain flagged.","[""multiple_transcriptions""]","[""outer_whitespace""]",62d3fbe0b20b1ef4be3aea0bd56fda54ca907321886cc1cb86fbb94dd2231100,19546204260f15cf1435ed404c95b4b9dcdf6de1edf953905f9a05b2fe4e4adb
song_0fab449799f46c37ab84647fdbb925d8b0bf851a02bdf89db8651d0b6570c0f9,Knife Talk,Drake Featuring 21 Savage & Project Pat,2021-09-18,965305,Knife Talk,"Drake\u000021 Savage\u0000Project Pat",Certified Lover Boy,243.0,identity_high_confidence,text_usable_with_minor_noise,recoverable,Complete artist credit is present using escaped null separators. Existing unmasked text aligns with the masked version and shares album/duration. Select it without uncensoring; preserve transcription and censorship warnings.,"[""version_label_present_in_candidates"", ""censorship_or_version_variation"", ""escaped_artist_separators""]","[""outer_whitespace""]",05dfd92b2b86af19764432856a47ad6535853d606395c5ace9e02af5e451a435,a31641d977390bc4e1634e41b1f24e4eb924e22dfe937d5b62aa1dc6728fba4f
song_1301d2c25f18a41f9dc4037999667dcc1fb6e0729092c2c87b9e0e836b3c1a1a,One Step At A Time,Maxine Brown,1965-07-03,33391809,One Step at a Time,Jordin Sparks,Now That’s What I Call Music! 50,210.0,identity_wrong,text_good,wrong_identity,"All cached candidate credits refer to other performers or other titles; none supports the Billboard asset. Text quality describes the inspected available record, not its suitability for this asset.",[],"[""outer_whitespace""]",fb5dc105233c7b1125597c73a4696c4a17911f2e9425fcacbd1cf9f1d278a4cb,8b9389ba153207978a709d4ae52fbf77ef3dc22367ace074a9e8b0a791a89d77
song_16744295f86383010f579bda563d7bb8d4b4dcef148426d9790cc472ec6d58ef,If I Only Could,The Rowans,1976-10-16,2520077,If I Only Could,New Bomb Turks,Information Highway Revisited,110.0,identity_wrong,text_good,wrong_identity,"All cached candidate credits refer to other performers or other titles; none supports the Billboard asset. Text quality describes the inspected available record, not its suitability for this asset.",[],"[""outer_whitespace""]",5b4cff3713303df9ce697308e0122891ae5fa1c37fafa719ada77e4c491da162,c9590c505dff7166dc9e9f565521f2f37edfd755114a2545c29811e0795b17ab
song_18bcc5d2858f87db3d5a1f819e210e2500110f392a3e2b3a000605013ec20f72,Gangstas,Pop Smoke,2020-07-18,25410104,Gangstas (Dirty),Pop Smoke,"Shoot For The Stars, Aim For The Moon (Clean Album) ( Promo CD )",160.052245,identity_high_confidence,text_usable_with_minor_noise,recoverable,Same artist and base title with explicit Dirty version suffix; existing substantially unmasked text agrees with core verses of masked candidates. Title and album clean/dirty labels contradict each other; retain warning and do not claim the charted radio version.,"[""version_label_present_in_candidates"", ""censorship_or_version_variation"", ""contradictory_clean_dirty_metadata""]","[""outer_whitespace""]",41bd7ab7062529eed71a21c74187ce4cd164f2f7ecb22baee157d621bf29f829,4329473cb2b7f49f9775a19d8c9a7091b712a9e970645533d872708f42302126
song_26912991c4f7a66f29c4b3f1b72f5621be6abc945a1a10370498383d74e3ec60,Say A',A Boogie Wit da Hoodie,2017-10-21,176965,Say A',A Boogie wit da Hoodie,The Bigger Artist,216.0,identity_high_confidence,text_usable_with_minor_noise,recoverable,"Substantive verses agree, including unmasked content; contractions, number spelling and ad-libs differ.","[""multiple_transcriptions""]","[""outer_whitespace""]",92ecd1728bfd913cd1166aa54721449c48f775a1495f838832a2a0538e6461db,23740d2c21b6c1f9a1e85384075f6485aa2782619ff37176306aa9ca9eba6147
song_274e336d94b84a777682f759b80d464f299823e3307dca2b94aa4f12d2cbeaa7,When You're Mad,Ne-Yo,2006-03-18,33433452,When You’re Mad,Ne‐Yo,That Sexy Love: 20 Years of Love Songs,222.0,identity_high_confidence,text_usable_with_minor_noise,recoverable,A localized parenthetical alternative does not remove the substantive lyrics. Preserve mixed-version wording and do not automatically uncensor or delete either alternative.,"[""censorship_or_version_variation""]","[""outer_whitespace""]",7718a62e20cf8cde7c25a01b808ea71ba24588e717de333fe57bfbaf7a847e58,94e0c652700e21187e5e6ef96c44b0d6b895025f6873ae21678df9a269cbde10
song_2e49760b20ceda10ee2e0d142f2b5e954ef7344bdc7b95d7b595b372d03098eb,The Deeper The Love,Whitesnake,1990-01-20,18405661,The Deeper The Love,Whitesnake,Slip Of The Tongue (20th Anniversary Edition) (Remastered 2009),260.4666624,identity_high_confidence,text_usable_with_minor_noise,recoverable,Studio-album/remaster entry preferred to a live-labelled alternate; substantive lyric sequence agrees.,"[""multiple_transcriptions"", ""version_label_present_in_candidates""]","[""outer_whitespace""]",958fb0c977a593c270a9f9ab9ba7e9e684e210e56b1426158d8c1564a578c0b9,eb17f9a877031e420194eda547bf4eb569b3e72cd3fc27971041192dd153aa7b
song_2ed53c67ce66f5371c151199018a1d5c8ff414215993a8d6ddd553906a8cec7e,Take Care,Rod Wave,2026-09-12,34363762,Take Care,Chloé,Glissandi,335.0,identity_wrong,text_missing,wrong_identity,"All cached candidate credits refer to other performers or other titles; none supports the Billboard asset. Text quality describes the inspected available record, not its suitability for this asset.",[],[],e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
song_3198dafc7e0281d3c9ea50fcd1fe571866ef05aa8048cdc41d88c4d9631e9a01,X,Jonas Brothers Featuring Karol G,2020-05-30,4091841,X X X,L'Arc〜en〜Ciel,BUTTERFLY,246.0,identity_wrong,text_good,wrong_identity,"All cached candidate credits refer to other performers or other titles; none supports the Billboard asset. Text quality describes the inspected available record, not its suitability for this asset.","[""version_label_present_in_candidates""]","[""outer_whitespace""]",f453933a1f9248f28cc0955dce9c118d1745c750ca0c2f06b2fc3913dec5bdd5,c18436e43a712b44820e813312a2b363fd86515cfd7c88b111d77b6119f0be83
