song_id,title,artist,expected,automatic,selected,reviewed_candidate,reason,false_accept
song_028c02a8f820db5732744ad3c72b4866f1ddcaf58392c73a10416c12e4898a7d,Enchanted Island,The Four Lads,accepted,accepted,4381670,4381670,Full title/credit agreement; no material text conflict or detected quality defect,False
song_08e530bffccdae459ff09e420708f12dcbfe198b2a1080258f765fecb237209e,Big Blue Note,Toby Keith,accepted,accepted,1844330,1844330,Full title/credit agreement; no material text conflict or detected quality defect,False
song_09fd7ce86d013b1afb5dcdb92eec4035cfe4d9be55b1ce02b3dbc16fd2f82c81,IDGAF,Drake Featuring Yeat,accepted,accepted,35030596,35030596,Full title/credit agreement; no material text conflict or detected quality defect,False
song_0b89472746ca5939f64e272f5a7b9d335287bd70d2577d096ec57b7c5be805c6,Deja Vu [Uptown Baby],Lord Tariq & Peter Gunz,accepted,accepted,5028899,5028899,Full title/credit agreement; no material text conflict or detected quality defect,False
song_0c9f69157f10ec66dc0eba1024d90173486f641493994ac2a21d39bd152d4ddc,It's A Miracle,Culture Club,accepted,accepted,18543478,18543478,Full title/credit agreement; no material text conflict or detected quality defect,False
song_0d42fd6ba539a91ebb5a24ed6ac41896c8e088175a3e4d029db76aec1b81069c,Hats Off To Larry,Del Shannon,accepted,accepted,33342509,33342509,Full title/credit agreement; no material text conflict or detected quality defect,False
song_0e303444ca6e9d8a98b114f4f99bdcbd1ecdc71e3b035a4ee24eae8ee99dc06e,Chanel,Tyla,accepted,accepted,33358442,33358442,Full title/credit agreement; no material text conflict or detected quality defect,False
song_0ea37fe5a6f7e0c7cdf76108124cbb47eec775b72301f77ce7602f29218d82bc,Goodbye Again,John Denver,accepted,accepted,17959061,17959061,Full title/credit agreement; no material text conflict or detected quality defect,False
song_0ebaf67355f03411e21ec96cc946335d24a031fb4b0674c046684086144fb787,Merry Christmas Baby,Chuck Berry,accepted,accepted,18472050,18472050,Full title/credit agreement; no material text conflict or detected quality defect,False
song_0fab449799f46c37ab84647fdbb925d8b0bf851a02bdf89db8651d0b6570c0f9,Knife Talk,Drake Featuring 21 Savage & Project Pat,accepted,accepted,965305,965305,Full title/credit agreement; no material text conflict or detected quality defect,False
song_107934e01deb4b1b1045b5a54ad599cd234f958f9cb33e52a7717abe3fe2c44f,I'm With You,Avril Lavigne,accepted,accepted,34451744,34451744,Full title/credit agreement; no material text conflict or detected quality defect,False
song_11bd52aed5d05a7f6a1e9bd3fa157478c15f5dd04afc58a89d79c698fd5c8912,Stubborn Love,The Lumineers,accepted,accepted,19098578,19098578,Full title/credit agreement; no material text conflict or detected quality defect,False
song_1301d2c25f18a41f9dc4037999667dcc1fb6e0729092c2c87b9e0e836b3c1a1a,One Step At A Time,Maxine Brown,wrong_identity,wrong_identity,,33391809,No full compatible title and artist credit,False
song_14a99fcfded852eafaff22e9da35f1fea4a4c42958112cfe0c9d14ddf242280e,You Won't See Me Cry,Wilson Phillips,accepted,accepted,19003181,19003181,Full title/credit agreement; no material text conflict or detected quality defect,False
song_159e19be1ca916bbc515f9da2a72ffbafd9fd828b7a7e68ea6323b6bd1dde83b,Sanctify Yourself,Simple Minds,accepted,accepted,33431572,33431572,Full title/credit agreement; no material text conflict or detected quality defect,False
song_16744295f86383010f579bda563d7bb8d4b4dcef148426d9790cc472ec6d58ef,If I Only Could,The Rowans,wrong_identity,wrong_identity,,2520077,No full compatible title and artist credit,False
song_16d5903b746ca5bf508a3002d8f0e7f5d2bed3e6f4418ac020464d7aea418c7c,Go Your Own Way,Fleetwood Mac,accepted,accepted,36840317,36840317,Full title/credit agreement; no material text conflict or detected quality defect,False
song_17e47d20a2aaaf6997865ea0cc8133c88a22803348708f11bf8e06a27e3b129a,(I Hate) Everything About You,Three Days Grace,accepted,accepted,34340336,34340336,Full title/credit agreement; no material text conflict or detected quality defect,False
song_18bcc5d2858f87db3d5a1f819e210e2500110f392a3e2b3a000605013ec20f72,Gangstas,Pop Smoke,accepted,accepted,25410104,25410104,Full title/credit agreement; no material text conflict or detected quality defect,False
song_1987fdb9d1689799ee9a7b3b4f53cc9fec14022f16fc6f125abdab50c9305d03,Brotha,Angie Stone,accepted,accepted,17660289,17660289,Full title/credit agreement; no material text conflict or detected quality defect,False
song_19e64c6340fb94904689acc40b40a41b230cef20adc9a568f96d9460995a0f28,The Way Of Love,Cher,accepted,accepted,17456237,17456237,Full title/credit agreement; no material text conflict or detected quality defect,False
song_1b4a6a6b10f0b4ee50e38962d19c28a43194daa8266a72f07fe0e602c8268c4a,Look Through Any Window,The Hollies,accepted,accepted,18445193,18445193,Full title/credit agreement; no material text conflict or detected quality defect,False
