artist,observation_count,unique_songs,observation_pct,unique_song_pct,small_group_lt_30_songs
Taylor Swift,409,158,0.5000183381,0.5634606469,False
Morgan Wallen,265,72,0.3239727618,0.2567668771,False
Drake,263,109,0.3215276844,0.3887165222,False
Elton John,204,58,0.2493978997,0.2068399843,False
Madonna,193,50,0.2359499737,0.1783103313,False
Kenny Chesney,183,48,0.2237245865,0.171177918,False
Tim McGraw,174,47,0.212721738,0.1676117114,False
Keith Urban,159,37,0.1943836571,0.1319496452,False
Rod Stewart,155,46,0.1894935022,0.1640455048,False
Jason Aldean,154,40,0.1882709635,0.142648265,False
Mariah Carey,154,29,0.1882709635,0.1034199922,True
Stevie Wonder,152,53,0.185825886,0.1890089512,False
Luke Combs,150,30,0.1833808086,0.1069861988,False
Michael Jackson,144,41,0.1760455762,0.1462144717,False
Chicago,143,45,0.1748230375,0.1604792982,False
The Beatles,139,62,0.1699328826,0.2211048108,False
Rihanna,138,27,0.1687103439,0.0962875789,True
Aretha Franklin,137,61,0.1674878052,0.2175386042,False
Beyonce,137,34,0.1674878052,0.1212510253,False
Rascal Flatts,136,33,0.1662652665,0.1176848187,False
Billy Joel,134,41,0.163820189,0.1462144717,False
Ed Sheeran,134,28,0.163820189,0.09985378553,True
Luke Bryan,134,36,0.163820189,0.1283834385,False
Carrie Underwood,133,32,0.1625976503,0.114118612,False
Daryl Hall John Oates,132,34,0.1613751116,0.1212510253,False
The Rolling Stones,132,55,0.1613751116,0.1961413644,False
Whitney Houston,132,31,0.1613751116,0.1105524054,False
Brad Paisley,129,32,0.1577074954,0.114118612,False
George Strait,128,35,0.1564849567,0.1248172319,False
P!nk,128,25,0.1564849567,0.08915516565,True
Neil Diamond,127,52,0.1552624179,0.1854427446,False
Kelly Clarkson,126,22,0.1540398792,0.07845654577,True
The Weeknd,126,31,0.1540398792,0.1105524054,False
The Beach Boys,124,53,0.1515948018,0.1890089512,False
Blake Shelton,123,32,0.150372263,0.114118612,False
Toby Keith,123,34,0.150372263,0.1212510253,False
Bee Gees,122,41,0.1491497243,0.1462144717,False
Elvis Presley,121,48,0.1479271856,0.171177918,False
Chris Brown,119,29,0.1454821081,0.1034199922,True
Justin Bieber,119,40,0.1454821081,0.142648265,False
Ariana Grande,118,40,0.1442595694,0.142648265,False
Maroon 5,115,19,0.1405919533,0.06775792589,True
Connie Francis,114,49,0.1393694145,0.1747441247,False
Brenda Lee,113,45,0.1381468758,0.1604792982,False
The Temptations,113,48,0.1381468758,0.171177918,False
Bad Bunny,112,44,0.1369243371,0.1569130915,False
Billie Eilish,111,26,0.1357017984,0.09272137228,True
Olivia Rodrigo,110,37,0.1344792596,0.1319496452,False
Kool & The Gang,108,31,0.1320341822,0.1105524054,False
Mary J. Blige,107,25,0.1308116435,0.08915516565,True
Elvis Presley With The Jordanaires,106,53,0.1295891047,0.1890089512,False
Dierks Bentley,105,25,0.128366566,0.08915516565,True
Imagine Dragons,104,13,0.1271440273,0.04636068614,True
Usher,104,21,0.1271440273,0.07489033915,True
Bruno Mars,101,15,0.1234764111,0.05349309939,True
Dionne Warwick,101,47,0.1234764111,0.1676117114,False
R. Kelly,100,21,0.1222538724,0.07489033915,True
Janet Jackson,98,24,0.1198087949,0.08558895902,True
Britney Spears,96,26,0.1173637175,0.09272137228,True
Heart,96,29,0.1173637175,0.1034199922,True
Nickelback,96,16,0.1173637175,0.05705930602,True
Aerosmith,95,28,0.1161411788,0.09985378553,True
Gladys Knight And The Pips,95,36,0.1161411788,0.1283834385,False
Lady Gaga,94,23,0.11491864,0.0820227524,True
Olivia Newton-John,94,30,0.11491864,0.1069861988,False
Paul Anka,94,42,0.11491864,0.1497806783,False
Bon Jovi,93,25,0.1136961013,0.08915516565,True
Phil Collins,93,24,0.1136961013,0.08558895902,True
Thomas Rhett,93,20,0.1136961013,0.07132413252,True
Donna Summer,92,30,0.1124735626,0.1069861988,False
Katy Perry,92,20,0.1124735626,0.07132413252,True
Lil Baby,92,35,0.1124735626,0.1248172319,False
Sabrina Carpenter,92,23,0.1124735626,0.0820227524,True
Cher,91,31,0.1112510239,0.1105524054,False
Diana Ross,91,33,0.1112510239,0.1176848187,False
Marvin Gaye,91,37,0.1112510239,0.1319496452,False
The Pointer Sisters,90,26,0.1100284852,0.09272137228,True
Eminem,89,32,0.1088059464,0.114118612,False
Miley Cyrus,89,23,0.1088059464,0.0820227524,True
SZA,89,24,0.1088059464,0.08558895902,True
Barry Manilow,88,27,0.1075834077,0.0962875789,True
Alan Jackson,87,23,0.106360869,0.0820227524,True
Bobby Vinton,87,40,0.106360869,0.142648265,False
Lady Antebellum,87,18,0.106360869,0.06419171927,True
"Earth, Wind & Fire",86,30,0.1051383303,0.1069861988,False
The Black Eyed Peas,86,15,0.1051383303,0.05349309939,True
Four Tops,85,40,0.1039157915,0.142648265,False
Jackie Wilson,85,41,0.1039157915,0.1462144717,False
James Brown,85,46,0.1039157915,0.1640455048,False
Post Malone,85,27,0.1039157915,0.0962875789,True
Barbra Streisand,84,32,0.1026932528,0.114118612,False
Brook Benton,84,39,0.1026932528,0.1390820584,False
Commodores,83,25,0.1014707141,0.08915516565,True
Journey,83,24,0.1014707141,0.08558895902,True
Bryan Adams,82,20,0.1002481754,0.07132413252,True
Dua Lipa,82,11,0.1002481754,0.03922827289,True
Prince,82,25,0.1002481754,0.08915516565,True
Ray Charles,82,44,0.1002481754,0.1569130915,False
Rod Wave,82,52,0.1002481754,0.1854427446,False
U2,82,25,0.1002481754,0.08915516565,True
Andy Williams,80,34,0.09780309791,0.1212510253,False
Fleetwood Mac,80,23,0.09780309791,0.0820227524,True
Kendrick Lamar,80,30,0.09780309791,0.1069861988,False
Eric Church,79,23,0.09658055919,0.0820227524,True
Faith Hill,79,15,0.09658055919,0.05349309939,True
Justin Timberlake,79,15,0.09658055919,0.05349309939,True
Harry Styles,78,25,0.09535802047,0.08915516565,True
Nicki Minaj,78,22,0.09535802047,0.07845654577,True
Bruce Springsteen,77,23,0.09413548174,0.0820227524,True
Lionel Richie,77,19,0.09413548174,0.06775792589,True
Sam Cooke,77,33,0.09413548174,0.1176848187,False
Adele,76,13,0.09291294302,0.04636068614,True
Genesis,76,22,0.09291294302,0.07845654577,True
John Denver,76,30,0.09291294302,0.1069861988,False
Kanye West,76,25,0.09291294302,0.08915516565,True
Linkin Park,76,17,0.09291294302,0.06062551264,True
The Isley Brothers,76,36,0.09291294302,0.1283834385,False
Bobby Darin,75,34,0.09169040429,0.1212510253,False
Boyz II Men,75,16,0.09169040429,0.05705930602,True
Fats Domino,75,35,0.09169040429,0.1248172319,False
Foreigner,75,22,0.09169040429,0.07845654577,True
Huey Lewis & The News,75,21,0.09169040429,0.07489033915,True
Montgomery Gentry,75,18,0.09169040429,0.06419171927,True
Brooks & Dunn,74,22,0.09046786557,0.07845654577,True
Carpenters,74,27,0.09046786557,0.0962875789,True
Electric Light Orchestra,74,23,0.09046786557,0.0820227524,True
Miranda Lambert,74,19,0.09046786557,0.06775792589,True
Neil Sedaka,74,28,0.09046786557,0.09985378553,True
OneRepublic,74,12,0.09046786557,0.04279447951,True
Alicia Keys,73,15,0.08924532685,0.05349309939,True
Celine Dion,73,17,0.08924532685,0.06062551264,True
JAY-Z,73,27,0.08924532685,0.0962875789,True
TLC,73,15,0.08924532685,0.05349309939,True
Future,72,42,0.08802278812,0.1497806783,False
Destiny's Child,71,12,0.0868002494,0.04279447951,True
Eagles,71,21,0.0868002494,0.07489033915,True
Michael Bolton,71,18,0.0868002494,0.06419171927,True
Queen,71,22,0.0868002494,0.07845654577,True
Train,71,12,0.0868002494,0.04279447951,True
Zac Brown Band,71,19,0.0868002494,0.06775792589,True
Backstreet Boys,70,16,0.08557771067,0.05705930602,True
Chubby Checker,70,27,0.08557771067,0.0962875789,True
Coldplay,70,18,0.08557771067,0.06419171927,True
Doja Cat,70,11,0.08557771067,0.03922827289,True
Richard Marx,70,16,0.08557771067,0.05705930602,True
Styx,70,22,0.08557771067,0.07845654577,True
The Everly Brothers,70,30,0.08557771067,0.1069861988,False
Duran Duran,69,21,0.08435517195,0.07489033915,True
Kenny Loggins,69,19,0.08435517195,0.06775792589,True
Kenny Rogers,69,24,0.08435517195,0.08558895902,True
Van Halen,69,23,0.08435517195,0.0820227524,True
Glen Campbell,68,31,0.08313263323,0.1105524054,False
Toni Braxton,68,10,0.08313263323,0.03566206626,True
Def Leppard,67,19,0.0819100945,0.06775792589,True
James Brown And The Famous Flames,67,34,0.0819100945,0.1212510253,False
Linda Ronstadt,67,25,0.0819100945,0.08915516565,True
The 5th Dimension,67,29,0.0819100945,0.1034199922,True
The Spinners,67,26,0.0819100945,0.09272137228,True
Anne Murray,66,26,0.08068755578,0.09272137228,True
Billy Currington,66,15,0.08068755578,0.05349309939,True
Fall Out Boy,66,15,0.08068755578,0.05349309939,True
Gloria Estefan,66,18,0.08068755578,0.06419171927,True
Juice WRLD,66,35,0.08068755578,0.1248172319,False
Shania Twain,66,16,0.08068755578,0.05705930602,True
The Supremes,66,27,0.08068755578,0.0962875789,True
Wilson Pickett,66,36,0.08068755578,0.1283834385,False
Dixie Chicks,65,16,0.07946501705,0.05705930602,True
Eddie Money,65,22,0.07946501705,0.07845654577,True
J. Cole,65,37,0.07946501705,0.1319496452,False
LeAnn Rimes,65,11,0.07946501705,0.03922827289,True
Lil Uzi Vert,65,26,0.07946501705,0.09272137228,True
Luther Vandross,65,21,0.07946501705,0.07489033915,True
REO Speedwagon,65,18,0.07946501705,0.06419171927,True
Roy Orbison,65,28,0.07946501705,0.09985378553,True
Avril Lavigne,64,15,0.07824247833,0.05349309939,True
Dan + Shay,64,14,0.07824247833,0.04992689276,True
John Mellencamp,64,18,0.07824247833,0.06419171927,True
Sheena Easton,64,18,0.07824247833,0.06419171927,True
The Impressions,64,32,0.07824247833,0.114118612,False
Tom Jones,64,27,0.07824247833,0.0962875789,True
Jason Derulo,63,14,0.07701993961,0.04992689276,True
Lonestar,63,16,0.07701993961,0.05705930602,True
Monica,63,13,0.07701993961,0.04636068614,True
Three Dog Night,63,21,0.07701993961,0.07489033915,True
Travis Scott,63,22,0.07701993961,0.07845654577,True
Aaliyah,62,13,0.07579740088,0.04636068614,True
David Bowie,62,24,0.07579740088,0.08558895902,True
Frank Sinatra,62,37,0.07579740088,0.1319496452,False
