group_dimension,group,measure,observation_count,unique_songs,available_observations,available_pct,unavailable_observations,available_unique_songs,available_unique_song_pct
decade,1950s,lyrics_available,1700,774,1111,65.35294118,589,470,60.72351421
decade,1950s,all_42_classifier_scores,1700,774,1111,65.35294118,589,470,60.72351421
decade,1950s,mb_duration_median_seconds,1700,774,967,56.88235294,733,408,52.71317829
decade,1950s,ll_sexual_content,1700,774,1111,65.35294118,589,470,60.72351421
decade,1950s,ll_violence,1700,774,1111,65.35294118,589,470,60.72351421
decade,1950s,ll_explicit_language,1700,774,1111,65.35294118,589,470,60.72351421
decade,1950s,ll_substance_use,1700,774,1111,65.35294118,589,470,60.72351421
decade,1950s,detox_toxicity,1700,774,1111,65.35294118,589,470,60.72351421
decade,1950s,detox_severe_toxicity,1700,774,1111,65.35294118,589,470,60.72351421
decade,1950s,detox_obscene,1700,774,1111,65.35294118,589,470,60.72351421
decade,1950s,detox_threat,1700,774,1111,65.35294118,589,470,60.72351421
decade,1950s,detox_insult,1700,774,1111,65.35294118,589,470,60.72351421
decade,1950s,detox_identity_attack,1700,774,1111,65.35294118,589,470,60.72351421
decade,1950s,detox_sexual_explicit,1700,774,1111,65.35294118,589,470,60.72351421
decade,1950s,emotion_admiration,1700,774,1111,65.35294118,589,470,60.72351421
decade,1950s,emotion_amusement,1700,774,1111,65.35294118,589,470,60.72351421
decade,1950s,emotion_anger,1700,774,1111,65.35294118,589,470,60.72351421
decade,1950s,emotion_annoyance,1700,774,1111,65.35294118,589,470,60.72351421
decade,1950s,emotion_approval,1700,774,1111,65.35294118,589,470,60.72351421
decade,1950s,emotion_caring,1700,774,1111,65.35294118,589,470,60.72351421
decade,1950s,emotion_confusion,1700,774,1111,65.35294118,589,470,60.72351421
decade,1950s,emotion_curiosity,1700,774,1111,65.35294118,589,470,60.72351421
decade,1950s,emotion_desire,1700,774,1111,65.35294118,589,470,60.72351421
decade,1950s,emotion_disappointment,1700,774,1111,65.35294118,589,470,60.72351421
decade,1950s,emotion_disapproval,1700,774,1111,65.35294118,589,470,60.72351421
decade,1950s,emotion_disgust,1700,774,1111,65.35294118,589,470,60.72351421
decade,1950s,emotion_embarrassment,1700,774,1111,65.35294118,589,470,60.72351421
