primary_genre,weighting,observation_count,unique_songs,small_group_lt_30_songs,monthly_rank_non_missing_n,monthly_rank_small_available_group,monthly_rank_median,mb_duration_median_seconds_non_missing_n,mb_duration_median_seconds_small_available_group,mb_duration_median_seconds_median,ll_sexual_content_non_missing_n,ll_sexual_content_small_available_group,ll_sexual_content_mean,ll_sexual_content_median,ll_violence_non_missing_n,ll_violence_small_available_group,ll_violence_mean,ll_violence_median,ll_explicit_language_non_missing_n,ll_explicit_language_small_available_group,ll_explicit_language_mean,ll_explicit_language_median,ll_substance_use_non_missing_n,ll_substance_use_small_available_group,ll_substance_use_mean,ll_substance_use_median,sentiment_positive_non_missing_n,sentiment_positive_small_available_group,sentiment_positive_mean,sentiment_positive_median,sentiment_negative_non_missing_n,sentiment_negative_small_available_group,sentiment_negative_mean,sentiment_negative_median,emotion_joy_non_missing_n,emotion_joy_small_available_group,emotion_joy_mean,emotion_joy_median,emotion_sadness_non_missing_n,emotion_sadness_small_available_group,emotion_sadness_mean,emotion_sadness_median,emotion_anger_non_missing_n,emotion_anger_small_available_group,emotion_anger_mean,emotion_anger_median
Afrobeats / African Pop,observation,52,13,True,52,True,36,51,True,200.654,39,True,0.7547860208,0.994764924,39,True,0.2119968465,0.02285455354,39,True,0.3349537214,0.03450364619,39,True,0.1575785199,0.005688522477,39,True,0.2970508537,0.3082699478,39,True,0.2744167353,0.2578810006,39,True,0.01358540034,0.009823259891,39,True,0.02863164725,0.003693285049,39,True,0.006757971364,0.004523528856
Alternative / Indie,observation,2841,762,False,2841,False,53,2648,False,238.5,2523,False,0.2944449413,0.02006697841,2523,False,0.2923872412,0.01775322109,2523,False,0.1952440118,0.011639053,2523,False,0.2135422924,0.009481439367,2523,False,0.2831665961,0.278410667,2523,False,0.3011686556,0.2937819362,2523,False,0.03144992286,0.004578256464,2523,False,0.07868206439,0.0196403861,2523,False,0.02082673482,0.005442309659
Country,observation,9884,3032,False,9884,False,61,9081,False,209.76,8576,False,0.3839781192,0.1078204438,8576,False,0.1833232868,0.007960857823,8576,False,0.2520458004,0.02353585884,8576,False,0.3737267753,0.01545156445,8576,False,0.3025935684,0.300239861,8576,False,0.2725058812,0.2665533796,8576,False,0.04029652607,0.00832416676,8576,False,0.07770244552,0.01011680253,8576,False,0.01291280631,0.003959038761
Electronic / Dance,observation,3341,963,False,3341,False,53,2803,False,233.3395,2681,False,0.5262060581,0.6382343769,2681,False,0.1318906654,0.006817752495,2681,False,0.1922127032,0.01094858348,2681,False,0.1709597184,0.006145467982,2681,False,0.3176500165,0.3149883922,2681,False,0.2495691938,0.2389080056,2681,False,0.04146280017,0.008776395582,2681,False,0.0635040875,0.006427222863,2681,False,0.01787944412,0.005095261339
Folk / Singer-Songwriter,observation,1203,477,False,1203,False,48,955,False,207,1025,False,0.2225442771,0.01515981834,1025,False,0.2273682887,0.008719747886,1025,False,0.11707587,0.00590619538,1025,False,0.1890221043,0.00779732177,1025,False,0.3068332595,0.2978094816,1025,False,0.2825731601,0.2782368362,1025,False,0.03538572625,0.006595474202,1025,False,0.08439506804,0.01880969666,1025,False,0.01017791176,0.003782951739
Gospel / Christian,observation,180,64,False,180,False,67,121,False,235.4465,141,False,0.04500476535,0.003489215858,141,False,0.1428353835,0.01022576354,141,False,0.1280948373,0.00782271754,141,False,0.09621349435,0.006482711527,141,False,0.347001931,0.3370031118,141,False,0.2417131118,0.2414812297,141,False,0.03908564904,0.005105782655,141,False,0.05577148291,0.00682135392,141,False,0.02311730757,0.00409257083
Hip-Hop / Rap,observation,10195,3401,False,10195,False,52,8405,False,224.833,7259,False,0.8841717092,0.9949154854,7259,False,0.560724415,0.781684041,7259,False,0.9414440669,0.9963091016,7259,False,0.7162187108,0.9763509035,7259,False,0.2815854147,0.2810951571,7259,False,0.2849288667,0.2816001922,7259,False,0.01765095002,0.005202558299,7259,False,0.02772920631,0.002995393978,7259,False,0.06802592286,0.02035051584
Jazz / Blues,observation,1415,698,False,1415,False,61,901,False,189,716,False,0.387152486,0.06699199975,716,False,0.1066455887,0.006373389158,716,False,0.1059891756,0.005885365885,716,False,0.09658588915,0.00523850834,716,False,0.3196483651,0.3210948706,716,False,0.2612891763,0.2450287789,716,False,0.04603612871,0.01113474788,716,False,0.1039428736,0.008787741303,716,False,0.01211997348,0.003821998136
K-Pop,observation,124,51,False,124,False,46.5,64,False,191.43125,104,False,0.4904608825,0.6908280253,104,False,0.2725464845,0.008756101131,104,False,0.3145496526,0.03245222196,104,False,0.1781678101,0.007947748527,104,False,0.3268794647,0.3315126469,104,False,0.2534113665,0.23319453,104,False,0.03394540708,0.01071542278,104,False,0.0503352794,0.004652159746,104,False,0.01794483876,0.003373622661
Latin,observation,1108,381,False,1108,False,64,695,False,213,856,False,0.5624402795,0.6256043315,856,False,0.07980563389,0.002100459766,856,False,0.2444091961,0.1072390005,856,False,0.3032121049,0.06282217056,856,False,0.3033172151,0.3025169373,856,False,0.2537343751,0.2487942874,856,False,0.01142700928,0.002527707164,856,False,0.02529278478,0.002366415458,856,False,0.006201294719,0.002785688033
