primary_genre,weighting,observation_count,unique_songs,small_group_lt_30_songs,mb_duration_median_seconds_non_missing_n,mb_duration_median_seconds_small_available_group,mb_duration_median_seconds_median,ll_sexual_content_non_missing_n,ll_sexual_content_small_available_group,ll_sexual_content_mean,ll_sexual_content_median,ll_violence_non_missing_n,ll_violence_small_available_group,ll_violence_mean,ll_violence_median,ll_explicit_language_non_missing_n,ll_explicit_language_small_available_group,ll_explicit_language_mean,ll_explicit_language_median,ll_substance_use_non_missing_n,ll_substance_use_small_available_group,ll_substance_use_mean,ll_substance_use_median,sentiment_positive_non_missing_n,sentiment_positive_small_available_group,sentiment_positive_mean,sentiment_positive_median,sentiment_negative_non_missing_n,sentiment_negative_small_available_group,sentiment_negative_mean,sentiment_negative_median,emotion_joy_non_missing_n,emotion_joy_small_available_group,emotion_joy_mean,emotion_joy_median,emotion_sadness_non_missing_n,emotion_sadness_small_available_group,emotion_sadness_mean,emotion_sadness_median,emotion_anger_non_missing_n,emotion_anger_small_available_group,emotion_anger_mean,emotion_anger_median
Afrobeats / African Pop,song,52,13,True,12,True,189.764,12,True,0.6779088021,0.9325717986,12,True,0.1723958351,0.01449197577,12,True,0.3024911932,0.03134486638,12,True,0.2501433456,0.008122739615,12,True,0.2994243632,0.302823135,12,True,0.2652299525,0.2697186013,12,True,0.01891774514,0.007107856683,12,True,0.04536226217,0.003236276272,12,True,0.01076188119,0.003875655821
Alternative / Indie,song,2841,762,False,711,False,236.96,657,False,0.3038283707,0.02306490391,657,False,0.3079776238,0.01907329634,657,False,0.2038348283,0.01165717933,657,False,0.2071000209,0.009532938711,657,False,0.2798212709,0.2772018611,657,False,0.3058453442,0.29863289,657,False,0.0315620098,0.004578256464,657,False,0.0741121611,0.01780215465,657,False,0.02289345959,0.005626939703
Country,song,9884,3032,False,2723,False,206,2550,False,0.366693579,0.08869340643,2550,False,0.1839956493,0.007935306523,2550,False,0.2345412195,0.01768958848,2550,False,0.33875748,0.01211322378,2550,False,0.3013736058,0.2987200767,2550,False,0.2743193031,0.2673629075,2550,False,0.03792939676,0.008259924129,2550,False,0.08587728858,0.01152419625,2550,False,0.01217449693,0.003932948457
Electronic / Dance,song,3341,963,False,811,False,236.066,730,False,0.5227234991,0.6379418969,730,False,0.1403176899,0.006940052146,730,False,0.1811312479,0.01059723599,730,False,0.1631131412,0.006036794744,730,False,0.3186048239,0.3163324296,730,False,0.2485036693,0.238402687,730,False,0.03920875076,0.008534591938,730,False,0.05867262933,0.005440368201,730,False,0.01655801461,0.00481248321
Folk / Singer-Songwriter,song,1203,477,False,372,False,201.86,386,False,0.2049195466,0.01431773789,386,False,0.2224153127,0.008678111248,386,False,0.1276461625,0.006342181005,386,False,0.182808996,0.008163452148,386,False,0.3054436196,0.2948867977,386,False,0.283356784,0.2781370878,386,False,0.03805549174,0.006679652259,386,False,0.08673760956,0.01456191577,386,False,0.009275331634,0.003542878549
Gospel / Christian,song,180,64,False,41,False,235.4465,44,False,0.06586854077,0.003615433932,44,False,0.1443658948,0.00832077628,44,False,0.08246665658,0.007794830017,44,False,0.0421732989,0.006273134146,44,False,0.3649756863,0.3510558233,44,False,0.2273952862,0.2249015123,44,False,0.04357434152,0.005473061698,44,False,0.05326412592,0.01374177705,44,False,0.01038440636,0.003451348127
Hip-Hop / Rap,song,10195,3401,False,2791,False,219,2377,False,0.8849907463,0.9949012995,2377,False,0.606853624,0.9302885532,2377,False,0.9441776232,0.996253252,2377,False,0.7292728467,0.9781133533,2377,False,0.2780963667,0.2766664326,2377,False,0.2893081136,0.2868544692,2377,False,0.0161344385,0.004574323966,2377,False,0.02948350273,0.00325793447,2377,False,0.07362388813,0.02452861145
Jazz / Blues,song,1415,698,False,430,False,183.893,352,False,0.3826832953,0.06590149179,352,False,0.1117086021,0.006282500224,352,False,0.1119461433,0.006048603449,352,False,0.09473651242,0.005088499049,352,False,0.3212960256,0.3210948706,352,False,0.260011227,0.2427879348,352,False,0.05099635191,0.01110114856,352,False,0.1021942031,0.009002828039,352,False,0.01326512939,0.003999545937
K-Pop,song,124,51,False,33,False,185.7535,40,False,0.4797199995,0.4528983831,40,False,0.2560240794,0.009204184636,40,False,0.3017306349,0.02323292848,40,False,0.1556280694,0.00784477056,40,False,0.310959493,0.3131918122,40,False,0.263804631,0.2406462394,40,False,0.02886523828,0.005952263719,40,False,0.07460745766,0.004865137344,40,False,0.01805380207,0.004891770458
Latin,song,1108,381,False,233,False,210,287,False,0.5593584234,0.6223694682,287,False,0.06428301441,0.001844654675,287,False,0.2521812672,0.107782051,287,False,0.2880155863,0.06184342876,287,False,0.2986097125,0.3001611233,287,False,0.2604638424,0.2560242414,287,False,0.01016718015,0.002281297348,287,False,0.01939149358,0.002286781557,287,False,0.006209273525,0.002700008918
