change,song_id,title,artist,archived_musicbrainz_pilot_status
added,song_0020aac72e96be34678b61df89708546af3bb476c7012e32c60bbecc88b9f3c6,Hootenanny Saturday Night,The Brothers Four,
added,song_00282fc0104df012fbdc5c47024c1f7076d5fe8e906cbc06af6f40d36bb369d7,Dr. Jon (The Medicine Man),Jon & Robin And The In Crowd,
added,song_0032912eefe61148b6952b117048342741184bbe9c488975510f78f6d2160d1a,"Mother, Please!",Jo Ann Campbell,
added,song_004370fca4224a51b997ea66ae299055b944c6d663a27202753ca7c184287a14,I Want To Pay You Back (For Loving Me),The Chi-lites,
added,song_00ae925ed36891455251923b4e229670766a894467ac5a2f04d05be4bd430ce5,Blessed Are The Lonely,Robert Knight,
added,song_00eb2d076f58b6f9192005d153c8ed0c8edcafcd989b545cc2ea60010ee24e5d,No One,Brenda Lee,
added,song_00fef0d1e04326d5a2cd1bdfb097d666014a10fc14a89921b7c2fea51a5355dc,Lonely Again,Eddy Arnold,
added,song_01200fbd5848aef9dc9794cde47ac35597b1a84fb4313ed774d08e64ec2410a5,If Love Should Go,Streets,
added,song_0121f09558d8060ab834a81183bb1d2ccd0f43d8aaa4cfb722df3c27bf53f5b2,My Empty Room,Little Anthony And The Imperials,
added,song_0149d1567a07da4f65c53848756bdb2aca2aa32be8442f81fed2e7b8e181bed7,Don't Mess With The Radio,Nivea,
added,song_0164e88ba476df9f8eec2e6c74b53c1b6ede7f6148d018570c3970639a2d04cc,Outside,MO3 X OG Bobby Billions,
added,song_01a29768934f3c219af1e90dad380ca58aa7f24fca89990502389d93d1911d5f,Boss,The Carters,
added,song_01b51deb5afcb71eea6065b0ad0abfcbfbd3a4f2ccc449e1702ebac4faac1055,Streets Made Me A King,Future & Metro Boomin,
added,song_01cd4ac8e225d8ad010385ab2addb09c2dff94a24c712e3a606291cb32fe8d90,Rosanna's Going Wild,Johnny Cash,
added,song_01d13c5f6a09dd5628d300e1b6ba6903a738ae1efd2b1844a8eb42d1a3eeaa1e,"Love Theme From ""The Sandpiper"" (The Shadow Of Your Smile)",Tony Bennett,
added,song_01db9c8dfd03a78e5850d954d2f5bdb69a8bf01a295ec63e31e869de10822fe7,That's Life,David Lee Roth,
added,song_01de019270aa18680d192db0b94e80dfcb6858ea4b93ba96d229210a54181c40,Joey,Sugarland,
added,song_01f67754c41ad951900ece86988a62948190c72bdeecb7af02ce0cf98b03b872,I Wanna Be Free,Loretta Lynn,
added,song_01fe48ec0017553e690512615219fbfd1901f4d642bbd8f0ecdf9077cccaa921,White Bone,Drake,
added,song_020f117ac6c8043b50320d669698e25e7fad430cc8b18d00a3a15ed02405f9a9,He Wore The Green Beret,Nancy Ames,
added,song_0226590956daf7271ac9caf934adb9aea02a7606b7a0c33a307be9836f6ff40f,I'm Indestructible,Jack Jones,
added,song_02446477849cc222aec5369bbe2c0c32ec1a2e9e2f76f24d28d294023b4a0352,Sharing You,Mitty Collier,
added,song_0255ac7629873477ef56ae28e9e53c74b7ef36239ce9677945765abd2d57fba5,Outlaw Man,David Blue,
added,song_025ca6e5f1608781d8359da704cba437a2fbfdb9f40a850919a65bbf1aefea71,Back Lit,Rod Wave,
added,song_02edbc0d4c9514af8a55ac616b7f5087a496288683708554a3e3863f302b1fd7,Budget,Megan Thee Stallion Featuring Latto,
added,song_03016a43a93ff8bde207551aa60ccd96bd1dce3ecdafee5a96d807c6c6986f0c,Raise Your Hand,Eddie Floyd,
added,song_03575abf0478366de15eabf8a46716d4762ab513e330a1dceb2ce957d2ba3b0c,High School Never Ends,Bowling For Soup,
added,song_03670ff40ba07da71d3d11c2d56ab9bb7932620fe2afddb15bddc251845e7b0a,Sirens,Pearl Jam,
added,song_038a020b43bdfb3bf659b8a065d49917856d5b4666fed4a026f4d5ede0434199,Lay Me Down,The Dirty Heads Featuring Rome,
added,song_038af806e9deaf6227890afc2ee7ff46c596460555e32c94e29ddffe1ca81ba3,Overdrive,Post Malone,
added,song_0393e3856b92bed6da2fd9fab5f4df1b5e2cb4d0b6e1eb497ccebf7c85ae26b8,Guys Like Me,Eric Church,
added,song_03a01183bb8499cc0aeed379910c460b4476cc1e3694806c4f4db7e15fe4d0ce,Black Suits Comin' (Nod Ya Head),Will Smith Featuring Tra-Knox,
added,song_03a6b03c374fe934ffafb9ec2da1d339ac6ab77fa747ced9b1b475827636278a,Eternity,Vikki Carr,
added,song_03ce3bec16d2a1bc1044f6f849e94c2e1bf1b3d8d67c4803820cee27cbab9c1d,It's So Nice,Jackie DeShannon,
added,song_03d34edfe4b68f34b149d2126d274c2ca7b69b893117f53b0a9755429a34196c,Anyone Else But You,Michael Cera & Ellen Page,
added,song_03e094caf9923f81b43e141a89c75075922137073108a2e8dad9ad99971be999,All Bad,Justin Bieber,
added,song_03eaed75968768ffdbad3d6f4faf05ea2619a51fc537f9fd3c6a4bf915454038,Not About Romance,Inner Circle,
added,song_03f837f550d3364eef5cb6ad1519d72c75c4d8039e0160f5ff0beeef9929f170,Bad One,Eminem & White Gold,
added,song_03f86f8c1667aaffd45d135857f611e4d8a30e0b713a6ba097d4ddc932cc084a,(I'm Just A) Fool For You,Gene Chandler,
added,song_040996bccc77a98a94cc4578e3db6e224dd0df9d257e0d61baedb20d05a7deba,Here's My Confession,Wyatt (Earp) McPherson,
added,song_040a03a209202bb8ae2d3c2a526a40a45e50ceb4bed6ef1a50b690a32a8ec25d,Slippin' & Slidin',Willie Mitchell,
added,song_041b951dc5a6c48a54db0a8c429a58e65ba8343e38534c02376d2d5b697151a7,Loving You,Johnny Nash,
added,song_042a77669d3e94d73e18316c9742a601d9a04e8fda2904b40e13a986bb0db546,DDU-DU DDU-DU,BLACKPINK,
added,song_04379e5c97ab4c2654baea2dd90b580cbef296a5f8026f914a1dbb47d19ce720,Imaginary Playerz,Cardi B,
added,song_04463331f6871f15b2a22b12ad980b16e202b09c5b0787b6b0de2a6e53ab3424,A Million To One,Brian Hyland,
added,song_0447b1792687eaa43ad42f16f62cbf3b10cf55f3294f8f8301ecd8e1823eddef,Lonesome Road,The Wonder Who?,
added,song_04574c73033e0055e182d0cb4a585e87496f1b30ea5c3133ac70469b2042e58a,Joey Baby,Anita & Th' So-And-So's,
added,song_046a5badcf1a3ba5b33dfaa25fc4544a4ea034e2331e236edc937ecd0712dd5f,Soldier's Last Letter,Merle Haggard And The Strangers,
added,song_048ec096a3d02846c3609017b92a89290aa3f2a93cbd4a88302635c981c188ab,Gotta Move On,Diddy & Bryson Tiller,
added,song_049653476fa5eeacd6219118cec431e8ea70d885ca46a1363220a72fa24f1adb,Crazy Love,CeCe Peniston,
added,song_04a296f20dd181287e80048e61fec27301b34363fe350ad780ebb41f0e134bf5,Pass Out,Quavo Featuring 21 Savage,
added,song_04a4a810ff441072adce4fe4cdb047b86c802ea8329ca26a2849850cb6b71c72,Show Out,"Kid Cudi, Skepta & Pop Smoke",
added,song_04a6f303c6d94846efab6870cdee142d8fd145f51c6bc800211313b611aaaf16,Juice,Yo Gotti,
added,song_04b115b11b1042c2eb3a808bd45c64641b6659310335634ae990905d9f63e896,What Kind Of Man,Florence + The Machine,
added,song_04bf2c7cecce7b5f0bcc406616ae7ee5d024d89ca1733b7478910bda8f9e708c,Everyday,A$AP Rocky Featuring Rod Stewart x Miguel x Mark Ronson,
added,song_04d547595b813a2beb84b4942ac70c7a339e5b0d27f4ca0a7540a29bdfbbd22d,Solar Power,Lorde,
added,song_04e2d37648257121209aa5895f6b485a17c93ae124227558a30d4d3caa1e26a2,I Got Some Help I Don't Need,B.B. King,
added,song_04ffb5017658593cfe69a1a6ea555726b19767d2abc922aa9251a176139c765f,Mirror,Kendrick Lamar,
added,song_05044f63f1300f9dbd98b6b38247a90e5bb6f12c6e6008fb96718adb6e200132,Grasshopper,Spin,
added,song_0507ccb127e25a3dd27676dbb3b040aa1adc151f9b9bb6d207b807c2397f1766,Tenth Avenue Freeze-out,Bruce Springsteen,
added,song_050d314668557433c7c96713553eb6bf8eeace5a60685c0e39fe965b79983c9b,Dorothea,Taylor Swift,
added,song_05334381ce73c40e8f43cf9e56ceb88a7a2078e9a94f6c39a2867212a4c5fe57,Neck On A Yacht,Gunna,
added,song_053e12ead4b346baf8c851e427d8d12e155234b95ca862e8b31c1a52dcbe846b,One Of The Girls,"The Weeknd, JENNIE & Lily Rose Depp",
added,song_0555997a6f2ea4327685038dac155cd6ca9effb00c0ae4472835e3135648e784,Rough Boys,Pete Townshend,
added,song_0576a256e5eaad99084b3e53c7ab6e940fbb8321504f6302a199f8de58c75016,The Answer To My Prayer,Neil Sedaka,
added,song_057713a9d9397b45c84c472243b4e9158d0d4f6b2d9a1d9026ca994682208697,Nothin' Left,Morgan Wallen,
added,song_058aa1496a6024a28e4076398bddc7b0e8f68826f4407446bf45c04048834f75,Love Me Just For Me,Special Generation,
added,song_05996eb7f06ee18a4ebb6c5a6315cce6146fe41d9d04ae0e39eff22b9ba946bb,Day + Night,Isyss Featuring Jadakiss,
added,song_05a546c4196b92ae41c9102a0ed76c9bcdd0d75bd8fc43a21af4fea5845b4532,Are You Sincere,Trini Lopez,
added,song_05aa3aefa00bea21a1ff7cab721b055d156e09311a4d9e5567e08956b889b860,Imagination,Belouis Some,
added,song_05aac386f3ee9ca9ef2314a1098aed611596f93bf9693be99338e79486522187,Happy Days Are Here Again / Get Happy,Glee Cast,
added,song_05c6bb3433366d1c2504b312c0ad480566599ef5d25e83d351a6ba63a7db611b,Secret Of Love,Elton Anderson With Sid Lawrence Combo,
added,song_05d8546126a9c84904d2caf3832599ffcd41377a9eef99577c2161714bbd4d2e,Drifting,G-Eazy Featuring Chris Brown & Tory Lanez,
added,song_05e52c532518543679b42927e2a939c52bb12d5ccdb05b8834051e4b5384c4d1,Who I Am,Danielle Bradbery,
added,song_05eb67fe51fe8f7759f894d93f617800c0f3483b0d969822731f939bf6170089,Shine On,Ryan Cabrera,
added,song_062f6ea9f06ed40e0d25959f5b9a3076774b32aa43d77d5ef8f9387799cebe93,Can't Stay,Dave Hollister,
added,song_062fb7b0d07d83bc5926e27c7721a9333dde0c9f8afcba5a0386f82222c75c40,Moondance,Van Morrison,
added,song_0633745f8155da9ebb190ec15a71f99743fc42a25a167efd91fce2c7639942d6,The Gangs Back Again,Kool & The Gang,
added,song_063645a64a6d8e3d0c3ef907e752c1473bb059cec69f63534b2ae8fdde1733ca,"Love Theme From ""Romeo And Juliet"" (A Time For Us)",Johnny Mathis,
added,song_063a5067390c62ee5579e4b1c9387e5d8a85200d2bc3856b83faf704d5eaa80b,"Dance, Dance, Dance",Joey Dee,
added,song_06505948370be1da1a848968ec987436c71db95c42c36e141bde348d26d182a9,Dancin' (On A Saturday Night),Flash Cadillac And The Continental Kids,
added,song_065be9172f444b961ca8343ec862f8f6fd062a90d7f307060bb79a045810c32d,Think Like A Man,Jennifer Hudson & Ne-Yo Featuring Rick Ross,
added,song_06699b066a3c67418c8a5eaf27d075f22e5abd6a9db5d44874331a80fce65038,"Pinball, That's All",Bill Wray,
added,song_066b6154a1ec6add937823ab3f0bb7c2f5410af49e28c378077711db8011ab58,I'm So Glad I'm Standing Here Today,The Crusaders With Joe Cocker,
added,song_06b82f50067cee3a5f181ae46ec341775ce5b38b8b823baab08913722d23c138,Drop Dead Gorgeous,Republica,
added,song_06e0cea43c01a44abdf44fd0719b640a5dbfa7ba729f1847978a49fafacf19c3,Jealousy,Kim Sanders,
added,song_06e7fc585eeac542588a276f64a0657a5148fb2e9b3d4ab84412c6865ddefb32,1927 Kansas City,Mike Reilly,
added,song_06e86f6caa7551488a7f4e6a97ed78197f352f6f0ccbda8223186123f94b4c7b,Brokey,Latto,
added,song_06ee99016d89946084339095cf440fb8ccd7da3d15799032d90d24cbf97a4ba0,FRI(END)S,V,
added,song_06f5ef74a43d64fd82db39c1212a1b89ac5572bcac187f8b2c32b0d80cce9c90,Faking It,Calvin Harris Featuring Kehlani & Lil Yachty,
added,song_070f95df5b04b44b72f6e2025920987cc175072b5febfa3af8a046bc56544c62,Release Me,Johnny Adams,
added,song_070fe7735a6690bae933a7dad15c8579213c43a556ced8fec000713ba5443c37,Hands Up,Lloyd Banks Featuring 50 Cent,
added,song_0712ab2928da2a4808f02423153917b8bf84615d37cf35363d20ceb86c82569b,I Know,Polo G,
added,song_074aba7b3a79ec8a1defd894e7184458d8aa801cf37e5ac41b26f0b58a5e1a07,Head First,The Babys,
added,song_07b9c107146bb6001d184270357736732695c3cdb5a6f27b7ed62f60a0953e7e,Free Me,Johnny Preston,
added,song_07d1989ac9a48188bc2aadbf88afb14ec3b9f9ab7e169212283f2ce6107572d7,Let's Make Each Other Happy,The Illusion,
added,song_07f59088d870c95573874eea73459ece1659e92ad1dfc6cc760445340f62fe23,Alone Again Or,Love,
added,song_0815f93166618fc0f673cb79cba6d81c605bc2e30980faa0ebc50c441724f5ab,"Tears, Tears, Tears",Ben E. King,
added,song_081efac247f135f2cfa29ea1d3c9e3395f3eed04e6dc756928aa439baa12fcd9,HG4,Rod Wave,
added,song_081f0e5dd335499a19123d6d917e341c40bdbd00c0fa1e3bb12fbfcd4595ea96,You've Made Me So Very Happy,Lou Rawls,
added,song_082b3137797cb312dd6349fbf882fb46ab162e522e95fdc4bee58d7b8980ba0f,Way Out,Jack Harlow Featuring Big Sean,
