primary_genre,classifier,valid_rolling_endpoints,earliest_month,earliest_mean,earliest_window_n,earliest_min_monthly_n,latest_month,latest_mean,latest_window_n,latest_min_monthly_n,minimum_month,minimum_mean,minimum_window_n,minimum_min_monthly_n,maximum_month,maximum_mean,maximum_window_n,maximum_min_monthly_n,latest_minus_earliest,rolling_range
All genres,detox_identity_attack,807,1959-07,0.003047478581,782,52,2026-09,0.0354779307,988,79,1965-03,0.001369418954,927,74,2020-07,0.07784089312,1017,79,0.03243045212,0.07647147416
All genres,detox_insult,807,1959-07,0.03462549479,782,52,2026-09,0.1043999282,988,79,1986-09,0.01934022474,988,79,2020-07,0.1966647453,1017,79,0.06977443337,0.1773245206
All genres,detox_obscene,807,1959-07,0.01385033594,782,52,2026-09,0.2003775289,988,79,1961-05,0.005174393634,811,60,2019-02,0.3492078827,999,79,0.186527193,0.3440334891
All genres,detox_severe_toxicity,807,1959-07,0.0002211506286,782,52,2026-09,0.01208515243,988,79,1960-11,4.629649271e-05,832,63,2019-01,0.02754381712,997,79,0.0118640018,0.02749752063
All genres,detox_sexual_explicit,807,1959-07,0.00800937627,782,52,2026-09,0.03775818451,988,79,1969-10,0.002315356484,865,67,2022-04,0.0662454644,990,74,0.02974880824,0.06393010791
All genres,detox_threat,807,1959-07,0.00624630818,782,52,2026-09,0.005266888769,988,79,1976-10,0.001514583094,874,66,2017-02,0.01498749523,1000,80,-0.0009794194112,0.01347291213
All genres,detox_toxicity,807,1959-07,0.07500179662,782,52,2026-09,0.2651548339,988,79,1969-11,0.05217071156,862,67,2019-02,0.431305919,999,79,0.1901530373,0.3791352074
All genres,emotion_admiration,807,1959-07,0.03378142709,782,52,2026-09,0.02048546789,988,79,2024-03,0.0138926249,1024,80,2003-10,0.04299017204,954,77,-0.0132959592,0.02909754713
All genres,emotion_amusement,807,1959-07,0.02138528607,782,52,2026-09,0.02586711069,988,79,1981-10,0.006542169965,991,71,2014-09,0.03589128669,1051,83,0.004481824627,0.02934911672
All genres,emotion_anger,807,1959-07,0.008739591133,782,52,2026-09,0.0323968011,988,79,1960-04,0.007249986908,776,52,2024-07,0.05964092549,1033,82,0.02365720997,0.05239093858
All genres,emotion_annoyance,807,1959-07,0.02165419385,782,52,2026-09,0.0728555994,988,79,1960-04,0.01893121874,776,52,2024-07,0.1116899663,1033,82,0.05120140556,0.09275874755
All genres,emotion_approval,807,1959-07,0.03725448488,782,52,2026-09,0.0582495519,988,79,1959-07,0.03725448488,782,52,2004-04,0.06604121145,932,71,0.02099506701,0.02878672656
All genres,emotion_caring,807,1959-07,0.02945092912,782,52,2026-09,0.01875092107,988,79,2022-04,0.01362328557,990,74,1993-02,0.0513431285,883,67,-0.01070000805,0.03771984294
All genres,emotion_confusion,807,1959-07,0.02125742296,782,52,2026-09,0.02819373207,988,79,1970-04,0.01361831536,838,65,1998-03,0.03769062031,881,66,0.00693630911,0.02407230494
All genres,emotion_curiosity,807,1959-07,0.03069478143,782,52,2026-09,0.04422476856,988,79,2012-07,0.01992178334,1052,84,2002-05,0.05006479251,978,78,0.01352998713,0.03014300917
All genres,emotion_desire,807,1959-07,0.07666689113,782,52,2026-09,0.06142657161,988,79,2024-02,0.03091940181,1031,80,2000-12,0.09374147259,977,76,-0.01524031952,0.06282207079
All genres,emotion_disappointment,807,1959-07,0.04686423499,782,52,2026-09,0.05715077108,988,79,2015-01,0.03641885169,1016,81,1999-06,0.07517728865,918,63,0.0102865361,0.03875843696
All genres,emotion_disapproval,807,1959-07,0.009470164618,782,52,2026-09,0.027240688,988,79,1959-08,0.008986741965,779,52,1991-03,0.03316054268,953,75,0.01777052338,0.02417380072
All genres,emotion_disgust,807,1959-07,0.003705376316,782,52,2026-09,0.006643700354,988,79,1977-04,0.003134895983,889,66,2023-11,0.009183403522,1017,80,0.002938324038,0.006048507539
All genres,emotion_embarrassment,807,1959-07,0.002825558768,782,52,2026-09,0.004035940394,988,79,1993-05,0.002272798528,875,67,2023-11,0.006973113063,1017,80,0.001210381626,0.004700314534
All genres,emotion_excitement,807,1959-07,0.03367463522,782,52,2026-09,0.01845161,988,79,2006-12,0.0113988085,963,73,1960-05,0.03647241898,779,52,-0.01522302522,0.02507361048
All genres,emotion_fear,807,1959-07,0.0098715175,782,52,2026-09,0.01543807917,988,79,1963-04,0.006635825308,842,66,1986-02,0.03242630173,1010,79,0.005566561675,0.02579047642
All genres,emotion_gratitude,807,1959-07,0.003652852036,782,52,2026-09,0.007564179908,988,79,2015-03,0.0008005246385,1016,81,1978-10,0.01566241322,973,75,0.003911327872,0.01486188858
All genres,emotion_grief,807,1959-07,0.004157276405,782,52,2026-09,0.002203299893,988,79,2015-01,0.001649587884,1016,81,1961-12,0.004977887998,813,60,-0.001953976512,0.003328300114
All genres,emotion_joy,807,1959-07,0.05391983337,782,52,2026-09,0.03349714544,988,79,2020-07,0.01780853532,1017,79,1967-11,0.06092950547,925,75,-0.02042268793,0.04312097014
All genres,emotion_love,807,1959-07,0.323155464,782,52,2026-09,0.1131407674,988,79,2023-01,0.09125565007,1008,77,1961-08,0.3345153299,797,60,-0.2100146966,0.2432596798
All genres,emotion_nervousness,807,1959-07,0.008906710853,782,52,2026-09,0.008009222001,988,79,2015-12,0.005641241608,1010,80,2019-02,0.01459547925,999,79,-0.0008974888517,0.008954237639
All genres,emotion_neutral,807,1959-07,0.3027749754,782,52,2026-09,0.3956880779,988,79,1961-10,0.2858954498,799,60,2023-06,0.4640442606,1009,77,0.09291310248,0.1781488108
All genres,emotion_optimism,807,1959-07,0.02415443226,782,52,2026-09,0.02580802385,988,79,2024-02,0.01321936864,1031,80,2001-05,0.0365265493,975,77,0.001653591592,0.02330718066
All genres,emotion_pride,807,1959-07,0.001496999922,782,52,2026-09,0.001340758316,988,79,2020-02,0.001093499253,1035,79,1971-11,0.004410336984,857,61,-0.0001562416056,0.003316837731
All genres,emotion_realization,807,1959-07,0.01820709867,782,52,2026-09,0.02080350871,988,79,2018-02,0.01576750394,1050,81,2008-09,0.03613767143,1020,82,0.002596410041,0.02037016748
All genres,emotion_relief,807,1959-07,0.002775930478,782,52,2026-09,0.002403918257,988,79,2020-02,0.001869621992,1035,79,1975-11,0.004194928098,846,66,-0.0003720122211,0.002325306106
All genres,emotion_remorse,807,1959-07,0.01073394827,782,52,2026-09,0.006950062506,988,79,1978-12,0.003276657182,977,75,2007-11,0.01879318956,973,78,-0.003783885759,0.01551653238
All genres,emotion_sadness,807,1959-07,0.1125070771,782,52,2026-09,0.05943948271,988,79,2015-01,0.03791454706,1016,81,1965-04,0.1504379403,918,67,-0.05306759438,0.1125233933
All genres,emotion_surprise,807,1959-07,0.009207253005,782,52,2026-09,0.00599787236,988,79,2023-06,0.005297096429,1009,77,1978-08,0.01826927004,972,75,-0.003209380646,0.01297217361
All genres,ll_explicit_language,807,1959-07,0.0834153845,782,52,2026-09,0.4821406504,988,79,1961-07,0.05318543572,797,60,2024-07,0.6428849947,1033,82,0.3987252659,0.589699559
All genres,ll_sexual_content,807,1959-07,0.3937743697,782,52,2026-09,0.5762201702,988,79,1973-09,0.295096113,917,71,2018-05,0.6866404172,1021,79,0.1824458005,0.3915443042
All genres,ll_substance_use,807,1959-07,0.07338697174,782,52,2026-09,0.43712686,988,79,1961-12,0.04659462652,813,60,2018-11,0.5508466683,1001,79,0.3637398882,0.5042520417
All genres,ll_violence,807,1959-07,0.107660343,782,52,2026-09,0.3031023715,988,79,1964-09,0.06765587598,911,70,2020-09,0.3773658857,1008,78,0.1954420285,0.3097100097
All genres,sentiment_negative,807,1959-07,0.245411521,782,52,2026-09,0.2820747438,988,79,1976-09,0.2414007326,876,66,2024-07,0.2927049706,1033,82,0.03666322285,0.05130423795
All genres,sentiment_neutral,807,1959-07,0.4116274842,782,52,2026-09,0.4257812002,988,79,1960-03,0.4083711806,779,52,2017-08,0.4362113793,1045,82,0.01415371596,0.02784019877
All genres,sentiment_positive,807,1959-07,0.3429609931,782,52,2026-09,0.2921440586,988,79,2020-07,0.2797099452,1017,79,1959-11,0.3453384558,774,52,-0.0508169345,0.06562851058
Afrobeats / African Pop,detox_identity_attack,0,,,,,,,,,,,,,,,,,,
Afrobeats / African Pop,detox_insult,0,,,,,,,,,,,,,,,,,,
Afrobeats / African Pop,detox_obscene,0,,,,,,,,,,,,,,,,,,
Afrobeats / African Pop,detox_severe_toxicity,0,,,,,,,,,,,,,,,,,,
Afrobeats / African Pop,detox_sexual_explicit,0,,,,,,,,,,,,,,,,,,
Afrobeats / African Pop,detox_threat,0,,,,,,,,,,,,,,,,,,
Afrobeats / African Pop,detox_toxicity,0,,,,,,,,,,,,,,,,,,
Afrobeats / African Pop,emotion_admiration,0,,,,,,,,,,,,,,,,,,
Afrobeats / African Pop,emotion_amusement,0,,,,,,,,,,,,,,,,,,
Afrobeats / African Pop,emotion_anger,0,,,,,,,,,,,,,,,,,,
Afrobeats / African Pop,emotion_annoyance,0,,,,,,,,,,,,,,,,,,
Afrobeats / African Pop,emotion_approval,0,,,,,,,,,,,,,,,,,,
Afrobeats / African Pop,emotion_caring,0,,,,,,,,,,,,,,,,,,
Afrobeats / African Pop,emotion_confusion,0,,,,,,,,,,,,,,,,,,
Afrobeats / African Pop,emotion_curiosity,0,,,,,,,,,,,,,,,,,,
Afrobeats / African Pop,emotion_desire,0,,,,,,,,,,,,,,,,,,
Afrobeats / African Pop,emotion_disappointment,0,,,,,,,,,,,,,,,,,,
Afrobeats / African Pop,emotion_disapproval,0,,,,,,,,,,,,,,,,,,
Afrobeats / African Pop,emotion_disgust,0,,,,,,,,,,,,,,,,,,
Afrobeats / African Pop,emotion_embarrassment,0,,,,,,,,,,,,,,,,,,
Afrobeats / African Pop,emotion_excitement,0,,,,,,,,,,,,,,,,,,
Afrobeats / African Pop,emotion_fear,0,,,,,,,,,,,,,,,,,,
Afrobeats / African Pop,emotion_gratitude,0,,,,,,,,,,,,,,,,,,
Afrobeats / African Pop,emotion_grief,0,,,,,,,,,,,,,,,,,,
Afrobeats / African Pop,emotion_joy,0,,,,,,,,,,,,,,,,,,
